CaseID,LinkID,TxPower_dBm,ExpectedRxPower_dBm,MeasuredRxPower_dBm,Error_dB,ReferencePoint,Status
"PWR-00001","LINK-PWR-00001",-30,-91,-91,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00002","LINK-PWR-00002",-30,-114,-114,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00003","LINK-PWR-00003",-30,-144,-144,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00004","LINK-PWR-00004",-30,-156,-156,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00005","LINK-PWR-00005",-30,-172,-172,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00006","LINK-PWR-00006",-30,-103,-103,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00007","LINK-PWR-00007",-30,-106.5,-106.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00008","LINK-PWR-00008",-30,-130,-130,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00009","LINK-PWR-00009",-30,-158,-158,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00010","LINK-PWR-00010",-30,-167,-167,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00011","LINK-PWR-00011",-30,-83,-83,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00012","LINK-PWR-00012",-30,-121,-121,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00013","LINK-PWR-00013",-30,-121,-121,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00014","LINK-PWR-00014",-30,-149.5,-149.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00015","LINK-PWR-00015",-30,-179,-179,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00016","LINK-PWR-00016",-30,-80,-80,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00017","LINK-PWR-00017",-30,-97,-97,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00018","LINK-PWR-00018",-30,-137,-137,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00019","LINK-PWR-00019",-30,-135,-135,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00020","LINK-PWR-00020",-30,-159,-159,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00021","LINK-PWR-00021",-30,-90.5,-90.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00022","LINK-PWR-00022",-30,-97,-97,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00023","LINK-PWR-00023",-30,-112,-112,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00024","LINK-PWR-00024",-30,-154,-154,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00025","LINK-PWR-00025",-30,-155,-155,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00026","LINK-PWR-00026",-30,-71,-71,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00027","LINK-PWR-00027",-30,-103,-103,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00028","LINK-PWR-00028",-30,-114.5,-114.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00029","LINK-PWR-00029",-30,-126,-126,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00030","LINK-PWR-00030",-30,-165,-165,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00031","LINK-PWR-00031",0,-61,-61,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00032","LINK-PWR-00032",0,-84,-84,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00033","LINK-PWR-00033",0,-114,-114,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00034","LINK-PWR-00034",0,-126,-126,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00035","LINK-PWR-00035",0,-143.5,-143.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00036","LINK-PWR-00036",0,-73,-73,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00037","LINK-PWR-00037",0,-75,-75,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00038","LINK-PWR-00038",0,-100,-100,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00039","LINK-PWR-00039",0,-128,-128,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00040","LINK-PWR-00040",0,-137,-137,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00041","LINK-PWR-00041",0,-53,-53,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00042","LINK-PWR-00042",0,-92.5,-92.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00043","LINK-PWR-00043",0,-91,-91,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00044","LINK-PWR-00044",0,-118,-118,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00045","LINK-PWR-00045",0,-149,-149,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00046","LINK-PWR-00046",0,-50,-50,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00047","LINK-PWR-00047",0,-67,-67,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00048","LINK-PWR-00048",0,-107,-107,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00049","LINK-PWR-00049",0,-106.5,-106.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00050","LINK-PWR-00050",0,-129,-129,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00051","LINK-PWR-00051",0,-59,-59,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00052","LINK-PWR-00052",0,-67,-67,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00053","LINK-PWR-00053",0,-82,-82,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00054","LINK-PWR-00054",0,-124,-124,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00055","LINK-PWR-00055",0,-125,-125,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00056","LINK-PWR-00056",0,-42.5,-42.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00057","LINK-PWR-00057",0,-73,-73,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00058","LINK-PWR-00058",0,-83,-83,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00059","LINK-PWR-00059",0,-96,-96,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00060","LINK-PWR-00060",0,-135,-135,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00061","LINK-PWR-00061",10,-51,-51,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00062","LINK-PWR-00062",10,-74,-74,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00063","LINK-PWR-00063",10,-105.5,-105.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00064","LINK-PWR-00064",10,-116,-116,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00065","LINK-PWR-00065",10,-132,-132,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00066","LINK-PWR-00066",10,-63,-63,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00067","LINK-PWR-00067",10,-65,-65,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00068","LINK-PWR-00068",10,-90,-90,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00069","LINK-PWR-00069",10,-118,-118,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00070","LINK-PWR-00070",10,-128.5,-128.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00071","LINK-PWR-00071",10,-43,-43,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00072","LINK-PWR-00072",10,-81,-81,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00073","LINK-PWR-00073",10,-81,-81,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00074","LINK-PWR-00074",10,-108,-108,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00075","LINK-PWR-00075",10,-139,-139,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00076","LINK-PWR-00076",10,-40,-40,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00077","LINK-PWR-00077",10,-58.5,-58.5,0,"antenna_connector_to_post_channel_samples","PASS"
"PWR-00078","LINK-PWR-00078",10,-97,-97,0,"antenna_connector_to_post_channel_samples","PASS"
