TraceID,LinkID,AbsoluteSlot,FieldName,Value,ProvenanceClass,SourceID,Observed,Status
"GEO-0001","LINK-0001",0,"Distance3D_m","148.1146","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0001","LINK-0001",0,"PropagationDelay_s","4.9406e-07","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0001","LINK-0001",0,"SignedDoppler_Hz","119.5386","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0001","LINK-0001",0,"TxPosition_m","208.8266 368.9884 27.56791","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0001","LINK-0001",0,"RxPosition_m","192.2165 223.8785 2.96782","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0002","LINK-0002",1,"Distance3D_m","169.8682","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0002","LINK-0002",1,"PropagationDelay_s","5.6662e-07","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0002","LINK-0002",1,"SignedDoppler_Hz","46.8729","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0002","LINK-0002",1,"TxPosition_m","127.25 -343.3203 18.76858","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0002","LINK-0002",1,"RxPosition_m","237.2913 -471.6891 2.410557","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0003","LINK-0003",2,"Distance3D_m","652.4041","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0003","LINK-0003",2,"PropagationDelay_s","2.1762e-06","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0003","LINK-0003",2,"SignedDoppler_Hz","-153.0303","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0003","LINK-0003",2,"TxPosition_m","-303.4819 -253.0186 29.55491","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0003","LINK-0003",2,"RxPosition_m","346.8289 -298.6117 4.092631","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0004","LINK-0004",3,"Distance3D_m","471.0818","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0004","LINK-0004",3,"PropagationDelay_s","1.5714e-06","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0004","LINK-0004",3,"SignedDoppler_Hz","109.2755","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0004","LINK-0004",3,"TxPosition_m","77.32437 245.4279 35.37616","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0004","LINK-0004",3,"RxPosition_m","-33.83633 -211.3403 4.976139","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
"GEO-0005","LINK-0005",4,"Distance3D_m","667.1117","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0005","LINK-0005",4,"PropagationDelay_s","2.2252e-06","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0005","LINK-0005",4,"SignedDoppler_Hz","51.7132","derived_from_observed_component_input","sixgr.channel.GeometryKinematics",1,"PASS"
"GEO-0005","LINK-0005",4,"TxPosition_m","-307.7578 137.342 22.07008","independent_vector_input","sixgr.channel.GeometryKinematics",0,"PASS"
