CaseID,Profile,Fc_GHz,IndoorDistance_m,ExpectedLoss_dB,ActualLoss_dB,Error_dB,MaterialStateID,Status
"O2I-0001","LOW_LOSS",0.7,0,10.2367032954017,10.2367032954017,0,"MAT-O2I-0001","PASS"
"O2I-0002","LOW_LOSS",0.7,1,10.7367032954017,10.7367032954017,0,"MAT-O2I-0002","PASS"
"O2I-0003","LOW_LOSS",0.7,5,12.7367032954017,12.7367032954017,0,"MAT-O2I-0003","PASS"
"O2I-0004","LOW_LOSS",0.7,10,15.2367032954017,15.2367032954017,0,"MAT-O2I-0004","PASS"
"O2I-0005","LOW_LOSS",0.7,15,17.7367032954017,17.7367032954017,0,"MAT-O2I-0005","PASS"
"O2I-0006","LOW_LOSS",0.7,25,22.7367032954017,22.7367032954017,0,"MAT-O2I-0006","PASS"
"O2I-0007","HIGH_LOSS",0.7,0,17.8591385561131,17.8591385561131,0,"MAT-O2I-0007","PASS"
"O2I-0008","HIGH_LOSS",0.7,1,18.3591385561131,18.3591385561131,0,"MAT-O2I-0008","PASS"
"O2I-0009","HIGH_LOSS",0.7,5,20.3591385561131,20.3591385561131,0,"MAT-O2I-0009","PASS"
"O2I-0010","HIGH_LOSS",0.7,10,22.8591385561131,22.8591385561131,0,"MAT-O2I-0010","PASS"
"O2I-0011","HIGH_LOSS",0.7,15,25.3591385561131,25.3591385561131,0,"MAT-O2I-0011","PASS"
"O2I-0012","HIGH_LOSS",0.7,25,30.3591385561131,30.3591385561131,0,"MAT-O2I-0012","PASS"
"O2I-0013","LOW_LOSS_A",0.7,0,6.42330243041009,6.42330243041009,0,"MAT-O2I-0013","PASS"
"O2I-0014","LOW_LOSS_A",0.7,1,6.92330243041009,6.92330243041009,0,"MAT-O2I-0014","PASS"
"O2I-0015","LOW_LOSS_A",0.7,5,8.92330243041009,8.92330243041009,0,"MAT-O2I-0015","PASS"
"O2I-0016","LOW_LOSS_A",0.7,10,11.4233024304101,11.4233024304101,0,"MAT-O2I-0016","PASS"
"O2I-0017","LOW_LOSS_A",0.7,15,13.9233024304101,13.9233024304101,0,"MAT-O2I-0017","PASS"
"O2I-0018","LOW_LOSS_A",0.7,25,18.9233024304101,18.9233024304101,0,"MAT-O2I-0018","PASS"
"O2I-0019","LOW_LOSS",3.5,0,12.6975034595439,12.6975034595439,0,"MAT-O2I-0019","PASS"
"O2I-0020","LOW_LOSS",3.5,1,13.1975034595439,13.1975034595439,0,"MAT-O2I-0020","PASS"
"O2I-0021","LOW_LOSS",3.5,5,15.1975034595439,15.1975034595439,0,"MAT-O2I-0021","PASS"
"O2I-0022","LOW_LOSS",3.5,10,17.6975034595439,17.6975034595439,0,"MAT-O2I-0022","PASS"
"O2I-0023","LOW_LOSS",3.5,15,20.1975034595439,20.1975034595439,0,"MAT-O2I-0023","PASS"
"O2I-0024","LOW_LOSS",3.5,25,25.1975034595439,25.1975034595439,0,"MAT-O2I-0024","PASS"
