CaseID,Scenario,Condition,Fc_GHz,Distance2D_m,ExpectedPathloss_dB,ActualPathloss_dB,Error_dB,Status
"PL-0001","UMa","LOS",0.7,10,55.86051576578,55.86051576578,0,"PASS"
"PL-0002","UMa","NLOS",0.7,10,65.4356120753551,65.4356120753551,0,"PASS"
"PL-0003","UMa","LOS",0.7,20,57.668221594948,57.668221594948,0,"PASS"
"PL-0004","UMa","NLOS",0.7,20,68.6467549755316,68.6467549755316,0,"PASS"
"PL-0005","UMa","LOS",0.7,50,63.2327819267584,63.2327819267584,0,"PASS"
"PL-0006","UMa","NLOS",0.7,50,78.5314376013113,78.5314376013113,0,"PASS"
"PL-0007","UMa","LOS",0.7,100,69.158756590132,69.158756590132,0,"PASS"
"PL-0008","UMa","NLOS",0.7,100,89.0581235033404,89.0581235033404,0,"PASS"
"PL-0009","UMa","LOS",0.7,200,80.0027553456524,80.0027553456524,0,"PASS"
"PL-0010","UMa","NLOS",0.7,200,100.482573032701,100.482573032701,0,"PASS"
"PL-0011","UMa","LOS",0.7,500,95.820422376284,95.820422376284,0,"PASS"
"PL-0012","UMa","NLOS",0.7,500,115.936433721628,115.936433721628,0,"PASS"
"PL-0013","UMa","LOS",0.7,1000,107.847251692189,107.847251692189,0,"PASS"
"PL-0014","UMa","NLOS",0.7,1000,127.686645963267,127.686645963267,0,"PASS"
"PL-0015","UMa","LOS",0.7,3000,126.927839381935,126.927839381935,0,"PASS"
"PL-0016","UMa","NLOS",0.7,3000,146.328380136149,146.328380136149,0,"PASS"
"PL-0017","UMa","LOS",3.5,10,69.8399158525004,69.8399158525004,0,"PASS"
"PL-0018","UMa","NLOS",3.5,10,79.4150121620754,79.4150121620754,0,"PASS"
"PL-0019","UMa","LOS",3.5,20,71.6476216816683,71.6476216816683,0,"PASS"
"PL-0020","UMa","NLOS",3.5,20,82.626155062252,82.626155062252,0,"PASS"
"PL-0021","UMa","LOS",3.5,50,77.2121820134788,77.2121820134788,0,"PASS"
"PL-0022","UMa","NLOS",3.5,50,92.5108376880317,92.5108376880317,0,"PASS"
"PL-0023","UMa","LOS",3.5,100,83.1381566768524,83.1381566768524,0,"PASS"
"PL-0024","UMa","NLOS",3.5,100,103.037523590061,103.037523590061,0,"PASS"
"PL-0025","UMa","LOS",3.5,200,89.569525398601,89.569525398601,0,"PASS"
"PL-0026","UMa","NLOS",3.5,200,114.461973119421,114.461973119421,0,"PASS"
"PL-0027","UMa","LOS",3.5,500,98.2692422654484,98.2692422654484,0,"PASS"
"PL-0028","UMa","NLOS",3.5,500,129.915833808349,129.915833808349,0,"PASS"
"PL-0029","UMa","LOS",3.5,1000,109.406494346027,109.406494346027,0,"PASS"
"PL-0030","UMa","NLOS",3.5,1000,141.666046049988,141.666046049988,0,"PASS"
"PL-0031","UMa","LOS",3.5,3000,128.487082035773,128.487082035773,0,"PASS"
"PL-0032","UMa","NLOS",3.5,3000,160.30778022287,160.30778022287,0,"PASS"
"PL-0033","UMa","LOS",7.5,10,76.4597802333288,76.4597802333288,0,"PASS"
"PL-0034","UMa","NLOS",7.5,10,86.0348765429039,86.0348765429039,0,"PASS"
"PL-0035","UMa","LOS",7.5,20,78.2674860624968,78.2674860624968,0,"PASS"
"PL-0036","UMa","NLOS",7.5,20,89.2460194430805,89.2460194430805,0,"PASS"
"PL-0037","UMa","LOS",7.5,50,83.8320463943073,83.8320463943073,0,"PASS"
"PL-0038","UMa","NLOS",7.5,50,99.1307020688602,99.1307020688602,0,"PASS"
"PL-0039","UMa","LOS",7.5,100,89.7580210576809,89.7580210576809,0,"PASS"
"PL-0040","UMa","NLOS",7.5,100,109.657387970889,109.657387970889,0,"PASS"
"PL-0041","UMa","LOS",7.5,200,96.1893897794295,96.1893897794295,0,"PASS"
"PL-0042","UMa","NLOS",7.5,200,121.08183750025,121.08183750025,0,"PASS"
"PL-0043","UMa","LOS",7.5,500,104.889106646277,104.889106646277,0,"PASS"
"PL-0044","UMa","NLOS",7.5,500,136.535698189177,136.535698189177,0,"PASS"
"PL-0045","UMa","LOS",7.5,1000,111.503862770025,111.503862770025,0,"PASS"
"PL-0046","UMa","NLOS",7.5,1000,148.285910430816,148.285910430816,0,"PASS"
"PL-0047","UMa","LOS",7.5,3000,129.154439420333,129.154439420333,0,"PASS"
"PL-0048","UMa","NLOS",7.5,3000,166.927644603698,166.927644603698,0,"PASS"
"PL-0049","UMa","LOS",15,10,82.4803801466085,82.4803801466085,0,"PASS"
"PL-0050","UMa","NLOS",15,10,92.0554764561836,92.0554764561836,0,"PASS"
"PL-0051","UMa","LOS",15,20,84.2880859757765,84.2880859757765,0,"PASS"
"PL-0052","UMa","NLOS",15,20,95.2666193563601,95.2666193563601,0,"PASS"
"PL-0053","UMa","LOS",15,50,89.8526463075869,89.8526463075869,0,"PASS"
"PL-0054","UMa","NLOS",15,50,105.15130198214,105.15130198214,0,"PASS"
"PL-0055","UMa","LOS",15,100,95.7786209709605,95.7786209709605,0,"PASS"
