relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,28763,23ee93531937fc6df88bfb9d2438767bb907c5751a6f10b53cf9238e44a1675d,True,PNG,1100,520,RGBA,23,255,22.154522684578044,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,30628,b15ab286d96705da7011d1b7a236af1e6ae7964a6dbbce98727cd6063c51d6dc,True,PNG,1100,520,RGBA,23,255,23.218718338020548,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,18168,b900a206a03759ff391aee009370275db61779b60acb22af0cbf9bfe92a370fc,True,PNG,1100,620,RGBA,23,255,47.717623327730088,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,26183,1ba9cb91643234dcdd9698e85ac318b3fbb6b2e2a0d456128e0efdd64b204417,True,PNG,1100,520,RGBA,23,255,22.119681330356947,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,26338,834db0ec3c43c7e09a4c3322ecb4aea86ac3cdcb62e7c90c9dfb6aad62cfc2b1,True,PNG,1100,520,RGBA,23,255,20.641444341752042,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,26618,fe458498fada5fb70112d2444a97471c9ad0dcc94dd0c8afcac77b97fa7d4a2d,True,PNG,1100,520,RGBA,23,255,21.053836625775741,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,37159,35302a38887b45b77a4187619607b2cedd6ef934bb5c9ac338f25f827f6b628f,True,PNG,1180,760,RGBA,23,255,53.155536436966841,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,30591,d7c1caa51c3fb25a2f7431068652858383b15f734054373a00f385e36d9ff060,True,PNG,1120,620,RGBA,23,255,23.587691924649519,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,18161,4fd5a25619aa26ac15c4e30c4c3b66e9aa3eee54d0deca42d5a771fd5d4a4f6f,True,PNG,1100,620,RGBA,23,255,43.835570450589564,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png,.png,28792,78e484fff058f16e16f8c2f547f8778bdf998d4cca707efe75c9a5a07e07e785,True,PNG,1100,620,RGBA,23,255,19.362785535812897,False,
