sha256,copy_count,relative_paths
006f7dc7a943614d83535ad09f188b4b1c752a6d25b1bf899cf332ed39aefacc,2,analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-cell-throughput.png|waveform/image/contract__throughput-goodput-spectral-efficiency-analytics__per-cell-throughput.png
03d2e5c656a9287ea6802747da5b59eaa843463e3f5df5f8e9158acc9f770012,2,reference_signals/image/contract__srs-ul-sounding-massive-mimo-inputs__channel-estimate-quality-trend.png|reports/image/contract__srs-ul-sounding-massive-mimo-inputs__channel-estimate-quality-trend.png
03ea519f7e6c5f2a08721ec617999f75b1d8a8d5ef8e1ec204b9a02636a64c67,2,reports/image/distance_vs_sinr.png|validation/image/distance_vs_sinr.png
046ab86ce3e2c6ff405585a943c82cf924c1e9b42c06fccdbaaeeb1b1102b604,2,reports/image/complexity_vs_gain.png|validation/image/complexity_vs_gain.png
046b775e16dd009129cef39c80741ff1ba343aef8561ac79de72a550a2fc2ac9,2,reports/image/contract__air-interface-frame-slot-symbol-grid__frame-slot-symbol-occupancy-timeline.png|validation/image/contract__air-interface-frame-slot-symbol-grid__frame-slot-symbol-occupancy-timeline.png
0524767e510c9ac08cfc7b432caff809e93af298d800eecf58a75545f48d1c31,2,prach/image/contract__prach-random-access__prach-peak-search-timeline.png|reports/image/contract__prach-random-access__prach-peak-search-timeline.png
0574ec1117332879c080bfd39d2271c2832da584c759b5afa10d8c1c384957ae,2,reports/image/contract__fixed-snr-sinr-sweep-validation__dl-ber-vs-snr.png|validation/image/contract__fixed-snr-sinr-sweep-validation__dl-ber-vs-snr.png
0678b79ab71383a67c6866a3d0cb781400b245ef2da6b00b3e6db5226ab0bdf6,2,channel/image/contract__scenario-geometry-topology-layout__serving-cell-map.png|reports/image/contract__scenario-geometry-topology-layout__serving-cell-map.png
067a427149bb2f406dea84f26f62694ecd028a4cf937bf9a314697eaf839fc38,2,analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-ue-throughput.png|waveform/image/contract__throughput-goodput-spectral-efficiency-analytics__per-ue-throughput.png
08d4e6561d32b91539b299da0e822eadc6ad7f6fff99f0f052a98412a1fe8bf7,2,mac_harq_scheduler/image/contract__harq-ack-nack-retransmission__rv-usage-distribution.png|reports/image/contract__harq-ack-nack-retransmission__rv-usage-distribution.png
