relative_path,extension,bytes,sha256,width_px,height_px,format
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,31583,f297cab4548555732bb2f3d0e5295c57ef018d6a2c91148e775da46aa464d42d,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,31646,d4cf71e9947fcbb12ea7b30a023b44034488d8e32f6069e1b6523a5d7599fea8,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,24069,5f71a9b6091ffebae191bf51286eaee1739684f7fd79d1a71a2d6ef489dcdf78,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,23894,966822573736a1d316b43a7a2ff0f8cc45fc6ab6ee4cbd4e2c26d5e7273de1a0,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,23569,994c34c1fdd84b5097203f914182e6869af0034f07e86455e20ad0fb9a0786d1,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,24007,f9943a672b0c87e5c221f6dfc56eb0e579db46b3d880c12964adfbbf21370477,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,41529,5ec5561f49f19902937d3e8c855c063b1c78715c75040c97aacbf2ed1c6d00f4,1180,760,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,29304,bf595912e31a22cf803362b55e3219f030c9db818f672cec835614d4f14f8641,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,24344,cf3c10d4fc132e93e46a68a8b1c6aa8107e0cf33f7c0650457a7125042dfa713,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png,.png,39445,bfee8c8e4d8c49a5a28eeb6d10a4df95589f7f9df482e20e008207b8f1855811,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.png,.png,27450,448c4deb1f3e70e7a669d75ac72266e0a28dbc89e6592e98451a84ba238d9313,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,29468,5bcccbfcaba4856b7d6a849d7ca742add36362fbaf05d56dcb41783b20214ef4,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,30771,e4ad2add04ac508bdc1ef7639fbd1fbc6b9b105c2b050f4204d563e7b8b14541,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__rank-distribution.png,.png,21037,6e90720277fd18c02ee2f3cbde7bdbcf200115145cf1a49bfce6b287e818676a,1100,620,PNG
analytics/image/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.png,.png,24192,de6529881e25286764b9506d884bb7bf32d92bd50695bf342fa355b7f5a22d5c,1100,620,PNG
