sha256,copy_count,relative_paths
04d83b8ac26f24faf0af2626f7883dc9f33f2572e44d7d6d68639db4464337da,2,analytics/csv/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.csv|reports/csv/contract__measurements-csi-link-adaptation-inputs__config-vs-measured-conflict-dashboard.csv
0878a862e487862d3a14d1cb8f209bbca5d1ed0fd61ec4b30c38182af42ec1e0,3,analytics/csv/clipping_analytics.csv|analytics/csv/papr_analytics.csv|analytics/csv/spectrum_analytics.csv
0968eb5149365e52a842f81ce84444e137a7d6c3c85dec1322919e2b4c0b9fd8,2,reports/csv/prach_correlation_trace.csv|reports/csv/prach_correlation_traces.csv
0d946223c1907e61296a3fd91df4f0f0f56c6e6ccb1a16755bded161c7238a07,3,reports/csv/live_cell_table.csv|reports/csv/live_gnb_state_table.csv|reports/csv/live_per_cell_context.csv
0df6c72f16596dfe95929b179e8b59ef6dfa9d4557d9a39518450b5d76fa348c,2,reports/csv/live_case_status.csv|reports/csv/live_truth_policy_status.csv
10533a215bc0445d5da3a3829cf3ec4469aac272b67b389e217897fc83c892d9,2,analytics/csv/contract__beamforming-precoding-mimo-analytics__rank-distribution.csv|reports/csv/contract__beamforming-precoding-mimo-massive-mimo__rank-distribution.csv
25e8f85e8d0b20ac1d9c0749a9d333742f34de4c9bbb5a4cf276d0afa109bccd,2,reports/csv/dl_fixed_snr_ber_curve.csv|reports/csv/dl_fixed_snr_bler_curve.csv
2b6cbdd547ac1db283dcade57cad4436e69a82fadcf30a16e375ad0e79b0266e,2,geometry/csv/trajectory_geometry.csv|mobility/csv/trajectory_segment_table.csv
314ad5bac685e8c6dfd4b4c1b484fa7432fdff82672b8abd5df3550176cefe95,3,air_interface/csv/link_kpis.csv|air_interface/csv/lls_fixed_link_campaign.csv|air_interface/csv/lls_snr_sweep.csv
37e055a48352f9b1a085a2be7dbb76b89e28653588002f9b6096ac9c9646e747,3,analytics/csv/precoder_analytics.csv|reports/csv/live_combiner_table.csv|reports/csv/live_precoder_table.csv
3e808a99f86a62bb87e42483d4464ca472d9816eeb186f26d00c81c738a3c769,2,reports/csv/live_site_table.csv|reports/csv/sites.csv
46cba7e90a41980bf656c457e2686f149d65291324cfcd1e8c6ae061141878ab,3,analytics/csv/control_decode_analytics.csv|analytics/csv/detection_analytics.csv|reports/csv/live_search_space_state.csv
5367e04fa29ae34ea0e1b01c97b055a415a4fb6f8bfbef1254bf98bab6f8a810,2,reports/csv/live_trp_table.csv|reports/csv/trps.csv
59531e00434a27a98d05beb9d39e1569360721a0cbc1b916676e030f54e8ab9c,2,reports/csv/reports_all_enums_v.csv|reports/csv/reports_value_semantics_coverage_v.csv
5ad89abebc7c0f36a8f266486453e9c0b7f244a0dcdb8ddb24e8d725d4ea4553,2,reports/csv/live_sector_table.csv|reports/csv/sectors.csv
6e1a885bb11e1774912db37e89e0ad6d896448fa0646aec3cd07ac654f037156,3,analytics/csv/random_access_analytics.csv|reports/csv/live_access_state.csv|reports/csv/live_random_access_state.csv
6e4c51016a97db1f5c0f0e85496534f9036cc7bc691bcf18d64d36a3cbb7b7fe,2,control/csv/control_gating_summary.csv|reports/csv/live_control_gating_summary.csv
74fee461ffabbdc018504e469c44bc25e99925eb6b02d229304c9803161ebe45,2,analytics/csv/codeblock_analytics.csv|analytics/csv/decoder_analytics.csv
79637f2d9f78c7c6c9c9022c6f2c16acc9d776f8a99a37569bc0423121451391,5,analytics/csv/error_rate_analytics.csv|analytics/csv/evm_analytics.csv|analytics/csv/goodput_analytics.csv|analytics/csv/throughput_analytics.csv|reports/csv/live_pdsch_dmrs_ptrs_table.csv
7b69ec0210e780c727dd71ff863e4c8a1c8631eb6c4a096cc5052bd99d9984d5,5,reports/csv/live_mac_ce_state.csv|reports/csv/live_phr_state.csv|reports/csv/live_pusch_stage_table.csv|reports/csv/live_sr_state.csv|reports/csv/live_ue_control_state.csv
7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,4,reports/csv/kpi_application_packet_delivery_ledger_dl.csv|reports/csv/kpi_application_packet_delivery_ledger_ul.csv|reports/csv/kpi_packet_sdu_delivery_ledger_dl.csv|reports/csv/kpi_packet_sdu_delivery_ledger_ul.csv
824e7e8da6f3f44384b74741e9cf7876c2c4e5409305cc22807081b389aacf8e,6,analytics/csv/parallelism_analytics.csv|reports/csv/live_bwp_state.csv|reports/csv/live_carrier_config.csv|reports/csv/live_frame_grid_state.csv|reports/csv/live_numerology_state.csv|reports/csv/live_thread_orchestration_table.csv
82d1d21ec422fa5091324bbad21f7361e18f40a3d4c0cf80b9f774f917467ad7,2,reports/csv/live_browser_surface_integrity_table.csv|reports/csv/live_consistency_check_table.csv
84dc5128421c9c55c812f678977509fe50c66f118b70c11991bb0932056b4708,2,air_interface/csv/ul_fixed_link_campaign_trials.csv|reports/csv/ul_fixed_link_campaign_trials.csv
8674ddfbba1cdf65d7fa58bb5aee76d399cc6ce81df220caf141333a46e81a65,2,analytics/csv/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.csv|reports/csv/contract__channel-interference-impairments__cfo-true-vs-estimated-vs-residual.csv
921b579b91f8c007127c1be646f1d6af9d7120daf69eaec18bebb25f191c6af2,2,analytics/csv/channel_estimation_analytics.csv|analytics/csv/channel_quality_analytics.csv
948a15f0752e9afab5f7770247c42ca346231809c5d4e25229cb7b29c576e899,4,reports/csv/live_csi_feedback_table.csv|reports/csv/live_csi_output_table.csv|reports/csv/live_csirs_resource_table.csv|reports/csv/live_csirs_stage_table.csv
96f87026b7c06c20c6fcb3551d8e64689f47fa03a43843fd1539a1b5fe0fbe2c,2,reports/csv/kpi_harq_delivery_trace_dl.csv|reports/csv/kpi_tb_delivery_ledger_dl.csv
98f9b999eb7a186c001e7ffbabed899effa95b3bee087253d04fa1817b71b5f7,3,reports/csv/reports_partial_or_missing_v.csv|reports/csv/reports_status_rollup_explanations_v.csv|reports/csv/reports_truth_violations_v.csv
9a392d32e3363e88d95a06c274de7b822686cefdd88c0c646f2b59da50725a09,2,air_interface/csv/live_measured_sinr_summary.csv|air_interface/csv/lls_measured_sinr_summary.csv
ca2de41d03d8d90d2a835c0be6e23aaba834dc6224fc99955d141b71bb8e7ca6,2,reports/csv/live_ue_table.csv|reports/csv/ues.csv
cacd71f893b58317460f56f6f626ac8897675e14d87b766c8ca96c9659ec386b,2,analytics/csv/time_profile_analytics.csv|reports/csv/time_profile_calls.csv
da8feffdcf15e9eb9defed7168a08656d0862312785fad2109bea1337e747f56,2,analytics/csv/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.csv|reports/csv/contract__beamforming-precoding-mimo-massive-mimo__beam-gain-gap-histogram.csv
de169b8d0b810f45f5c81a34e71a93e152fd989e5b4d38644c8258c057a3c5e9,2,reports/csv/ul_fixed_snr_ber_curve.csv|reports/csv/ul_fixed_snr_bler_curve.csv
e2a67b7c473f7ee2eda7ade0b4f5911d56fc8c0da89065587f4f13d0215a0349,2,air_interface/csv/fixed_link_campaign_task_plan.csv|reports/csv/fixed_link_campaign_task_plan.csv
e42eea5c26cd3476236a60959045bf036cd4ffcf2eb946657dc27996eb88d29d,2,reports/csv/kpi_harq_delivery_trace_ul.csv|reports/csv/kpi_tb_delivery_ledger_ul.csv
ec6019df3a81f8f98983c21de47eb2f6a1ada80a3e64752579292429f49b0604,2,analytics/csv/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.csv|reports/csv/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.csv
ed14d12803c2bd6aec847c8e4aed6c06665afac7cece3300218ba31193d4002e,2,analytics/csv/mimo_analytics.csv|reports/csv/live_mimo_state_table.csv
ed71455a3e4f33722509381a6e13ade30ce4cdd48d62db8c29a7117deeb1f383,3,analytics/csv/change_impact_analytics.csv|analytics/csv/regression_analytics.csv|analytics/csv/regression_delta_view.csv
f85ef7a930c73239f35024f226486832424a4981df43232e2a4b8c0bd5636e91,3,analytics/csv/beam_analytics.csv|analytics/csv/user_grouping_analytics.csv|reports/csv/live_user_grouping_table.csv
fc56978acff1db3fb26c6d4dcced50a6bb03626ad86e363b2793b96b4a4d8c88,2,air_interface/csv/dl_fixed_link_campaign_trials.csv|reports/csv/dl_fixed_link_campaign_trials.csv
fff1751b41307f7f2859534ce8e4e65ef4a94c256750623a08e9992be77ff5fa,2,analytics/csv/regression_baseline_view.csv|analytics/csv/regression_candidate_view.csv
