relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,28763,23ee93531937fc6df88bfb9d2438767bb907c5751a6f10b53cf9238e44a1675d,True,PNG,1100,520,RGBA,23,255,22.154522684578044,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,30628,b15ab286d96705da7011d1b7a236af1e6ae7964a6dbbce98727cd6063c51d6dc,True,PNG,1100,520,RGBA,23,255,23.218718338020548,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,18101,a0dae84bc68146c1cd579f528415545e79b15d68201b78d6bf43f2e91f23b139,True,PNG,1100,620,RGBA,23,255,47.723352694699173,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,26102,e92acdb4097c16f7eb26529251b48dce7492d5935c8c4ca0b3971fcfc1be4108,True,PNG,1100,520,RGBA,23,255,22.142454844390993,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,26242,fbcbea43a67245690571627d66aeeb3419a5aa2217011da3c48153720ce496ed,True,PNG,1100,520,RGBA,23,255,20.655029953210803,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,26521,1142d7be114b7616d4942e0c0a604e94112891ac66beac0e314d1f4b6f55a41f,True,PNG,1100,520,RGBA,23,255,21.06714661233957,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,37159,35302a38887b45b77a4187619607b2cedd6ef934bb5c9ac338f25f827f6b628f,True,PNG,1180,760,RGBA,23,255,53.155536436966841,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,30485,09ae9444417993240cfd6e0e1230df7505c2fd072295390110c38bf817824f80,True,PNG,1120,620,RGBA,23,255,23.597616570798305,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,18179,2cf3acb45c7247b61660a5420fdbc45586c6e5aaad7a329ee72b083716728875,True,PNG,1100,620,RGBA,23,255,47.97095749055908,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png,.png,31559,409d5122a295a3fb7e011d9017085902caaff23962cb37702feddd768d804888,True,PNG,1100,620,RGBA,23,255,19.535364448923122,False,
