TestID,Role,FrequencyRange,CenterFrequency_Hz,ChannelBandwidth_MHz,CarrierSCS_kHz,ExpectedValid,ResolvedValid,ExpectedNRB,ResolvedNRB,NStartGrid,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,ChannelLowEdge_Hz,ChannelHighEdge_Hz,TransmissionLowEdge_Hz,TransmissionHighEdge_Hz,ActiveBWPStartRB,ActiveBWPSizeRB,ActiveBWPLowEdge_Hz,ActiveBWPHighEdge_Hz,ErrorID,Status,IndexConvention
GRID-FR1-015-0003,gNB_carrier_transmission_bandwidth,FR1,4000000000,3,15,TRUE,TRUE,15,15,0,2700000,142500,142500,3998500000,4001500000,3998650000,4001350000,4,7,3999370000,4000630000,,PASS,zero_based_phy_indices
GRID-FR1-015-0005,gNB_carrier_transmission_bandwidth,FR1,4000000000,5,15,TRUE,TRUE,25,25,0,4500000,242500,242500,3997500000,4002500000,3997750000,4002250000,6,12,3998830000,4000990000,,PASS,zero_based_phy_indices
GRID-FR1-015-0010,gNB_carrier_transmission_bandwidth,FR1,4000000000,10,15,TRUE,TRUE,52,52,0,9360000,312500,312500,3995000000,4005000000,3995320000,4004680000,13,26,3997660000,4002340000,,PASS,zero_based_phy_indices
GRID-FR1-015-0015,gNB_carrier_transmission_bandwidth,FR1,4000000000,15,15,TRUE,TRUE,79,79,0,14220000,382500,382500,3992500000,4007500000,3992890000,4007110000,20,39,3996490000,4003510000,,PASS,zero_based_phy_indices
GRID-FR1-015-0020,gNB_carrier_transmission_bandwidth,FR1,4000000000,20,15,TRUE,TRUE,106,106,0,19080000,452500,452500,3990000000,4010000000,3990460000,4009540000,26,53,3995140000,4004680000,,PASS,zero_based_phy_indices
GRID-FR1-015-0025,gNB_carrier_transmission_bandwidth,FR1,4000000000,25,15,TRUE,TRUE,133,133,0,23940000,522500,522500,3987500000,4012500000,3988030000,4011970000,33,66,3993970000,4005850000,,PASS,zero_based_phy_indices
GRID-FR1-015-0030,gNB_carrier_transmission_bandwidth,FR1,4000000000,30,15,TRUE,TRUE,160,160,0,28800000,592500,592500,3985000000,4015000000,3985600000,4014400000,40,80,3992800000,4007200000,,PASS,zero_based_phy_indices
GRID-FR1-015-0035,gNB_carrier_transmission_bandwidth,FR1,4000000000,35,15,TRUE,TRUE,188,188,0,33840000,572500,572500,3982500000,4017500000,3983080000,4016920000,47,94,3991540000,4008460000,,PASS,zero_based_phy_indices
GRID-FR1-015-0040,gNB_carrier_transmission_bandwidth,FR1,4000000000,40,15,TRUE,TRUE,216,216,0,38880000,552500,552500,3980000000,4020000000,3980560000,4019440000,54,108,3990280000,4009720000,,PASS,zero_based_phy_indices
GRID-FR1-015-0045,gNB_carrier_transmission_bandwidth,FR1,4000000000,45,15,TRUE,TRUE,242,242,0,43560000,712500,712500,3977500000,4022500000,3978220000,4021780000,60,121,3989020000,4010800000,,PASS,zero_based_phy_indices
