TestID,Mu,SCS_kHz,CyclicPrefix,NRB,Nfft,SampleRate_Hz,CPLengthsSamples,WindowingSamples,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,TxGridPower,RxGridPower,NMSE,EVMPercent,AliasingMargin_Hz,Status,IndexConvention
GRID-FR1-015-0003,0,15,normal,15,256,3840000,[20 18 18 18 18 18 18 20 18 18 18 18 18 18],0,2700000,142500,142500,0.0277777777777778,0.0277777777777778,4.40495721173703e-32,2.09879899269488e-14,1140000,PASS,zero_based_phy_indices
GRID-FR1-015-0005,0,15,normal,25,512,7680000,[40 36 36 36 36 36 36 40 36 36 36 36 36 36],0,4500000,242500,242500,0.0166666666666667,0.0166666666666667,4.18047160411116e-32,2.04462016132854e-14,3180000,PASS,zero_based_phy_indices
GRID-FR1-015-0010,0,15,normal,52,1024,15360000,[80 72 72 72 72 72 72 80 72 72 72 72 72 72],0,9360000,312500,312500,0.00801282051282051,0.00801282051282051,3.89021568007544e-32,1.97236296864331e-14,6000000,PASS,zero_based_phy_indices
GRID-FR1-015-0015,0,15,normal,79,2048,30720000,[160 144 144 144 144 144 144 160 144 144 144 144 144 144],0,14220000,382500,382500,0.00527426160337553,0.00527426160337553,4.04656207250667e-32,2.01160683845196e-14,16500000,PASS,zero_based_phy_indices
GRID-FR1-015-0020,0,15,normal,106,2048,30720000,[160 144 144 144 144 144 144 160 144 144 144 144 144 144],0,19080000,452500,452500,0.00393081761006289,0.00393081761006289,4.72254862988914e-32,2.1731425700789e-14,11640000,PASS,zero_based_phy_indices
GRID-FR1-015-0025,0,15,normal,133,2048,30720000,[160 144 144 144 144 144 144 160 144 144 144 144 144 144],0,23940000,522500,522500,0.0031328320802005,0.0031328320802005,5.99144203272968e-32,2.44774223167589e-14,6780000,PASS,zero_based_phy_indices
GRID-FR1-015-0030,0,15,normal,160,4096,61440000,[320 288 288 288 288 288 288 320 288 288 288 288 288 288],0,28800000,592500,592500,0.00260416666666667,0.00260416666666667,3.92120476303095e-32,1.9802032125595e-14,32640000,PASS,zero_based_phy_indices
GRID-FR1-015-0035,0,15,normal,188,4096,61440000,[320 288 288 288 288 288 288 320 288 288 288 288 288 288],0,33840000,572500,572500,0.00221631205673759,0.00221631205673759,5.05277558927941e-32,2.24783798110082e-14,27600000,PASS,zero_based_phy_indices
GRID-FR1-015-0040,0,15,normal,216,4096,61440000,[320 288 288 288 288 288 288 320 288 288 288 288 288 288],0,38880000,552500,552500,0.00192901234567901,0.00192901234567901,5.646634439343e-32,2.37626480833745e-14,22560000,PASS,zero_based_phy_indices
GRID-FR1-015-0045,0,15,normal,242,4096,61440000,[320 288 288 288 288 288 288 320 288 288 288 288 288 288],0,43560000,712500,712500,0.00172176308539945,0.00172176308539945,7.80725764467339e-32,2.79414703347433e-14,17880000,PASS,zero_based_phy_indices
GRID-FR1-015-0050,0,15,normal,270,4096,61440000,[320 288 288 288 288 288 288 320 288 288 288 288 288 288],0,48600000,692500,692500,0.00154320987654321,0.00154320987654321,7.50507537298567e-32,2.73953926290274e-14,12840000,PASS,zero_based_phy_indices
GRID-FR1-030-0005,1,30,normal,11,256,7680000,[22 18 18 18 18 18 18 18 18 18 18 18 18 18],0,3960000,505000,505000,0.0378787878787879,0.0378787878787879,3.08647900272525e-32,1.75683778497767e-14,3720000,PASS,zero_based_phy_indices
GRID-FR1-030-0010,1,30,normal,24,512,15360000,[44 36 36 36 36 36 36 36 36 36 36 36 36 36],0,8640000,665000,665000,0.0173611111111111,0.0173611111111111,3.29023818753664e-32,1.81390137205324e-14,6720000,PASS,zero_based_phy_indices
GRID-FR1-030-0015,1,30,normal,38,1024,30720000,[88 72 72 72 72 72 72 72 72 72 72 72 72 72],0,13680000,645000,645000,0.0109649122807018,0.0109649122807018,3.44072099768195e-32,1.85491805686449e-14,17040000,PASS,zero_based_phy_indices
GRID-FR1-030-0020,1,30,normal,51,1024,30720000,[88 72 72 72 72 72 72 72 72 72 72 72 72 72],0,18360000,805000,805000,0.00816993464052288,0.00816993464052288,4.64652335579356e-32,2.15557958697738e-14,12360000,PASS,zero_based_phy_indices
GRID-FR1-030-0025,1,30,normal,65,1024,30720000,[88 72 72 72 72 72 72 72 72 72 72 72 72 72],0,23400000,785000,785000,0.00641025641025641,0.00641025641025641,5.12495368732916e-32,2.26383605575341e-14,7320000,PASS,zero_based_phy_indices
GRID-FR1-030-0030,1,30,normal,78,2048,61440000,[176 144 144 144 144 144 144 144 144 144 144 144 144 144],0,28080000,945000,945000,0.00534188034188034,0.00534188034188034,3.70904209229764e-32,1.92588735192317e-14,33360000,PASS,zero_based_phy_indices
GRID-FR1-030-0035,1,30,normal,92,2048,61440000,[176 144 144 144 144 144 144 144 144 144 144 144 144 144],0,33120000,925000,925000,0.00452898550724638,0.00452898550724638,4.69638592166384e-32,2.16711465355755e-14,28320000,PASS,zero_based_phy_indices
GRID-FR1-030-0040,1,30,normal,106,2048,61440000,[176 144 144 144 144 144 144 144 144 144 144 144 144 144],0,38160000,905000,905000,0.00393081761006289,0.00393081761006289,4.74843375082442e-32,2.17909011994099e-14,23280000,PASS,zero_based_phy_indices
GRID-FR1-030-0045,1,30,normal,119,2048,61440000,[176 144 144 144 144 144 144 144 144 144 144 144 144 144],0,42840000,1065000,1065000,0.00350140056022409,0.00350140056022409,6.02716881113302e-32,2.45502928926174e-14,18600000,PASS,zero_based_phy_indices
GRID-FR1-030-0050,1,30,normal,133,2048,61440000,[176 144 144 144 144 144 144 144 144 144 144 144 144 144],0,47880000,1045000,1045000,0.0031328320802005,0.0031328320802005,5.98971756313941e-32,2.44738994913753e-14,13560000,PASS,zero_based_phy_indices
GRID-FR1-030-0060,1,30,normal,162,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,58320000,825000,825000,0.00257201646090535,0.00257201646090535,4.08324551972149e-32,2.02070421381297e-14,64560000,PASS,zero_based_phy_indices
GRID-FR1-030-0070,1,30,normal,189,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,68040000,965000,965000,0.00220458553791887,0.00220458553791887,4.92855329317247e-32,2.22003452522083e-14,54840000,PASS,zero_based_phy_indices
GRID-FR1-030-0080,1,30,normal,217,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,78120000,925000,925000,0.00192012288786482,0.00192012288786482,5.31179878070506e-32,2.30473399348061e-14,44760000,PASS,zero_based_phy_indices
GRID-FR1-030-0090,1,30,normal,245,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,88200000,885000,885000,0.00170068027210884,0.00170068027210884,6.83110157131504e-32,2.61363761285206e-14,34680000,PASS,zero_based_phy_indices
GRID-FR1-030-0100,1,30,normal,273,4096,122880000,[352 288 288 288 288 288 288 288 288 288 288 288 288 288],0,98280000,845000,845000,0.00152625152625153,0.00152625152625153,6.47191540459954e-32,2.54399595215864e-14,24600000,PASS,zero_based_phy_indices
GRID-FR1-060-0010,2,60,normal,11,256,15360000,[26 18 18 18 18 18 18 18 18 18 18 18 18 18],0,7920000,1010000,1010000,0.0378787878787879,0.0378787878787879,3.06158319536767e-32,1.74973803621218e-14,7440000,PASS,zero_based_phy_indices
GRID-FR1-060-0015,2,60,normal,18,256,15360000,[26 18 18 18 18 18 18 18 18 18 18 18 18 18],0,12960000,990000,990000,0.0231481481481481,0.0231481481481481,4.46220379059103e-32,2.11239290630106e-14,2400000,PASS,zero_based_phy_indices
GRID-FR1-060-0020,2,60,normal,24,512,30720000,[52 36 36 36 36 36 36 36 36 36 36 36 36 36],0,17280000,1330000,1330000,0.0173611111111111,0.0173611111111111,3.29023818753664e-32,1.81390137205324e-14,13440000,PASS,zero_based_phy_indices
GRID-FR1-060-0025,2,60,normal,31,512,30720000,[52 36 36 36 36 36 36 36 36 36 36 36 36 36],0,22320000,1310000,1310000,0.0134408602150538,0.0134408602150538,4.85176933790604e-32,2.20267322540272e-14,8400000,PASS,zero_based_phy_indices
GRID-FR1-060-0030,2,60,normal,38,1024,61440000,[104 72 72 72 72 72 72 72 72 72 72 72 72 72],0,27360000,1290000,1290000,0.0109649122807018,0.0109649122807018,3.5547354245719e-32,1.88540060055467e-14,34080000,PASS,zero_based_phy_indices
