TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status,IndexConvention
TDD-001,0,0,0,0,0,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,2,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,3,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,4,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,5,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,6,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,7,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,8,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,9,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,10,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,11,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,12,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,0,13,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,2,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,3,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,4,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,5,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,6,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,7,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,8,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,9,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,10,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,11,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,12,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,1,13,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,2,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,3,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,4,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,5,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,6,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,7,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,8,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,9,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,10,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,11,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,12,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,2,13,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,3,0,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,3,1,D,,D,common,,PASS,zero_based_phy_indices
TDD-001,0,0,0,0,3,2,D,,D,common,,PASS,zero_based_phy_indices
