FamilyID,ExperimentID,Variant,PreambleFormat,RestrictedSet,ZCZ,Msg1FDM,RODensity,DetectionProbability,FalseAlarmProbability,TimingRMSE_samples,CollisionProbability,Status
F01,F01-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F01,F01-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F02,F02-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F03,F03-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F04,F04-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F05,F05-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F06,F06-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F07,F07-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F08,F08-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F09,F09-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F10,F10-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F11,F11-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
