ImageFile,SourceCSVFiles,SourceCSVSHA256,PNG_SHA256,Width,Height,AxesCount,SeriesCount,FinitePointCount,Title,XLabel,YLabel,SemanticCheck,Status
ssb_burst_timeline.png,ssb_burst_plan.csv,38129f71e242712028a5ffcebdab1cd2ee3ccdfd891f64a48a5fd1c90d20b125,c2424facbec3d7d84377d153aa6e031d493a53245c773ae9725fb2c17ce6ec99,1016,745,1,2,104,SSB burst timeline,Absolute symbol,SSB index / beam,1,PASS
ssb_resource_grid.png,ssb_re_ownership.csv,b85e4395f3006d043048ed2050305ac201321bb1c364fbf5c91b9317664d2d91,b55fae8b1783403bdc459b0eea69175657664d483d41ed16e4b2af275a789a3a,1034,742,1,5,960,SS/PBCH block resource ownership,Subcarrier k,OFDM symbol l,1,PASS
ssb_beam_rsrp.png,ssb_beam_measurements.csv,11b9f2a5537f5ea3bf4dc531924edb501d7ec6bfa7a95efebeeaa60ad3abf7f7,0764c6f7eb4e602ce87fee5d52141f3ef29052f51cb25b1ad6abd73f34d3b426,1038,742,1,2,20,SSB beam measurements,SSB index,RSRP / SINR,1,PASS
ssb_blind_search_heatmap.png,ssb_blind_search_hypotheses.csv,fd013c24e7808eef910ce176dc829c09637dc0373688b44c4de147fd7637ede7,7bee6b687fffa83613712920729260f737f70cbac968c26d08bda7eb858b1d26,1049,745,1,1,100,Blind SSB search hypotheses,Timing hypothesis,Frequency / cell hypothesis,1,PASS
pbch_mib_bit_layout.png,pbch_mib_decode.csv,17f5963bc7f48fa73c6f985bd63a3e5ae12462a57172ff0273d302a1df05d70f,fff4aa659ece14e75cb82ed2302c27cdd8fa9c2f152442b650d2e064075ae0d5,1022,742,1,1,23,PBCH and MIB semantic bit layout,MIB field,Bit position,1,PASS
type0_coreset_searchspace.png,type0_coreset_resolution.csv|type0_monitoring_candidates.csv,ba2dd63dcf2e8d7f822b868a5799b0ee2724125cc82ca0195fe19b7d390a6615,449a35e39d94625e47c81eddfd450d61fba21007e1eb8e17ba2a91e6ad5815a5,1033,745,1,2,150,Type-0 CORESET and SearchSpace0,Absolute symbol / CCE,Resource / candidate,1,PASS
sib1_resource_grid.png,sib1_resource_ownership.csv,7d60f1be706cf9ef6d8122fdb384c7f9588aa7d411485f00eb89749412d3fdf9,0227552e13e0a1952c062d4362da4928642890551a10ae785300b23c6e530792,1029,742,1,4,100,SIB1 PDCCH/PDSCH resource ownership,PRB / subcarrier,OFDM symbol,1,PASS
sib1_asn1_tree_size.png,sib1_asn1_decode.csv,6cc6927476924366f337112613805ea6b69477cf730df86bead3db3b226a59ac,92b792aded2759954607221ed9dc5fd2ab15542662af975d19e8b4da6161c742,1033,742,1,1,20,SIB1 UPER payload and semantic decode,Scenario,Payload bits,1,PASS
prach_occasion_map.png,prach_occasion_resolution.csv,c912efe4209a49df1cf70fd21e47ad223f486886d4010afdd84c94dfc9271926,93ce787212f7d31e50ee376d59554ec3a0bc0cf85e2dddb671ef28e80de252e8,1043,742,1,2,100,PRACH occasion time-frequency map,Absolute slot,Frequency occasion,1,PASS
prach_preamble_correlation.png,prach_detection_trials.csv,23a9040f317d450ca703c9c63ad73e2121d8c0c1651df57bb3d78b95b103e53a,40ac5e6c639f60b5ae0e6661bf4fb36a87ff2f4d654bbfacea98d54715c69a12,1031,745,1,2,200,PRACH correlation and detection,Timing hypothesis,Correlation metric,1,PASS
