AttemptID,UEID,PreamblePowerCounter,TargetGNBPower_dBm,MeasuredPathloss_dB,RequestedTxPower_dBm,AppliedTxPower_dBm,MeasuredWaveformPower_dBm,PowerError_dB,PCMAX_dBm,Clipped,SourceMeasurementID,Status
RAPWR-0001,UE-001,1,-120,100,-20,-20,-20,-3.5527136788005e-15,23,0,e02ef410f13c40680f421bf01e198ea6a1df3604d98871d1c093a7d8105345ec,PASS
RAPWR-0002,UE-002,2,-120,130,10,10,10,1.77635683940025e-15,30,0,900db848d420a77577b4839f14d657cf08b7093110dce14b1f786cc31fc8162b,PASS
RAPWR-0003,UE-003,4,-120,160,40,10,10,1.77635683940025e-15,10,1,c3f6ffe726b3ea48cf8fb3a38ac759c19e24561e90090569f5757f1b7b9b9d22,PASS
RAPWR-0004,UE-004,8,-120,70,-50,-50,-50,-7.105427357601e-15,23,0,1bde8ae9388a3516f9345bd9783c8042268399e40a905270d96d4e99724bc755,PASS
RAPWR-0005,UE-005,1,-120,100,-20,-20,-20,-3.5527136788005e-15,30,0,e02ef410f13c40680f421bf01e198ea6a1df3604d98871d1c093a7d8105345ec,PASS
RAPWR-0006,UE-006,2,-118,130,12,10,10,1.77635683940025e-15,10,1,900db848d420a77577b4839f14d657cf08b7093110dce14b1f786cc31fc8162b,PASS
RAPWR-0007,UE-007,4,-114,160,46,23,23,-1.4210854715202e-14,23,1,c3f6ffe726b3ea48cf8fb3a38ac759c19e24561e90090569f5757f1b7b9b9d22,PASS
RAPWR-0008,UE-008,8,-106,70,-36,-36,-36,-2.1316282072803e-14,30,0,1bde8ae9388a3516f9345bd9783c8042268399e40a905270d96d4e99724bc755,PASS
RAPWR-0009,UE-009,1,-120,100,-20,-20,-20,-3.5527136788005e-15,10,0,e02ef410f13c40680f421bf01e198ea6a1df3604d98871d1c093a7d8105345ec,PASS
RAPWR-0010,UE-010,2,-116,130,14,14,14,-1.06581410364015e-14,23,0,900db848d420a77577b4839f14d657cf08b7093110dce14b1f786cc31fc8162b,PASS
RAPWR-0011,UE-011,4,-108,160,52,30,30,-3.5527136788005e-15,30,1,c3f6ffe726b3ea48cf8fb3a38ac759c19e24561e90090569f5757f1b7b9b9d22,PASS
RAPWR-0012,UE-012,8,-92,70,-22,-22,-22,-3.5527136788005e-15,10,0,1bde8ae9388a3516f9345bd9783c8042268399e40a905270d96d4e99724bc755,PASS
RAPWR-0013,UE-013,1,-120,100,-20,-20,-20,-3.5527136788005e-15,23,0,e02ef410f13c40680f421bf01e198ea6a1df3604d98871d1c093a7d8105345ec,PASS
RAPWR-0014,UE-014,2,-114,130,16,16,16,-1.77635683940025e-15,30,0,900db848d420a77577b4839f14d657cf08b7093110dce14b1f786cc31fc8162b,PASS
RAPWR-0015,UE-015,4,-102,160,58,10,10,1.77635683940025e-15,10,1,c3f6ffe726b3ea48cf8fb3a38ac759c19e24561e90090569f5757f1b7b9b9d22,PASS
RAPWR-0016,UE-016,8,-78,70,-7.99999999999999,-7.99999999999999,-7.99999999999999,-5.32907051820075e-15,23,0,1bde8ae9388a3516f9345bd9783c8042268399e40a905270d96d4e99724bc755,PASS
RAPWR-0017,UE-017,1,-118,100,-18,-18,-18,-3.5527136788005e-15,30,0,e02ef410f13c40680f421bf01e198ea6a1df3604d98871d1c093a7d8105345ec,PASS
RAPWR-0018,UE-018,2,-118,130,12,10,10,1.77635683940025e-15,10,1,900db848d420a77577b4839f14d657cf08b7093110dce14b1f786cc31fc8162b,PASS
RAPWR-0019,UE-019,4,-118,160,42,23,23,-1.4210854715202e-14,23,1,c3f6ffe726b3ea48cf8fb3a38ac759c19e24561e90090569f5757f1b7b9b9d22,PASS
RAPWR-0020,UE-020,8,-118,70,-48,-48,-48,-1.4210854715202e-14,30,0,1bde8ae9388a3516f9345bd9783c8042268399e40a905270d96d4e99724bc755,PASS
