ComparisonID,KPI,FixedValue,GeometryValue,Difference,Tolerance,Status
DL_AWGN_-5_11,BER,0.4125,0.4125,0,0,PASS
DL_AWGN_-5_11,BLER,1,1,0,0,PASS
DL_AWGN_-5_11,PostEqSINR_dB,-0.304549003314956,-0.304549003314956,0,0,PASS
DL_AWGN_-5_23,BER,0.31875,0.31875,0,0,PASS
DL_AWGN_-5_23,BLER,1,1,0,0,PASS
DL_AWGN_-5_23,PostEqSINR_dB,1.89487875550662,1.89487875550662,0,0,PASS
DL_AWGN_-5_47,BER,0.371875,0.371875,0,0,PASS
DL_AWGN_-5_47,BLER,1,1,0,0,PASS
DL_AWGN_-5_47,PostEqSINR_dB,0.447831168668193,0.447831168668193,0,0,PASS
DL_AWGN_-5_89,BER,0.36875,0.36875,0,0,PASS
DL_AWGN_-5_89,BLER,1,1,0,0,PASS
DL_AWGN_-5_89,PostEqSINR_dB,2.8268582222402,2.8268582222402,0,0,PASS
DL_AWGN_0_11,BER,0,0,0,0,PASS
DL_AWGN_0_11,BLER,0,0,0,0,PASS
DL_AWGN_0_11,PostEqSINR_dB,2.2337660230848,2.2337660230848,0,0,PASS
DL_AWGN_0_23,BER,0,0,0,0,PASS
DL_AWGN_0_23,BLER,0,0,0,0,PASS
DL_AWGN_0_23,PostEqSINR_dB,3.59892074224767,3.59892074224767,0,0,PASS
DL_AWGN_0_47,BER,0,0,0,0,PASS
DL_AWGN_0_47,BLER,0,0,0,0,PASS
DL_AWGN_0_47,PostEqSINR_dB,2.63544510220052,2.63544510220052,0,0,PASS
DL_AWGN_0_89,BER,0,0,0,0,PASS
DL_AWGN_0_89,BLER,0,0,0,0,PASS
DL_AWGN_0_89,PostEqSINR_dB,3.92545778458801,3.92545778458801,0,0,PASS
DL_AWGN_5_11,BER,0,0,0,0,PASS
DL_AWGN_5_11,BLER,0,0,0,0,PASS
DL_AWGN_5_11,PostEqSINR_dB,5.80706870860987,5.80706870860987,0,0,PASS
DL_AWGN_5_23,BER,0,0,0,0,PASS
DL_AWGN_5_23,BLER,0,0,0,0,PASS
DL_AWGN_5_23,PostEqSINR_dB,6.60661933541289,6.60661933541289,0,0,PASS
DL_AWGN_5_47,BER,0,0,0,0,PASS
DL_AWGN_5_47,BLER,0,0,0,0,PASS
DL_AWGN_5_47,PostEqSINR_dB,5.97085435484659,5.97085435484659,0,0,PASS
DL_AWGN_5_89,BER,0,0,0,0,PASS
DL_AWGN_5_89,BLER,0,0,0,0,PASS
DL_AWGN_5_89,PostEqSINR_dB,6.69175385126819,6.69175385126819,0,0,PASS
DL_AWGN_10_11,BER,0,0,0,0,PASS
DL_AWGN_10_11,BLER,0,0,0,0,PASS
DL_AWGN_10_11,PostEqSINR_dB,10.2249867245635,10.2249867245635,0,0,PASS
DL_AWGN_10_23,BER,0,0,0,0,PASS
DL_AWGN_10_23,BLER,0,0,0,0,PASS
DL_AWGN_10_23,PostEqSINR_dB,10.6732810646822,10.6732810646822,0,0,PASS
DL_AWGN_10_47,BER,0,0,0,0,PASS
DL_AWGN_10_47,BLER,0,0,0,0,PASS
DL_AWGN_10_47,PostEqSINR_dB,10.2774289933825,10.2774289933825,0,0,PASS
DL_AWGN_10_89,BER,0,0,0,0,PASS
DL_AWGN_10_89,BLER,0,0,0,0,PASS
DL_AWGN_10_89,PostEqSINR_dB,10.6854642530137,10.6854642530137,0,0,PASS
DL_TDL-C_-5_11,BER,0.325,0.325,0,0,PASS
DL_TDL-C_-5_11,BLER,1,1,0,0,PASS
DL_TDL-C_-5_11,PostEqSINR_dB,-11.0836468577738,-11.0836468577738,0,0,PASS
DL_TDL-C_-5_23,BER,0.353125,0.353125,0,0,PASS
DL_TDL-C_-5_23,BLER,1,1,0,0,PASS
DL_TDL-C_-5_23,PostEqSINR_dB,-10.7176317000556,-10.7176317000556,0,0,PASS
DL_TDL-C_-5_47,BER,0.334375,0.334375,0,0,PASS
DL_TDL-C_-5_47,BLER,1,1,0,0,PASS
DL_TDL-C_-5_47,PostEqSINR_dB,-10.2872068797617,-10.2872068797617,0,0,PASS
DL_TDL-C_-5_89,BER,0.359375,0.359375,0,0,PASS
DL_TDL-C_-5_89,BLER,1,1,0,0,PASS
DL_TDL-C_-5_89,PostEqSINR_dB,-12.2380829264798,-12.2380829264798,0,0,PASS
DL_TDL-C_0_11,BER,0,0,0,0,PASS
DL_TDL-C_0_11,BLER,0,0,0,0,PASS
DL_TDL-C_0_11,PostEqSINR_dB,-3.05533328506718,-3.05533328506718,0,0,PASS
DL_TDL-C_0_23,BER,0,0,0,0,PASS
DL_TDL-C_0_23,BLER,0,0,0,0,PASS
DL_TDL-C_0_23,PostEqSINR_dB,-2.95295147839491,-2.95295147839491,0,0,PASS
DL_TDL-C_0_47,BER,0,0,0,0,PASS
DL_TDL-C_0_47,BLER,0,0,0,0,PASS
DL_TDL-C_0_47,PostEqSINR_dB,-2.80794279031004,-2.80794279031004,0,0,PASS
DL_TDL-C_0_89,BER,0,0,0,0,PASS
DL_TDL-C_0_89,BLER,0,0,0,0,PASS
DL_TDL-C_0_89,PostEqSINR_dB,-3.03963218368537,-3.03963218368537,0,0,PASS
DL_TDL-C_5_11,BER,0,0,0,0,PASS
DL_TDL-C_5_11,BLER,0,0,0,0,PASS
DL_TDL-C_5_11,PostEqSINR_dB,3.83807722710915,3.83807722710915,0,0,PASS
DL_TDL-C_5_23,BER,0,0,0,0,PASS
DL_TDL-C_5_23,BLER,0,0,0,0,PASS
DL_TDL-C_5_23,PostEqSINR_dB,3.86758631004981,3.86758631004981,0,0,PASS
DL_TDL-C_5_47,BER,0,0,0,0,PASS
DL_TDL-C_5_47,BLER,0,0,0,0,PASS
DL_TDL-C_5_47,PostEqSINR_dB,3.6506881864921,3.6506881864921,0,0,PASS
DL_TDL-C_5_89,BER,0,0,0,0,PASS
DL_TDL-C_5_89,BLER,0,0,0,0,PASS
DL_TDL-C_5_89,PostEqSINR_dB,4.11637788091055,4.11637788091055,0,0,PASS
DL_TDL-C_10_11,BER,0,0,0,0,PASS
DL_TDL-C_10_11,BLER,0,0,0,0,PASS
DL_TDL-C_10_11,PostEqSINR_dB,9.59526867663589,9.59526867663589,0,0,PASS
DL_TDL-C_10_23,BER,0,0,0,0,PASS
DL_TDL-C_10_23,BLER,0,0,0,0,PASS
DL_TDL-C_10_23,PostEqSINR_dB,9.77547884675061,9.77547884675061,0,0,PASS
DL_TDL-C_10_47,BER,0,0,0,0,PASS
DL_TDL-C_10_47,BLER,0,0,0,0,PASS
DL_TDL-C_10_47,PostEqSINR_dB,9.37848816664942,9.37848816664942,0,0,PASS
DL_TDL-C_10_89,BER,0,0,0,0,PASS
DL_TDL-C_10_89,BLER,0,0,0,0,PASS
DL_TDL-C_10_89,PostEqSINR_dB,9.83366532372167,9.83366532372167,0,0,PASS
UL_AWGN_-5_11,BER,0.3515625,0.3515625,0,0,PASS
UL_AWGN_-5_11,BLER,1,1,0,0,PASS
UL_AWGN_-5_11,PostEqSINR_dB,-4.43148803467709,-4.43148803467709,0,0,PASS
UL_AWGN_-5_23,BER,0.395833333333333,0.395833333333333,0,0,PASS
UL_AWGN_-5_23,BLER,1,1,0,0,PASS
UL_AWGN_-5_23,PostEqSINR_dB,-6.57891973766071,-6.57891973766071,0,0,PASS
UL_AWGN_-5_47,BER,0.377604166666667,0.377604166666667,0,0,PASS
UL_AWGN_-5_47,BLER,1,1,0,0,PASS
UL_AWGN_-5_47,PostEqSINR_dB,-4.17938868926327,-4.17938868926327,0,0,PASS
UL_AWGN_-5_89,BER,0.328125,0.328125,0,0,PASS
UL_AWGN_-5_89,BLER,1,1,0,0,PASS
UL_AWGN_-5_89,PostEqSINR_dB,-7.68421653933234,-7.68421653933234,0,0,PASS
UL_AWGN_0_11,BER,0,0,0,0,PASS
UL_AWGN_0_11,BLER,0,0,0,0,PASS
UL_AWGN_0_11,PostEqSINR_dB,0.364754082810261,0.364754082810261,0,0,PASS
UL_AWGN_0_23,BER,0,0,0,0,PASS
UL_AWGN_0_23,BLER,0,0,0,0,PASS
UL_AWGN_0_23,PostEqSINR_dB,-0.32318244837519,-0.32318244837519,0,0,PASS
UL_AWGN_0_47,BER,0,0,0,0,PASS
UL_AWGN_0_47,BLER,0,0,0,0,PASS
UL_AWGN_0_47,PostEqSINR_dB,0.31454698945449,0.31454698945449,0,0,PASS
UL_AWGN_0_89,BER,0,0,0,0,PASS
UL_AWGN_0_89,BLER,0,0,0,0,PASS
UL_AWGN_0_89,PostEqSINR_dB,-1.20940514940957,-1.20940514940957,0,0,PASS
UL_AWGN_5_11,BER,0,0,0,0,PASS
UL_AWGN_5_11,BLER,0,0,0,0,PASS
UL_AWGN_5_11,PostEqSINR_dB,5.15284764178967,5.15284764178967,0,0,PASS
UL_AWGN_5_23,BER,0,0,0,0,PASS
UL_AWGN_5_23,BLER,0,0,0,0,PASS
UL_AWGN_5_23,PostEqSINR_dB,4.72862032634391,4.72862032634391,0,0,PASS
UL_AWGN_5_47,BER,0,0,0,0,PASS
UL_AWGN_5_47,BLER,0,0,0,0,PASS
UL_AWGN_5_47,PostEqSINR_dB,5.23703362583221,5.23703362583221,0,0,PASS
UL_AWGN_5_89,BER,0,0,0,0,PASS
UL_AWGN_5_89,BLER,0,0,0,0,PASS
UL_AWGN_5_89,PostEqSINR_dB,4.35906186958677,4.35906186958677,0,0,PASS
UL_AWGN_10_11,BER,0,0,0,0,PASS
UL_AWGN_10_11,BLER,0,0,0,0,PASS
UL_AWGN_10_11,PostEqSINR_dB,9.85150520101184,9.85150520101184,0,0,PASS
UL_AWGN_10_23,BER,0,0,0,0,PASS
UL_AWGN_10_23,BLER,0,0,0,0,PASS
