relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,41487,85612f5c10c816452b4e91d24130adac6511781ca25d922a65284713d0743358,True,PNG,1280,720,RGBA,23,255,50.625884748391684,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,39630,c87e4e392bc75b015697d96a77eedcf2024c68aa8222c348d77c6a5f2a87d6e1,True,PNG,1280,720,RGBA,23,255,61.069159234646094,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,43414,c2c598207f6b417c6fe9848017f45cda1782f4f171af61154dea425155b1387e,True,PNG,1280,720,RGBA,23,255,61.305059904320849,False,
analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png,.png,53157,420144c212e42b49a185e3a0372916123f6bde3dc7404b4834e60595cc526c3c,True,PNG,1280,720,RGBA,23,255,24.633044566795359,False,
analytics/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,67206,ba8d83344c5bdc7591216b04a15f970335b456a94e1efbde210cd9f7d7ad7b03,True,PNG,1280,720,RGBA,23,255,29.405988757984037,False,
analytics/image/contract__constellation-evm-analytics__evm-rms.png,.png,35153,db9fd96428c609cfb18c60b575afe0f6a136ee48172b80d4469bdb318f3fc613,True,PNG,1280,720,RGBA,23,255,61.726492872832651,False,
analytics/image/contract__error-reliability-analytics__ber-vs-snr.png,.png,56130,af447763892fba0431db703ca9b20ef866179835fdfa7b5874424522dc3647a9,True,PNG,1280,720,RGBA,23,255,23.900453414400335,False,
analytics/image/contract__error-reliability-analytics__ber.png,.png,54200,054ccef8944e688acd694e9cf2ed935aa2ea16344907daeb37bf4d8a99091929,True,PNG,1280,720,RGBA,23,255,62.268067282461985,False,
analytics/image/contract__error-reliability-analytics__bler-vs-mcs.png,.png,35578,79eb8413420b03be26c0ac1fc0286c8356eae2aaf649743a09344d1a70e159d2,True,PNG,1280,720,RGBA,23,255,42.773735460148089,False,
analytics/image/contract__error-reliability-analytics__bler-vs-sinr.png,.png,57216,25439b3887407e0aa1811e5f540711c5a4e99dd47ed90345a42550197e9bd0cf,True,PNG,1280,720,RGBA,23,255,23.974172927849548,False,
analytics/image/contract__error-reliability-analytics__bler-vs-snr.png,.png,55133,096dcf8d5603b55ddad41896a3363ed0eb7496cb3608ac0452eee0e1b2f706c9,True,PNG,1280,720,RGBA,23,255,23.667541441732229,False,
analytics/image/contract__error-reliability-analytics__bler.png,.png,53617,43d66dd5a7f00e72b48d5026bde09c38aa1e2bb5251853a3e849f654ee67ec74,True,PNG,1280,720,RGBA,23,255,59.242537333380575,False,
analytics/image/contract__error-reliability-analytics__cbg-error-rates.png,.png,38223,7186d2148e0d834280e18615f40712f69f6fd7293cc844203dbcc13fde52f9c1,True,PNG,1280,720,RGBA,23,255,56.831799495198794,False,
analytics/image/contract__error-reliability-analytics__code-block-error-rates.png,.png,40170,adb0a298757bef97b6c368ac5a556fb423c6f8beaca256daa9a8d0cc9021a9f3,True,PNG,1280,720,RGBA,23,255,57.181540122220746,False,
analytics/image/contract__error-reliability-analytics__crc-pass-fail-rates.png,.png,49810,2f1155379b63f515f23fa0089a63ef1da38d31421f32e6c9ccaa9809209946da,True,PNG,1280,720,RGBA,23,255,23.826989987561173,False,
analytics/image/contract__error-reliability-analytics__decoder-iteration-distributions.png,.png,39847,0b695aa6efbf2b1d8509403328739d97e61d96fa94d21bb6fdfc1a82f36bcc95,True,PNG,1280,720,RGBA,23,255,50.056072893539756,False,
analytics/image/contract__error-reliability-analytics__fer-vs-snr.png,.png,54472,cd5d30654029cc6db8b1e762e113b2347a0a41343ce33b760410b44844ac4d22,True,PNG,1280,720,RGBA,23,255,23.418553118214437,False,
analytics/image/contract__error-reliability-analytics__fer.png,.png,53275,231e03532474270708991307de5dfb06f5dba33d50b9bfbb159f65a7fd7b3e79,True,PNG,1280,720,RGBA,23,255,59.170593466045439,False,
analytics/image/contract__error-reliability-analytics__per-channel-reliability-breakdown.png,.png,45643,4d69ff2e6d8455d9b49d4e8f593a7ab75d29439b2337d39214b5edd099a5b350,True,PNG,1280,720,RGBA,23,255,55.649435432354039,False,
analytics/image/contract__error-reliability-analytics__per-ue-and-per-cell-reliability.png,.png,36445,8fa29d9c3517381a98bdfbb8e70d2937c7128ca10bfb02e16fe631287a529c4c,True,PNG,1280,720,RGBA,23,255,43.731484628788436,False,
analytics/image/contract__export-consistency-truth-analytics__assumption-usage-summaries.png,.png,43803,e4d007878163c984b0e555ab6a2ac9ecc8aa600de3626ca3a3784a658f52f8fc,True,PNG,1280,720,RGBA,23,255,46.63080373113236,False,
analytics/image/contract__export-consistency-truth-analytics__config-drift.png,.png,39512,00b10107032050fa69064957c50729469976539d06a7508dee4b5e2bfd9cfee0,True,PNG,1280,720,RGBA,23,255,23.133206715467246,False,
analytics/image/contract__export-consistency-truth-analytics__csv-vs-db-consistency.png,.png,41730,79279c52735bb198c92863fcae493b3d64710b99db394790a611cbee7fcab839,True,PNG,1280,720,RGBA,23,255,60.867912167557066,False,
analytics/image/contract__export-consistency-truth-analytics__db-vs-browser-consistency.png,.png,42777,11518a078de984c4223e46e8cddc9ae7cd756a28149e6ae8454953286d264b8d,True,PNG,1280,720,RGBA,23,255,61.021006660005455,False,
analytics/image/contract__export-consistency-truth-analytics__fallback-event-summaries.png,.png,38166,3cafa7d4c24bc845a587f1e1340d0a6efd8bba8ec1204edeb5347c2699ead3c2,True,PNG,1280,720,RGBA,23,255,60.934352076111736,False,
analytics/image/contract__export-consistency-truth-analytics__missing-field-audits.png,.png,41989,64bc97bbf99d3c60630227ab894924fd17472d840c063b632db42e8e61ab449a,True,PNG,1280,720,RGBA,23,255,39.775846886561574,False,
analytics/image/contract__export-consistency-truth-analytics__placeholder-exposure-checks.png,.png,40809,097856fdcea7278ebbf8dd0109220ed5b6c4dc9cb53a35ea0d8eb4a7a6412fed,True,PNG,1280,720,RGBA,23,255,61.105869054773599,False,
analytics/image/contract__export-consistency-truth-analytics__run-status-truth-checks.png,.png,38088,bb92df872d62dbc8da6d00fdbe9c9416c13d77fb69bd58197fcb6cbe67c818f6,True,PNG,1280,720,RGBA,23,255,49.849143662667096,False,
analytics/image/contract__export-consistency-truth-analytics__schema-drift.png,.png,38900,2fde84c0e8abb2426e4cb408871dc4dfbfdd0dbf10735ca446aaa53aa71ba9d5,True,PNG,1280,720,RGBA,23,255,50.363165500351236,False,
analytics/image/contract__export-consistency-truth-analytics__smoke-exposure-checks.png,.png,40213,c3e115abaae7d641b62e2f0791c3c249f0ec4fda046fe1a6b25c698c63bd3d81,True,PNG,1280,720,RGBA,23,255,23.072303288080452,False,
analytics/image/contract__export-consistency-truth-analytics__source-row-count-vs-analytics-row-count.png,.png,57982,f1a162604b6e94366f131124b2d0ae451c5c19054de21ae7c4e140206bf91257,True,PNG,1280,720,RGBA,23,255,31.638689577673208,False,
analytics/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png,.png,52963,b120e6e01129852049c101c7401f4373b2435b2ef35ddab4292c026bd60ad1ac,True,PNG,1280,720,RGBA,23,255,26.0629845344187,False,
analytics/image/contract__export-consistency-truth-analytics__truth-policy-violation-counts.png,.png,39476,0cd875b3bd9448194ff6462b6b125fafe0404f56c437585abea0949004a76534,True,PNG,1280,720,RGBA,23,255,50.139730489496472,False,
analytics/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png,.png,98170,1cf3fd8d497f60846d737a450ee629218e73ff8afaa6b4187a7e49c34af7f376,True,PNG,1280,720,RGBA,23,255,30.845498858860921,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png,.png,69256,c1b1cc328b53ca7b9b329dee58718d05372c34d0758123ceed8057a583587173,True,PNG,1280,720,RGBA,23,255,29.604244910060462,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.png,.png,46717,cfe2dee3e5aae9892c7218580463005ba96166c6bdd6920d4dd9c83b80679ccf,True,PNG,1280,720,RGBA,23,255,25.440468800984689,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__per-layer-quality-plot.png,.png,40524,417c503e05df1a3d21910e77cc55d5c7bf20dec4ebd6d5ed0ecd728f58d20f82,True,PNG,1280,720,RGBA,23,255,61.877886616698682,False,
analytics/image/contract__power-energy-efficiency-analytics__active-bandwidth-vs-power.png,.png,40426,4d59d69798a87f5ac8c3648196d06fa8a678e7349b5e32555b8d103b5d0a3e82,True,PNG,1280,720,RGBA,23,255,60.998486574093363,False,
analytics/image/contract__power-energy-efficiency-analytics__baseband-power.png,.png,44467,b69e89930621966403d5a6d13fe2a90d2bdc5e74ea333935d03e7fcee32bdc97,True,PNG,1280,720,RGBA,23,255,24.057359058095166,False,
analytics/image/contract__power-energy-efficiency-analytics__dl-tx-power-per-cell-beam-ue.png,.png,48472,e39a79431abfee4181649df6072f597a58561d4e33dea76184b377ec0dba0409,True,PNG,1280,720,RGBA,23,255,61.28877119623052,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-bit.png,.png,40297,b054700a873783265fbd32a0c1568b26ec5b04257038c94c58647ebd63c75718,True,PNG,1280,720,RGBA,23,255,49.358111733333111,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-ue.png,.png,42081,b8539ad9fce52601f1d5764fb8a0e5fa834cabcdf1b3d505bd52546ceb0df73d,True,PNG,1280,720,RGBA,23,255,60.948062011407657,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-per-bit-histogram.png,.png,36411,032fb38d31edb0e9a4e328bb643d953deaa7b8a07408a68a214b27366276302e,True,PNG,1280,720,RGBA,23,255,46.16388688596809,False,
analytics/image/contract__power-energy-efficiency-analytics__joules-gb.png,.png,39401,b1af3d74be43394731960665cc2dc2b3c3916e2178b09020e7e982c7166160c8,True,PNG,1280,720,RGBA,23,255,49.246264064546303,False,
analytics/image/contract__power-energy-efficiency-analytics__papr-vs-power.png,.png,52405,cfa3224c5055100d9facaf620b5613322830fa8e3da7faa94f8ca37cbdce7bce,True,PNG,1280,720,RGBA,23,255,23.562215533520042,False,
analytics/image/contract__power-energy-efficiency-analytics__power-vs-bler.png,.png,43670,5dc93ce8936d39f4290e260e11cdff40c665454c26c5d8f0eb5367e9902eab93,True,PNG,1280,720,RGBA,23,255,22.509044775302264,False,
analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png,.png,44542,45825cf01f497cbbab4daf85f166bfdfa26bb966e21a76256dc6ac16b790027d,True,PNG,1280,720,RGBA,23,255,23.3168175951492,False,
analytics/image/contract__power-energy-efficiency-analytics__sleep-idle-active-state-occupancy.png,.png,47443,006b7f655d3ba611ad06b002446c3c4e1338bc7f39f25de6df152835cd63c29b,True,PNG,1280,720,RGBA,23,255,63.133179168480517,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png,.png,45383,2944acc38740ce5878b65a4aa0158a5986db8f3a9b9b1a25365febc3d7e18ebd,True,PNG,1280,720,RGBA,23,255,42.410517884366314,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__dropped-row-duplicate-write-analytics.png,.png,46917,9a7157fbac441794b679ce779138fa033de7a551e6d13b639e216c47925e8aa6,True,PNG,1280,720,RGBA,23,255,26.697285122791214,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__latency-cdf.png,.png,40828,389d16e7d0c4b2a8fdb35d5629dbabdd62e6612c54b7472ef6dcb8c8a0e55484,True,PNG,1280,720,RGBA,23,255,22.623889224890657,False,
analytics/image/contract__runtime-compute-complexity-parallelism-analytics__normalized-decoder-complexity.png,.png,45957,4a6caa3aac6cc25579821f961790d29c63fd4a45f5b376cb4b6c1a0e32d55928,True,PNG,1280,720,RGBA,23,255,42.8343886566444,False,
analytics/image/contract__spectrum-psd-papr-analytics__clipping-event-histogram.png,.png,39445,e8da12bc20e13fdec88e6898d9641c8ececa76cf2aef5ac336debd4aeefd8168,True,PNG,1280,720,RGBA,23,255,60.99434474160811,False,
analytics/image/contract__spectrum-psd-papr-analytics__papr-histogram-cdf.png,.png,40272,126a1b76b7f97ef36c561554a726bb99706edd60dabfb51cc5f7329154c0db9d,True,PNG,1280,720,RGBA,23,255,44.359561327575449,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput.png,.png,37242,e15898c2e7c33ebe45ef05d09700eb498f3378cefaade2027e722bb1dbe332dc,True,PNG,1280,720,RGBA,23,255,61.434457144274852,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__offered-throughput.png,.png,40062,25433c17d78d1f633d1beef560bb8cefe783102cbac356ae3df550d13817e2b3,True,PNG,1280,720,RGBA,23,255,61.865155972360924,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__per-cell-throughput.png,.png,34620,dfae2cebb62ead1b399ba0cdbabd1b4e480e554da9de5f745884602ca47c7454,True,PNG,1280,720,RGBA,23,255,60.709292036021331,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__spectral-efficiency.png,.png,40095,e16d8f52196fab8b68130771bde0334bc36704e931a34a375b177a447cb871ba,True,PNG,1280,720,RGBA,23,255,61.775554021509031,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-load.png,.png,40348,176424c7304f5b10c20d1b6507c4586ab1a25de27bc7a2e3c318ffb817d6fe16,True,PNG,1280,720,RGBA,23,255,60.810014704572282,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-sinr.png,.png,44448,e3658e1d7f3e984900ff1620388b88c842bc43e276c1caa4845e1ff2a7c79c9a,True,PNG,1280,720,RGBA,23,255,23.501765164604393,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-snr.png,.png,66501,c9fad705b123bfa1e822d0054ece9cdf311bc640b50e456626ed960a2d526a67,True,PNG,1280,720,RGBA,23,255,25.911745884593234,False,
analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput.png,.png,37684,93052a100b7c09959914bd8752a504677f223ca8ed9e5ae0e8cf6692aa1a1de7,True,PNG,1280,720,RGBA,23,255,61.545795408256147,False,
reports/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png,.png,39630,c87e4e392bc75b015697d96a77eedcf2024c68aa8222c348d77c6a5f2a87d6e1,True,PNG,1280,720,RGBA,23,255,61.069159234646094,False,
