relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,37330,0a2b87db6571dc5164087e88f6c5f99be524978ce26cef8fc4e5f7bf916f53ee,True,PNG,1280,720,RGBA,23,255,23.441625500039343,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,58535,c146e1b96395281d0e707e5eb6c6c03983207e088e790117ac7bf7f5c134a869,True,PNG,1180,760,RGBA,23,255,54.892607771262107,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,31147,17ec2d54248d060fb11cf9e3261823842b9a5cfe11724910b5a3a66f337830e9,True,PNG,1280,720,RGBA,23,255,57.26588542108901,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,43841,2d2cf5af8fe922f041d612033cde7904d763afe396bd205da7c85359a4a1d36b,True,PNG,1280,720,RGBA,23,255,25.757908005940543,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,49895,94c0e357fdafd6fd3e18d5e716d4cb47c9a70ddfbbc2205b3f34576a3f81352c,True,PNG,1280,720,RGBA,23,255,25.735671966121831,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,50226,adf155aba4e0503b5e289d17cb04ad774cb5a8a9f86900ac792c15d79118483c,True,PNG,1280,720,RGBA,23,255,25.920369055646024,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,37511,482e975e16d2ec45be7d0203357af9378e62cf1833559c70b7fc4a22d02dfd2d,True,PNG,1180,760,RGBA,23,255,51.969542595052346,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,33473,751e846b6a224b050afc8dfcd0516710327066a1a58812cb4e5694e39db34336,True,PNG,1280,720,RGBA,23,255,49.660085233861473,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,27985,4660038319140e37939324b4b93e614a7da5d636a3693e45f95d1253aa22d8df,True,PNG,1280,720,RGBA,23,255,57.387647599152395,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.png,.png,33873,de3c1a58b47309bd2d72bfe59f2e1dbb0dc47042229ea855c7caca927760844a,True,PNG,1280,720,RGBA,23,255,59.765209533354685,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,35320,fa476e7c220eaa322bfb2944fd771520162db4bad7334bfb1ee6f8f957274170,True,PNG,1280,720,RGBA,23,255,49.512615062652458,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,34201,eeb9e7b9770ba9658ccbc81d5455590a1f84ac90dcddb17a87e7acd52024dc06,True,PNG,1280,720,RGBA,23,255,55.258452650169318,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__rank-distribution.png,.png,27979,8aa56208bdc74612f261bce215bb601b930d37d7a283ead4431d2e1a93d127ff,True,PNG,1280,720,RGBA,23,255,60.611345985219991,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.png,.png,31997,d29a8a441e2d5f3490bdfc9333ef2baaef389bf996894b9146fc54b9643ea64a,True,PNG,1280,720,RGBA,23,255,57.255850835244139,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-impulse-response.png,.png,37323,34e7ede978c16717c04d89b225ff332d80f5933907286ca3a8a7ba423c9a713d,True,PNG,1280,720,RGBA,23,255,52.264574705341346,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-magnitude-heatmap.png,.png,44556,bf994216c5811b545b3c7bd9ce2d032f1d5169758aecaf7cf02f031547048a9c,True,PNG,1180,760,RGBA,23,255,55.230767311960072,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-phase-heatmap.png,.png,48397,29b7129921e5976cae2540c76ecd546bab57450fae36b10da416d0622b09bc72,True,PNG,1180,760,RGBA,23,255,45.72814605223828,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-f.png,.png,53317,52ef49df6b1846b5c8a6a993ede72da97d12e7ba9cef2ce94ac63f3db2c7a2f0,True,PNG,1280,720,RGBA,23,255,25.246009309247643,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-tau.png,.png,58716,ca4bd2d3c8583fe2f8c1186fdd700e7b96ffb56e26e53164ca20a92cbd11e1df,True,PNG,1280,720,RGBA,23,255,26.010712215383638,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,37873,c1e6f3ad589362ad2eed39faec5967ed1dc80ba9a02863a8cbda58431dfc0d78,True,PNG,1280,720,RGBA,23,255,50.516562586503007,False,
analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png,.png,36390,994dd62161376627dc7469e74d61a583ede647db6cc96dba8e6686f86518608f,True,PNG,1280,720,RGBA,23,255,49.942362222356195,False,
analytics/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,43037,446465d38d28aab15d0099e6c6408e439d3e82bdf72e05709b3dd4c8d61a034d,True,PNG,1280,720,RGBA,23,255,24.749389567401114,False,
analytics/image/contract__channel-estimation-propagation-analytics__pathloss-distribution.png,.png,36260,41d7d951409b2bab1e71055651e124f7f2846537af192c1b74dac1f20d5ea622,True,PNG,1280,720,RGBA,23,255,55.801670594286009,False,
analytics/image/contract__channel-estimation-propagation-analytics__tap-power-profile.png,.png,36370,10f00623a67b2200fe9f297a9deff926f5dcbc75ddf7f2851c3856fb41734bb9,True,PNG,1280,720,RGBA,23,255,51.821593154824932,False,
analytics/image/contract__channel-estimation-propagation-analytics__true-h-f-if-available.png,.png,54621,72e3e18daabdff5b4cfc0892578e1e10a5646fdfa08cba1787d71d89f8dd67d7,True,PNG,1280,720,RGBA,23,255,25.671428833279137,False,
