relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-element-layout.png,.png,42907,06b1ed94b06e9111f70bac4dc05b02ab406308e3dbb9fd88dd15e9ad46a836c6,True,PNG,1280,720,RGBA,23,255,23.441625500039343,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__antenna-radiation-pattern.png,.png,66560,96737efd25fb362a38e99e946cf434dab65938ddb9220c14665f8606c62b5c70,True,PNG,1180,760,RGBA,23,255,54.892607771262107,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png,.png,36167,cccdbccd0e704b055dadd04a22ed36a9873dcdb8128c6dd223dcbd93d04498a5,True,PNG,1280,720,RGBA,23,255,57.26588542108901,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-hit-rate-top-k-hit-rate.png,.png,49308,aec3ca1b438006feaa814af9108d7be3e7a0cdf4f5e53f0521d801b2d1707fe2,True,PNG,1280,720,RGBA,23,255,25.757908005940543,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png,.png,57838,d559b36012c3ee6bcbd40e4209742831729e5cd94c29bb87871bb7726e994247,True,PNG,1280,720,RGBA,23,255,25.735671966121831,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png,.png,58275,3d4c982a3662702321bffdcf8320c51b726ed2902f7d0e17a44cf404a2e7e103,True,PNG,1280,720,RGBA,23,255,25.920369055646024,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png,.png,42144,0b993191aa4611f5ec52d1f1c6ba079df7e221b80131ef4793a7aa9b9c1e4c97,True,PNG,1180,760,RGBA,23,255,51.969542595052346,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__combiner-summary.png,.png,38718,584ccd988d4a9f2df1f11347d8eb4344dff156e86b72c4036d40666e31fe8586,True,PNG,1280,720,RGBA,23,255,49.660085233861473,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__condition-number-distribution.png,.png,32590,9c6464aa5cfe2371bcab760a1bad8605ad28e3bb9636b158be64f78007710d55,True,PNG,1280,720,RGBA,23,255,57.387647599152395,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__mu-grouping-analytics.png,.png,39326,41d68c9d08d7e9b839780a0ebdb23ef5396844242ce8209e8ffca3626a9f6d3a,True,PNG,1280,720,RGBA,23,255,59.765209533354685,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__per-layer-sinr.png,.png,40968,8ba7ce2a90d6cb54c6ab839049cbceb5364887f338cd847a69d3e9ba6c8b2070,True,PNG,1280,720,RGBA,23,255,49.512615062652458,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png,.png,39892,ea3e59bf491ab182db2e7f2f80c2295fbed64f2a911847f680f92f9e0533983e,True,PNG,1280,720,RGBA,23,255,55.258452650169318,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__rank-distribution.png,.png,32749,ccc8bca94ec74e59c205a2354d233fdfef59db4697d067941c1699a813807dc9,True,PNG,1280,720,RGBA,23,255,60.611345985219991,False,
analytics/image/contract__beamforming-precoding-mimo-analytics__selected-vs-best-beam-gap.png,.png,37207,332afebcad1a61f35ed4a39af0ca31d9b661a7fc9af45440bbda6bd1c9820ed4,True,PNG,1280,720,RGBA,23,255,57.255850835244139,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-impulse-response.png,.png,43071,197f3d1b4993b8c4867d5fcbb4e46653e7e23ad1cc33a5b24ba935a140114d45,True,PNG,1280,720,RGBA,23,255,52.264574705341346,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-magnitude-heatmap.png,.png,51245,089f28800b484498193ac1c197c7c93732178119560583277a3386d053e49212,True,PNG,1180,760,RGBA,23,255,55.230767311960072,False,
analytics/image/contract__channel-estimation-propagation-analytics__channel-phase-heatmap.png,.png,55033,8d99242c96842a59d3b8a2cd919787421cb5f443c211ff2ed6b080019ecad5d4,True,PNG,1180,760,RGBA,23,255,45.72814605223828,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-f.png,.png,62397,0fb68113f446d9f23b2ee63abfda03f954417f9788169e5bebb12c1584c68026,True,PNG,1280,720,RGBA,23,255,25.246009309247643,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimated-hhat-tau.png,.png,68562,864c6c8d5192f6f8e03b3b00e4108e5793181d3623d2614c58e07c7ce246782f,True,PNG,1280,720,RGBA,23,255,26.010712215383638,False,
analytics/image/contract__channel-estimation-propagation-analytics__estimator-bias-variance-summaries.png,.png,43736,339191064135a850469fb8f4e9d3b92066efd782196daeac2fec3f8fa54faa00,True,PNG,1280,720,RGBA,23,255,50.516562586503007,False,
analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png,.png,41806,6d1584cc5f579999997a98d2217874c77da80cf520e6da304b200e7cd8cbd87a,True,PNG,1280,720,RGBA,23,255,49.942362222356195,False,
analytics/image/contract__channel-estimation-propagation-analytics__noise-variance-trend.png,.png,49059,1bbc51c2321e720899f32af121e38e90ce4954dfffc75f0c5635ecaa60a88731,True,PNG,1280,720,RGBA,23,255,24.749389567401114,False,
analytics/image/contract__channel-estimation-propagation-analytics__pathloss-distribution.png,.png,41756,302abfb975d377d3029e1cc560f4bd5020d2ded284f67d3f1720df4cd494f1ec,True,PNG,1280,720,RGBA,23,255,55.801670594286009,False,
analytics/image/contract__channel-estimation-propagation-analytics__tap-power-profile.png,.png,41893,80202e6900b5b60a6d44b29060f1f986de2e02c960e7b6a3f156180abffb4e4e,True,PNG,1280,720,RGBA,23,255,51.821593154824932,False,
analytics/image/contract__channel-estimation-propagation-analytics__true-h-f-if-available.png,.png,64046,dc42579b525267902301a2340fb19159d907429bea58ffc3ae58153e40193e8c,True,PNG,1280,720,RGBA,23,255,25.671428833279137,False,
analytics/image/contract__channel-estimation-propagation-analytics__true-h-tau-if-available.png,.png,77421,b29496cbcc122afe77972b805b67d7c3c086755d674b46b9b804dedf32988db9,True,PNG,1280,720,RGBA,23,255,27.080339397292562,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-codeword.png,.png,50048,b153b63d1bd4bbb71fc142bd0d6bb5f4e706c1ca3170406de4c6c5ab9bb05805,True,PNG,1180,760,RGBA,23,255,20.165526836959344,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-layer.png,.png,48433,315e0be43d80811f030c66edf41631d42b4b8197cd7565a900cb6d36c3329b90,True,PNG,1180,760,RGBA,23,255,18.90572016713875,False,
analytics/image/contract__constellation-evm-analytics__constellation-per-modulation-order.png,.png,52206,7f7dc5b4f39aa6886260a7c1f9a316f662bb1e93cc5ab7e84d864d267766c42c,True,PNG,1180,760,RGBA,23,255,20.354524008732309,False,
analytics/image/contract__constellation-evm-analytics__evm-per-layer.png,.png,42411,57c1ad9fb7093d2a82e7257f6c6eeb7c411bd339f7b66d17347f60a3e9d93b9b,True,PNG,1280,720,RGBA,23,255,61.443625072420382,False,
analytics/image/contract__constellation-evm-analytics__evm-per-subcarrier.png,.png,102207,00e133f64c38e98deb2a5afb5d63e88776e8397e2c7d8747e940980830d5a21e,True,PNG,1280,720,RGBA,23,255,33.433578135642925,False,
analytics/image/contract__constellation-evm-analytics__evm-per-symbol.png,.png,50601,d9cbac255bdfb68f5bd52f25e734ea8e3aa41f742ee350491f10fe32dca1f257,True,PNG,1280,720,RGBA,23,255,23.698762743327332,False,
analytics/image/contract__constellation-evm-analytics__evm-rms.png,.png,34658,8ae6f002e8ba6ff3aef59a5e6d4820402342c5a9da9b366aaa16498e76fce50d,True,PNG,1280,720,RGBA,23,255,57.837496342005814,False,
analytics/image/contract__constellation-evm-analytics__post-equalization-constellation.png,.png,52767,fd406c10dddf108667e424da4d5ebc7b93691f84a9fdb3592b332bc6be74f667,True,PNG,1180,760,RGBA,23,255,21.06475599522166,False,
analytics/image/contract__constellation-evm-analytics__pre-equalization-constellation.png,.png,52183,32f7512108435ba451786121192e6f964670982c0839de0c9014ac2d8b6f3a73,True,PNG,1180,760,RGBA,23,255,20.749909440543416,False,
analytics/image/contract__constellation-evm-analytics__symbol-decision-error-histogram.png,.png,41912,7bd1a29ea8e61262b8eec53f38cf4fe34ecbcad906730315de08b4c8257f5d5a,True,PNG,1280,720,RGBA,23,255,50.247232133971288,False,
analytics/image/contract__detection-control-analytics__control-decode-success-failure-tables.png,.png,41880,34517ca2b6480ac7f3abad2edad74f512476c86dd9fa6f8ea4d4765fdfa2b71c,True,PNG,1280,720,RGBA,23,255,60.953136847796131,False,
