sha256,copy_count,relative_paths
3db943c7f080f0f84c05b1700f9353aa65c5ba194f748445c559c118dd53f5a8,2,analytics/image/contract__harq-analytics__retransmission-count-histogram.png|reports/image/contract__harq-ack-nack-retransmission__retransmission-count-histogram.png
456979d7de1ba079d14d6bffe8c8a2fb2be6a17aaf68c2fd8a83b96dccdbaffe,2,analytics/image/contract__power-energy-efficiency-analytics__power-vs-bler.png|reports/image/contract__power-energy-thermal-compute-runtime__power-vs-bler.png
4c9d131d8f84db574747b3df9f710f3b02b8172c4ff540f4b6281d84987c05b7,2,analytics/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png|reports/image/contract__channel-interference-impairments__cfo-true-vs-estimated-vs-residual.png
514cd7258629dc036c3b634bd425bb0156eadab50c4e734abe8342122873fd15,2,analytics/image/contract__impairments-tracking-analytics__timing-offset-true-vs-estimated-vs-residual.png|reports/image/contract__channel-interference-impairments__timing-offset-true-vs-estimated-vs-residual.png
632d322f0a0af430a7eea40c082f74a3c1a4256ec3aeddc291cca480181451f6,2,analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png|reports/image/contract__power-energy-thermal-compute-runtime__power-vs-throughput.png
68fe73e3a3ef45d6441f6faa595f6e0b2eaa0416cfc20bf8df599f2c44668f57,2,analytics/image/contract__harq-analytics__harq-process-timeline.png|reports/image/contract__harq-ack-nack-retransmission__harq-process-timeline.png
6a60ed5bc1782d4cc6b1dec828ab1c330f67feb62b25a5a2567f68ccb0a481d6,2,analytics/image/contract__beamforming-precoding-mimo-analytics__beam-gain-gap-histogram.png|reports/image/contract__beamforming-precoding-mimo-massive-mimo__beam-gain-gap-histogram.png
850388a69b525aa5fb10afebf2c799075ca2adb15fe365544158a00080031d2d,2,analytics/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png|reports/image/contract__air-interface-frame-slot-symbol-grid__re-occupancy-heatmap.png
8aa56208bdc74612f261bce215bb601b930d37d7a283ead4431d2e1a93d127ff,2,analytics/image/contract__beamforming-precoding-mimo-analytics__rank-distribution.png|reports/image/contract__beamforming-precoding-mimo-massive-mimo__rank-distribution.png
917aad0df025f44979da0dd0616776ac5b2de61e7a9dd85f5f1f16c1a1e21ad0,2,analytics/image/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.png|reports/image/contract__measurements-csi-link-adaptation-inputs__config-vs-measured-conflict-dashboard.png
c3ca645954352b273034cafde77798b5eeca3ac672a3612d893f11475a7ba3de,2,analytics/image/contract__resource-grid-re-occupancy-analytics__prb-heatmap.png|reports/image/contract__air-interface-frame-slot-symbol-grid__prb-heatmap.png
c483824b3a57f3246cc976f1f1f34908efd4c3cde44e8b480e35cd17e9e3a643,2,analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-snr.png|reports/image/contract__fixed-snr-sinr-sweep-validation__throughput-vs-snr.png
eeb9e7b9770ba9658ccbc81d5455590a1f84ac90dcddb17a87e7acd52024dc06,2,analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png|reports/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png
