FamilyID,PairID,AccessLatencyEffect_ms,ControlOverheadEffectBytes,WrongOccasionCount,ActivationErrors,CollisionCount,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,-2331.8059,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,-1.9366,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,-41.3846,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,-1.1,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,-1.1,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,-1.1,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,0.3,0,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
