RunID,DecisionID,UEID,CEID,CEType,TriggerEventID,Priority,RequiredBytes,Selected,RejectedReason,CancelledBy,MACPDUId,Status
MAC_PHASE08_R18_20260727033902,CE-DEC-0001,1,CE-0001,C_RNTI,EV-0001,1,2,true,,,3a953656a28b1a027846ff9e539b830dd5823d37b2be0819aa4c50b36d9f93ef,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0002,2,CE-0002,BFR,EV-0002,2,3,true,,,e302bbcb56d5c071d9b2af02b6dac733afd923aee00f60026ac669e9ce4b9e3f,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0003,3,CE-0003,TA_REPORT,EV-0003,3,1,true,,,609335a97a772fb974c4b9b128bbbb881e2dfadcfc230eb4fd173e0c7217c1cf,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0004,4,CE-0004,BSR,EV-0004,4,2,true,,,3e4022b81b14ce4ec7ec19890d605fdc07d4518efee6a6a80c0582ffced59f40,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0005,5,CE-0005,PHR,EV-0005,5,3,true,,,31b091e29284340f63eff489b4dc0acfc423d1c1d4f9eb8e11cee529f3ddb372,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0006,6,CE-0006,CG_CONFIRM,EV-0006,6,1,true,,,f8de611f10d1e9a4b4c8701f19ffd3f12f3c56638204549b3c50ce14ca3bea65,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0007,7,CE-0007,SR,EV-0007,7,2,true,,,530b0f724052fad096720b79c13f8cbe8fd3cde8beb87fb29deacd1f186b127b,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0008,8,CE-0008,DATA,EV-0008,8,3,true,,,bae822d4a13bebd0ea077bf3a53cbc80b87a2fd3bd33af844bd9f5c08898430d,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0009,1,CE-0009,C_RNTI,EV-0009,1,1,true,,,3615b208bbdc8ae479817c5c3ce7a6891887dafc468550e9293c2f1e2516eef8,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0010,2,CE-0010,BFR,EV-0010,2,2,true,,,dedf1e1cd60a3050aa9869a3637b3b34d59239b38a0bc2f5036f46801714f670,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0011,3,CE-0011,TA_REPORT,EV-0011,3,3,true,,,b5c95feb9e0fecc26eb2bb5e22ce6552f1e941b09dccb5cbdd27e85c4687f1b1,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0012,4,CE-0012,BSR,EV-0012,4,1,true,,,843018aa7e9e20c37bd020e8438bb47e820a003b7aa42b9d96fc11bbdd3c0867,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0013,5,CE-0013,PHR,EV-0013,5,2,true,,,2d3ff48718276ab4c19d9ae8bae5bc8338b86bb754e0acb3f0fa2e58bbaf7c04,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0014,6,CE-0014,CG_CONFIRM,EV-0014,6,3,true,,,35f58dc1c1f455e153b068f1ff83a194492ecedb1f15ae4063a1330fda951fe4,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0015,7,CE-0015,SR,EV-0015,7,1,true,,,d4b981849eba6d2eab5dc02e743433974834f1b349ce526566bb542a781b84aa,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0016,8,CE-0016,DATA,EV-0016,8,2,true,,,44f1ddb01ef3ca22525e421032da763684176d655a6a3cfabfb29edd88267c66,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0017,1,CE-0017,C_RNTI,EV-0017,1,3,true,,,385c6f4f969142bafd6e7e42ebd3533270c7fb5f1f9135fb877cea66998025b7,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0018,2,CE-0018,BFR,EV-0018,2,1,true,,,0df6143a2b5efa4db1a89717cd40ceae15f23f849b059aef2eb10fd5b67eb945,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0019,3,CE-0019,TA_REPORT,EV-0019,3,2,true,,,b5970806118f903e93e4c834b1548a103b7ab01f8845a270cbb02451a2746308,PASS
MAC_PHASE08_R18_20260727033902,CE-DEC-0020,4,CE-0020,BSR,EV-0020,4,3,true,,,359a06080feb586bf1668492d8c7f783e9a6b7a155054e1cc15a228160a6a70a,PASS
