RunID,AttemptID,Direction,ServingCell,UEID,HARQProcess,Codeword,NDIEpoch,TBID,GrantID,RV,AttemptIndex,ScheduleSlot,TxSlot,TBSBits,CodingLayoutSHA256,Status
MAC_PHASE08_R18_20260727033902,8038b6662602a795208de945e0dbbd3688ccb8189fad6bc95e3e00047ffae2f5,DL,0,1,0,0,1,TB-1,GRANT-1,0,0,0,1,808,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,PASS
MAC_PHASE08_R18_20260727033902,c909792b482fd78a4183ecbaab83a9479ca40ffcae60faeb631df9126bae65bf,UL,1,2,1,1,1,TB-1,GRANT-2,2,1,1,2,816,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,PASS
MAC_PHASE08_R18_20260727033902,107f0a514e5300b0ee65efc70c6880e82d8bf53afceda70eab955003ccb0e269,DL,0,3,2,0,1,TB-1,GRANT-3,3,2,2,3,824,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,PASS
MAC_PHASE08_R18_20260727033902,b22f3b4895faaf7e5f2773bbdb5bd5505984e8ebf4645a885ac4078be9bbe6b1,UL,1,4,3,1,1,TB-1,GRANT-4,1,3,3,4,832,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,PASS
MAC_PHASE08_R18_20260727033902,1b3d5606bcdef71f6f6089016d2a781202936d785d68a0228219a1de55cc9607,DL,0,5,4,0,2,TB-2,GRANT-5,0,0,4,5,840,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,PASS
MAC_PHASE08_R18_20260727033902,3fdf3eb9ce20fc09788b694caf1de2e82f9e05bb96494c290d2d7dd6a68253d2,UL,1,6,5,1,2,TB-2,GRANT-6,2,1,5,6,848,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,PASS
MAC_PHASE08_R18_20260727033902,4bd226208d04362058d1dd319b2fa8eab6c223d816b95306aebf22dd96accc71,DL,0,7,6,0,2,TB-2,GRANT-7,3,2,6,7,856,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,PASS
MAC_PHASE08_R18_20260727033902,b2f98ad01358ac023e83873728931d263e77ca81123f12f142cfe9db770e6c63,UL,1,8,7,1,2,TB-2,GRANT-8,1,3,7,8,864,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,PASS
MAC_PHASE08_R18_20260727033902,5f4949622ee2fe097c534bc5482196db2035bea1b8042d958b8f88249bf5c513,DL,0,1,8,0,3,TB-3,GRANT-9,0,0,8,9,872,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,PASS
MAC_PHASE08_R18_20260727033902,b8e943f203b2292394a392b505c59c25df71d1156ad9e1204b8182f07fefc65a,UL,1,2,9,1,3,TB-3,GRANT-10,2,1,9,10,880,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,PASS
MAC_PHASE08_R18_20260727033902,9c010f2061b8b3d354b00cec459702bb63858ffa3cb82fa8c80c9aea85bb3a62,DL,0,3,10,0,3,TB-3,GRANT-11,3,2,10,11,888,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,PASS
MAC_PHASE08_R18_20260727033902,3095740ca5fd31da4e332bf1fc55a9551d85583a5f1a2cb640b65aca69041df0,UL,1,4,11,1,3,TB-3,GRANT-12,1,3,11,12,896,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,PASS
MAC_PHASE08_R18_20260727033902,5ca62e2b3190017d8568bd7549a7cdc8c1ba8e9fb439e893b3700bdf4930e152,DL,0,5,12,0,4,TB-4,GRANT-13,0,0,12,13,904,84dfec9a927202e1b6437fa04c363cf0a3ba0cd554ec83bd09e645e372b0379b,PASS
MAC_PHASE08_R18_20260727033902,2b22e61b9ec421199038ff752f53a1c92156aab8aedc819f7660c12257d90969,UL,1,6,13,1,4,TB-4,GRANT-14,2,1,13,14,912,84dfec9a927202e1b6437fa04c363cf0a3ba0cd554ec83bd09e645e372b0379b,PASS
MAC_PHASE08_R18_20260727033902,4f1de4e05fb1c0a7362c7aaa388ad4e38f94d6a7163fda7dc42855ee35cd95d5,DL,0,7,14,0,4,TB-4,GRANT-15,3,2,14,15,920,84dfec9a927202e1b6437fa04c363cf0a3ba0cd554ec83bd09e645e372b0379b,PASS
MAC_PHASE08_R18_20260727033902,a1c1e4e9ac5555a5e8afe1ad144e5ad60c990c56d1189a6aa6b68f0f5471b69f,UL,1,8,15,1,4,TB-4,GRANT-16,1,3,15,16,928,84dfec9a927202e1b6437fa04c363cf0a3ba0cd554ec83bd09e645e372b0379b,PASS
MAC_PHASE08_R18_20260727033902,56e86d036998034846a790f34d1d663cd59694e2133aeb71c79ef7fd71b149d6,DL,0,1,0,0,5,TB-5,GRANT-17,0,0,16,17,936,e5108172f6a1eab0bbb865eb2f15c2a6bf0e339733cfecab47721752fd6db4a9,PASS
MAC_PHASE08_R18_20260727033902,bd38ce27adc74f431e940585a9f1ed63a011c14dfd899a4ee515a1ccaebe7d22,UL,1,2,1,1,5,TB-5,GRANT-18,2,1,17,18,944,e5108172f6a1eab0bbb865eb2f15c2a6bf0e339733cfecab47721752fd6db4a9,PASS
MAC_PHASE08_R18_20260727033902,40c3e75fcf185bad7fc1f58540fe46d73a969e14760f16d6a211053126981224,DL,0,3,2,0,5,TB-5,GRANT-19,3,2,18,19,952,e5108172f6a1eab0bbb865eb2f15c2a6bf0e339733cfecab47721752fd6db4a9,PASS
MAC_PHASE08_R18_20260727033902,6096a29c4d588e850e35a7771253e86e3d4cd1e338c144df79eeed1b4d265724,UL,1,4,3,1,5,TB-5,GRANT-20,1,3,19,20,960,e5108172f6a1eab0bbb865eb2f15c2a6bf0e339733cfecab47721752fd6db4a9,PASS
