RunID,ImageFile,SourceCSV,SourceCSV_SHA256,PNG_SHA256,Width,Height,AxesCount,SeriesCount,FinitePointCount,ActualTitle,ActualXLabel,ActualYLabel,Status
MAC_PHASE08_R18_20260727033902,mac_event_state_timeline.png,mac_event_log.csv|mac_ue_context_projection.csv,4c2837e9a169239de99b0a8dca3e9548b702266b77a538d638ac993ee4925453,30a58be1dfc96bb043587204b6ddc7d511f539a48f975abfe0b60663ff2ba45e,1021,705,1,11,540,MAC event and UE state timeline,Absolute slot,State/event,PASS
MAC_PHASE08_R18_20260727033902,mac_harq_process_timeline.png,mac_harq_process_states.csv,6781aab47a7ea05bbb817fce4ea835a82b1ad5109d5bd6bc5e8d10344fd0b341,d70ed6be21791e05af19b707eab4aa4d78cbb6c5681c18b6aabc8fc87fd53171,1021,705,1,8,480,HARQ process state timeline,Absolute slot,HARQ state,PASS
MAC_PHASE08_R18_20260727033902,mac_ndi_rv_attempt_timeline.png,mac_harq_attempts.csv,3e8f0927989e3bff60de498aa879fc2f4b25cc58dd715962bf0ea424d23d9bb9,43f783b8a3b2c995bcbad3c68c596f483da2051e38076cb3f793fdf18c80013f,1037,708,1,10,400,NDI RV and attempt timeline,Transmission attempt,NDI / RV,PASS
MAC_PHASE08_R18_20260727033902,mac_k0_k1_k2_timeline.png,mac_timing_decisions.csv,9538dc96a501e3637b981987fc34864451029705ef4788cd46ea1d3efe549565,b65fec467d3e68312094a331041e02df98053eb688cb6a2120713d8cc2ecd598,1021,705,1,8,240,K0 K1 K2 timing timeline,PDCCH slot,Target slot,PASS
MAC_PHASE08_R18_20260727033902,mac_tdd_eligibility_map.png,mac_timing_decisions.csv|mac_eligibility_decisions.csv,3b6f012754cff299c736b7bfb5f033cebd8d8ae0ecb2c0f3005a279ae35640eb,80fa90387268db6a7225af0a539d7e2d5f0f2ffc0cb5d9e82f9fe012261b043b,1021,708,1,9,280,TDD and eligibility map,Absolute symbol,Direction / eligibility,PASS
MAC_PHASE08_R18_20260727033902,mac_harq_feedback_codebook.png,mac_harq_feedback.csv,d7f3009989b3e7fcefb4d65ad64d78b6ed33038012b382cfbc062667dd56ef9b,5501b3731e9d11e670d139b9240a94fdcdda57d8fb2c54f10307b53558389c5d,1021,708,1,8,240,HARQ feedback codebook mapping,Feedback bit position,Outcome,PASS
MAC_PHASE08_R18_20260727033902,mac_soft_combining_gain.png,mac_soft_buffer_ledger.csv|mac_harq_attempts.csv,49c92e60f89cdc9595a80dfec39c4c65ed472ce94f9636d4aba1429aa07e86fc,e88f66764f64f00ad826836a159df61e52dddd2f7044f5f5eb1d4fb14b7b522d,1037,708,1,16,760,HARQ soft combining evidence,Attempt,Combining metric,PASS
MAC_PHASE08_R18_20260727033902,mac_harq_process_occupancy.png,mac_harq_process_states.csv,6781aab47a7ea05bbb817fce4ea835a82b1ad5109d5bd6bc5e8d10344fd0b341,461eb00a1461f0a26a9d3478666d515d09d76c6ff678364111de1442b9972b14,1021,705,1,8,480,HARQ process occupancy,Absolute slot,Active processes,PASS
MAC_PHASE08_R18_20260727033902,mac_bsr_buffer_timeline.png,mac_bsr_state.csv,84d98cbf2e425a187f1022842f4c1841a9bc9cc2750ee72076292f1fc7e0c6cf,3ce5ef7e34058b4ea43819059a610069c79f887dcf990ca91678392ba31215a7,1029,705,1,7,280,BSR and buffer timeline,Absolute slot,Buffer bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_bsr_quantization_error.png,mac_bsr_table_results.csv,96c998deb6d3a7c05b98236ec819948e6d7f7249eb348516b9785162963f4370,c2da6a663cef9af31b26aefb36da465b2cc7989fa1b0192f4aee398cb6ead804,1017,706,1,6,3251,BSR table quantization boundaries,BSR index,Buffer bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_phr_power_timeline.png,mac_phr_state.csv,bc061eadd2182df2f0a1fb3b44a2f449a5feebf3e896a921e13e024992276e34,6610df7f5aa424da6fd42e4b5c17bd0ac9c58ef56769df601ede00778c9818ec,1026,705,1,10,400,Power headroom and PCMAX timeline,Absolute slot,Power dB / dBm,PASS
MAC_PHASE08_R18_20260727033902,mac_sr_state_timeline.png,mac_sr_state.csv,1b6c560c4e4fb3352eed635939ea61701bb6c6b98925031e606131e4d2923b57,afca47b90007ca172aa4ee4633d012a3b5711d8539bb5a5712488c0c40893d49,1021,705,1,7,210,Scheduling Request state timeline,Absolute slot,SR state,PASS
MAC_PHASE08_R18_20260727033902,mac_lcp_bj_timeline.png,mac_logical_channel_state.csv|mac_lcp_decisions.csv,f178aad02550ac3179bed80af8ce12a945c3465760ac2debcbf9ec3657989ee4,8396b522b2325a717a640f4c7a87a2d5076cf37f9404af31f420df293f8e8ec4,1029,705,1,19,760,Logical channel Bj and selection,Absolute slot,Bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_pdu_composition.png,mac_pdu_subpdus.csv,ddc3cea671c872a8b38df04998bef702defb44c919f775756d5df8342939b89b,2de191136ff8472e61a1f8646e78fb8b4f10825cddd4ef2f0f414fcf4d71d6b5,1021,708,1,7,280,MAC PDU composition,Byte offset,SubPDU owner,PASS
MAC_PHASE08_R18_20260727033902,mac_ce_priority_selection.png,mac_ce_selection.csv,027e3531b11a8af83014367e6b6b6b001f4b2153386714c90be1800047488780,8a9cf0982424db5ef5e7ca4c88ba05bc6ff2655a0e6635e6cba4ec0283985bb1,1013,708,1,3,120,MAC CE priority and selection,CE priority,Selected bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_timing_advance_timeline.png,mac_timing_advance_state.csv,207d040c28b500d151aca24e58f0b2dd2c342b333bde19500a0d72b97e6849cc,6cff04306600dce25bd53f33e250c825b21b2f6d0f3bae4773afb48386c46f98,1037,705,1,7,280,Timing advance and alignment timer,Absolute slot,NTA / timer,PASS
MAC_PHASE08_R18_20260727033902,mac_scheduler_allocation.png,mac_scheduler_grants.csv,0a4513c0695f76f98238f681ed4bedf23f1f4f76df145cd905abf11d8dde903f,7347c80a1e0369f600c98d5cf014d0bbbc333d92d691ab6fa596e58cbd95c352,1029,705,1,10,400,Scheduler resource allocation,Absolute slot,PRB / UE,PASS
MAC_PHASE08_R18_20260727033902,mac_scheduler_fairness.png,mac_scheduler_metrics.csv,cbe526f5ced52782df3fdbf77f72671946940935cfb6bdc6ce9c90699505ad59,2a5d1ef5144848b51174ff7915ac761f998a7202aebaa898c565ec7e530c771c,1044,705,1,12,192,Scheduler throughput and Jain fairness,UE,Throughput Mbps,PASS
MAC_PHASE08_R18_20260727033902,mac_qos_latency_cdf.png,mac_scheduler_metrics.csv,cbe526f5ced52782df3fdbf77f72671946940935cfb6bdc6ce9c90699505ad59,75c3ebfaff3c150a0cbc9ef57d0e334dc6bbcfc24f411aa93a6e5b2631809260,1044,708,1,12,192,QoS packet latency CDF,Latency ms,CDF,PASS
MAC_PHASE08_R18_20260727033902,mac_packet_lineage_graph.png,mac_packet_lineage_nodes.csv|mac_packet_lineage_edges.csv,ae12242032633cc4b396e216082761735b12c5d506c2b5c86053b438023f8464,7b07820ed0111654655840da713a0ce3903ac0ff3f029ccdb13bd409c58c69fc,1029,708,1,5,280,Packet to HARQ delivery lineage,Processing stage,Bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_conservation_balance.png,mac_conservation_ledger.csv,3d451e6dfe49fabcc519de0191404207fe72f0868bf9ca802ddda9668b984a38,612bfdf2cdf36f5217d91d3071200da552c75475c1179575a9804292a62a88c4,1033,705,1,9,72,Packet and byte conservation,Flow,Bytes,PASS
MAC_PHASE08_R18_20260727033902,mac_grant_authority_trace.png,mac_scheduler_candidates.csv|mac_scheduler_grants.csv|mac_event_log.csv,281a87a66e62b787ada7033ecdc718d0701387d838a3849cffe80131056a9ef5,61bd727f5aca1f5db4600c8491f573d795cb35b156c1c083a4bf79d8da698249,1034,708,1,22,980,Decoded grant authority trace,Event sequence,Grant state,PASS
