RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F02_P01_B,1,1,-30.989030868143708,4884.1430651147439,1,0,false,PASS,F02,baseline,rank,1,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,1,-17.94025521503406,1087.3005157888349,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,2,-18.090255215034059,1087.4005157888348,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,3,-18.240255215034061,1087.5005157888349,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,4,-18.39025521503406,1087.6005157888349,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,5,-18.540255215034062,1087.700515788835,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,6,-18.69025521503406,1087.8005157888349,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,7,-18.840255215034059,1087.9005157888348,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P01_T,8,8,-18.990255215034061,1088.0005157888349,1,0,false,PASS,F02,treatment,rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_B,1,1,-13.44060650074131,641.52492733024667,1,0,false,PASS,F02,baseline,rank,1,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,1,-11.884566620283406,536.30462482974497,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,2,-12.034566620283407,536.40462482974499,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,3,-12.184566620283407,536.50462482974501,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,4,-12.334566620283406,536.60462482974492,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,5,-12.484566620283406,536.70462482974494,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P02_T,8,6,-12.634566620283406,536.80462482974497,1,0,false,PASS,F02,treatment,rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
