RunID,CaseID,DCIFormat,SearchSpaceType,RNTIType,ContextDigest,PayloadBits,FieldCount,AlignmentGroup,SchemaVersion,Status
PDCCH_PHASE04_R18,SCHEMA0001,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0002,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0003,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0004,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0005,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0006,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0007,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0008,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0009,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0010,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0011,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0012,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0013,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0014,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0015,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0016,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0017,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0018,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0019,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0020,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0021,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0022,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0023,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0024,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0025,0_0,USS,C-RNTI,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0026,0_1,USS,C-RNTI,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,15,contextual_0_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0027,1_0,USS,C-RNTI,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,12,common_0_0_1_0_USS,sixgr_dci_schema_r18_8_0_v1,PASS
PDCCH_PHASE04_R18,SCHEMA0028,1_1,USS,C-RNTI,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,20,contextual_1_1_USS,sixgr_dci_schema_r18_8_0_v1,PASS
