RunID,CaseID,Direction,DCIFormat,DecodedDCIEventID,CRCCheckPassed,RNTIMatch,ContextCurrent,ConfiguredOracleMutation,DecodedBitsMutation,AssignmentCreated,AssignmentDigestBefore,AssignmentDigestAfter,ExpectedEffect,ObservedEffect,WaveformGenerated,Status
PDCCH_PHASE04_R18,GRANT0001,DL,1_1,d383b3b084758f2066575be1e02e2093b4d6025c81027ebf596d364688cfaac4,true,true,true,false,false,true,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,270c832fa79924d12c7e3c4dfc16475b2568c805ce6151c303b165f7b7188455,BASELINE_ASSIGNMENT,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0002,UL,0_1,8f6d137a6453ef905aed95ad60e3b35ff84b7d1e3ff3784dd8844656cec706f3,true,true,true,true,false,true,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,UNCHANGED,UNCHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0003,DL,1_1,fb84412debf30cc2797ea286dafcb84b104eeed96d63a3ac4f38ee6daeb8455f,true,true,true,false,true,true,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,aba03576727999e0773721d11be96fbc5fc10f31177fcf6df5b6c373e456bcdd,CHANGED,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0004,UL,0_1,4ccfef2dea87ae24e6555c896932a8c8593c93b2f84306365f243a46b3a30706,false,false,false,false,false,false,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,b84b659823e2740dec8bfe0f25fdb6008161c83ccc790799bad45fff6bdb519e,NO_ASSIGNMENT,UNCHANGED,false,PASS
PDCCH_PHASE04_R18,GRANT0005,DL,1_1,c2ddc2e69d3724e70ceb866f7089987222d6cc8869b52a50fd9f8fa14a91af92,true,true,true,false,false,true,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,8f7bc5e88f75a1c2db269c4124b7d92154b23f64502f31869bebe9c3099c2d1c,BASELINE_ASSIGNMENT,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0006,UL,0_1,13fdcee0733f2779cc83c2a01ef7748c2778cf191fc24753c6d98482eeb7cf13,true,true,true,true,false,true,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,UNCHANGED,UNCHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0007,DL,1_1,9065289400ce91c07b7a409c44ea6096ecd80d153e24452c81b955518f21b04c,true,true,true,false,true,true,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,519c4067055536e2744e2e89cc26a46d6185204f5bbf5c25d4b890322198dc46,CHANGED,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0008,UL,0_1,ad26f8ee5805278c9bc3420921a54c45bedc629c24f6c2803c0ef39837f48fe8,false,false,false,false,false,false,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,f5e88d9ce526173d8ca56dc7a22839d5fcfb37b5abb2d1ea59a2b459de0c605d,NO_ASSIGNMENT,UNCHANGED,false,PASS
PDCCH_PHASE04_R18,GRANT0009,DL,1_1,f1f5351fcea685143249a5151468af591397ef8b7605a72fa104045aa231bb06,true,true,true,false,false,true,d6303308393b9ceefbd6442b74a017da111e735f28c42d03eb328766e69e221b,8b9aa1a826aa50f04a2151e35012883d97e0c5bf9924868bf692c7154d3878e3,BASELINE_ASSIGNMENT,CHANGED,true,PASS
PDCCH_PHASE04_R18,GRANT0010,UL,0_1,db0d9a254783835b445af726114e3f46cfda78fe6ac2e47d1e587d735a55a395,true,true,true,true,false,true,d6303308393b9ceefbd6442b74a017da111e735f28c42d03eb328766e69e221b,d6303308393b9ceefbd6442b74a017da111e735f28c42d03eb328766e69e221b,UNCHANGED,UNCHANGED,true,PASS
