ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,ExpectedTitleToken,ActualTitle,SourceCSV_SHA256,PNG_SHA256,Status
pdsch_impact_coverage_execution.png,pdsch_impact_assignment.csv,1200,760,1,1,9,Experiment,Experiment,Observed assignment metric,Observed assignment metric,Declared PDSCH execution impact,Declared PDSCH execution impact — executed component campaign,672bafea6ed2a973c4ca0b3551c767e44c862a89b0da26d37e5d4fb73560a9ee,445d2cffed507177bbaa376cde246d71d2dc0b3b1acdaa6d45fcacd46eba045d,PASS
pdsch_impact_coverage_summary.png,pdsch_impact_operating_points.csv,1200,760,1,1,36,Experiment,Experiment,Observed production metric,Observed production metric,PDSCH coverage comparison,PDSCH coverage comparison — executed component campaign,a1af1210f08ccc66907f41976223fcd95afd5e2bdcde53f9244f793f18053159,042de45ce06873d3a12910a936dd791181d3e379ec09483275201ab12aecc7c6,PASS
pdsch_impact_prg_power_error.png,pdsch_impact_precoding.csv,1200,760,1,1,6,PRG experiment,PRG experiment,Observed precoding metric,Observed precoding metric,PRG precoding impact,PRG precoding impact — executed component campaign,3176ca7ab9fd1aae747b49d2e11b53214f78eef9a7ee10b7a2ab0b989d2a35ee,4bccfbe510b308876acf070ad24328df5a65bac9cf3d4ce9cc674bce5c853f8b,PASS
pdsch_impact_prg_effects.png,pdsch_impact_pairwise_effects.csv,1200,760,1,1,12,Finding family,Finding family,Baseline production metric,Baseline production metric,PRG comparative effects,PRG comparative effects — executed component campaign,84cf61190da0a316bd6dcb056ecde19720207ae08ef4a9d53d69b318d687c1de,f1cda9692e560b5c47da9174837164c034620059c898daacde6b79dd6d0b5052,PASS
pdsch_impact_dmrs_ports.png,pdsch_impact_dmrs.csv,1200,760,1,1,6,DM-RS experiment,DM-RS experiment,Observed DM-RS metric,Observed DM-RS metric,DM-RS port impact,DM-RS port impact — executed component campaign,09caab169a37019a2d84c24f1b7dd78c006dcd98cf84d32a731396be2c394a65,269212c31a2862ebd0755faabe7e99d1ffd2927b8698dcd7e6d3992ed6ffcc32,PASS
pdsch_impact_dmrs_mapping.png,pdsch_impact_dmrs.csv,1200,760,1,1,6,DM-RS experiment,DM-RS experiment,Observed DM-RS metric,Observed DM-RS metric,DM-RS mapping impact,DM-RS mapping impact — executed component campaign,09caab169a37019a2d84c24f1b7dd78c006dcd98cf84d32a731396be2c394a65,c824907a97afb94132fa690794176086e6d15c99c25697399863caae00c09af8,PASS
pdsch_impact_precoder_application.png,pdsch_impact_precoding.csv,1200,760,1,1,6,Precoder experiment,Precoder experiment,Observed precoding metric,Observed precoding metric,Applied precoder impact,Applied precoder impact — executed component campaign,3176ca7ab9fd1aae747b49d2e11b53214f78eef9a7ee10b7a2ab0b989d2a35ee,5dd8bffe66479a39546fc0fdea0fff831bce21afa0cb2b884d492530f938a080,PASS
pdsch_impact_precoder_summary.png,pdsch_impact_summary.csv,1200,760,1,1,12,Finding family,Finding family,Required experiments,Required experiments,Precoder evidence summary,Precoder evidence summary — executed component campaign,8993ea0b6087e465dfc5eea0d5ac4051e3fd7975945219e44885de260ce848a5,175e58507c66afb2efc814f4f8e6505d05afd85cfa0400c60cf19c6afd605f68,PASS
pdsch_impact_reserved_g.png,pdsch_impact_resource_accounting.csv,1200,760,1,1,3,Resource experiment,Resource experiment,Coded bits G,Coded bits G,Reserved-resource impact,Reserved-resource impact — executed component campaign,5f00994b9d4ed7cc7c1578cc01f46c2364f00b2f9035131545e505d5f8137c14,f387403d056f735d927e6ed6f97290037a683339cb4f423d10d3ddce7cfaf3cf,PASS
pdsch_impact_resource_summary.png,pdsch_impact_raw_trials.csv,1200,760,1,1,36,Experiment,Experiment,Observed production metric,Observed production metric,Resource-accounting evidence,Resource-accounting evidence — executed component campaign,4966c04360f33556965677364645aee79dfb1f298f6f2bbec3563867f98cb52b,4e471f097a2a8e822951fcae4638999d8f50bf3496217d34d8c79d64a27ad2c8,PASS
