CaseID,MappingType,DMRSConfigurationType,DMRSLength,DMRSAdditionalPosition,DMRSTypeAPosition,DMRSMultiplexing,NumCDMGroupsWithoutData,NIDNSCID,NSCID,DMRSPortSet,DMRSSymbols,DMRSRECount,SequenceDigest,SequenceNMSE,IndexMismatchCount,Status,PlotCoordinates0Based
DMRS-005,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-007,A,2,1,2,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-009,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-010,A,1,1,1,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-011,A,2,1,2,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-012,A,1,1,3,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-013,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-014,A,1,1,1,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-015,A,2,1,2,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-016,A,1,1,3,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-017,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-018,A,1,1,1,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-019,A,2,1,2,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-020,A,1,1,3,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-021,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-022,A,1,1,1,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-023,A,2,1,2,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-024,A,1,1,3,3,basic,1,42,0,0,3,6,90d689ccf045101b0e3853c3645c12971fbc67d26514580a2e3989f1d5c49876,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3
DMRS-025,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-026,A,1,1,1,3,basic,1,42,0,0,3|7,12,ec274e7ebe98888016cf91fda82f3e75431cb408aca8a38e878dd042ff8bf963,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:7|2:7|4:7|6:7|8:7|10:7
DMRS-027,A,2,1,2,2,basic,1,42,0,0,2|7,8,f184f81704580f5bef703f42653f4601836e3f1fd888b2cfd28832dc97a1b0fb,0,0,PASS,0:2|1:2|6:2|7:2|0:7|1:7|6:7|7:7
DMRS-028,A,1,1,3,3,basic,1,42,0,0,3|7,12,ec274e7ebe98888016cf91fda82f3e75431cb408aca8a38e878dd042ff8bf963,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:7|2:7|4:7|6:7|8:7|10:7
DMRS-029,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-030,A,1,1,1,3,basic,1,42,0,0,3|7,12,ec274e7ebe98888016cf91fda82f3e75431cb408aca8a38e878dd042ff8bf963,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:7|2:7|4:7|6:7|8:7|10:7
DMRS-031,A,2,1,2,2,basic,1,42,0,0,2|7,8,f184f81704580f5bef703f42653f4601836e3f1fd888b2cfd28832dc97a1b0fb,0,0,PASS,0:2|1:2|6:2|7:2|0:7|1:7|6:7|7:7
DMRS-032,A,1,1,3,3,basic,1,42,0,0,3|7,12,ec274e7ebe98888016cf91fda82f3e75431cb408aca8a38e878dd042ff8bf963,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:7|2:7|4:7|6:7|8:7|10:7
DMRS-033,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-034,A,1,1,1,3,basic,1,42,0,0,3|9,12,fb66ccd1618d725773290db1819f325c5b35f4cd4c9bcb202d197e7cfe795a6d,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:9|2:9|4:9|6:9|8:9|10:9
DMRS-035,A,2,1,2,2,basic,1,42,0,0,2|6|9,12,dc8f15cbcc189a770c04e193a25793fe0e3fc6db1b95097bebfdabccfc806c00,0,0,PASS,0:2|1:2|6:2|7:2|0:6|1:6|6:6|7:6|0:9|1:9|6:9|7:9
DMRS-036,A,1,1,3,3,basic,1,42,0,0,3|6|9,18,7bcde0c001144b466420ba498dcaff7017f84e98af8a42624e4ae5a3b4193f82,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:6|2:6|4:6|6:6|8:6|10:6|0:9|2:9|4:9|6:9|8:9|10:9
DMRS-037,A,2,1,0,2,basic,1,42,0,0,2,4,24de7ed8997c1c24d05decce98d18f128b51ae7d9ebc2bbb5b9d3159033568ac,0,0,PASS,0:2|1:2|6:2|7:2
DMRS-038,A,1,1,1,3,basic,1,42,0,0,3|9,12,fb66ccd1618d725773290db1819f325c5b35f4cd4c9bcb202d197e7cfe795a6d,0,0,PASS,0:3|2:3|4:3|6:3|8:3|10:3|0:9|2:9|4:9|6:9|8:9|10:9
