ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,ExpectedTitleToken,ActualTitle,SourceCSV_SHA256,PNG_SHA256,Status,ActualPlotSourceCSV,ActualPlotSourceCSV_SHA256
pdsch_resource_grid_ownership.png,pdsch_resource_ownership.csv,982,714,1,1,2016,PRB / subcarrier,PRB / subcarrier,OFDM symbol,OFDM symbol,PDSCH resource ownership,PDSCH resource ownership,f0c5ccf8833f61d80c3b7468a43e8d274a65d63191339b32850b71c49d3d8399,1b6dad17ff902cdb00534b62b0b8f94046a523309a8c5804188600d2ae358c32,PASS,pdsch_resource_ownership.csv,f0c5ccf8833f61d80c3b7468a43e8d274a65d63191339b32850b71c49d3d8399
pdsch_dmrs_ptrs_map.png,pdsch_dmrs_matrix.csv|pdsch_ptrs_matrix.csv,991,714,1,2,3530,Subcarrier / PRB,Subcarrier / PRB,OFDM symbol,OFDM symbol,DM-RS and PT-RS,DM-RS and PT-RS,pdsch_dmrs_matrix.csv=6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2|pdsch_ptrs_matrix.csv=9da608940634354279c5e4d3e049e064477b661039aaa5f4e6363536149699d7,a5d415e050a29e173344926f9a3c42361050ffacf52664be0aa13128a94edfdc,PASS,pdsch_dmrs_matrix.csv|pdsch_ptrs_matrix.csv,pdsch_dmrs_matrix.csv=6c3d5b92cbc3c6b8baef1a1f3b39223ba504504613dccb577993941b32281ed2|pdsch_ptrs_matrix.csv=9da608940634354279c5e4d3e049e064477b661039aaa5f4e6363536149699d7
pdsch_codeword_layer_mapping.png,pdsch_layer_codeword_map.csv,988,717,1,2,36,Layer,Layer,Mapped symbols,Mapped symbols,Codeword-to-layer mapping,Codeword-to-layer mapping,b96549db47145d661bcb920d125d7f2cba9bfd73a6107748dd1f6efa2a9803be,f5a4293584129d342e5e680024cfc52ecb4166fde13bc5525bba4b469fc7ac54,PASS,pdsch_layer_codeword_map.csv,b96549db47145d661bcb920d125d7f2cba9bfd73a6107748dd1f6efa2a9803be
pdsch_prg_precoding_map.png,pdsch_precoding_application.csv,991,714,1,2,60,PRB / PRG,PRB / PRG,Precoder index or gain,Precoder index or gain,PRG precoding,PRG precoding,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d,eda46ada60b98969ce689ae2b23797dc96a0c1748e73db3116ea33f5dd112e8b,PASS,pdsch_precoding_application.csv,065b173015fe55a5725bbd46c3e0b87dc7d2d6a714def93d22080f435eccc66d
pdsch_harq_rv_timeline.png,pdsch_harq_trials.csv,988,714,1,2,18,Transmission index,Transmission index,RV / decode state,RV / decode state,HARQ RV timeline,HARQ RV timeline,a105c8c541e8166b0ff89addde0eef2b612c6a1f963ac7a9caea80846e0e407f,a4f36e7c6e4a7f94308fa8a54e054add89026a2c41121422a90a0aad5210e785,PASS,pdsch_harq_trials.csv,a105c8c541e8166b0ff89addde0eef2b612c6a1f963ac7a9caea80846e0e407f
pdsch_bler_vs_snr.png,pdsch_bler_curve.csv,996,717,1,7,28,SNR (dB),SNR (dB),BLER,BLER,PDSCH BLER,PDSCH BLER,d88ef782f185f74fa0ca727c95dd57701ae789246b51d750154af09116f1c674,cb80260200d1bfe27b1bd06930b2cfd4f447be262c62332f8ef73984833ec0af,PASS,pdsch_bler_curve.csv,d88ef782f185f74fa0ca727c95dd57701ae789246b51d750154af09116f1c674
pdsch_ptrs_phase_noise_evm.png,pdsch_ptrs_matrix.csv,982,717,1,2,106,Phase-noise severity,Phase-noise severity,EVM (%),EVM (%),PT-RS phase tracking,PT-RS phase tracking,9da608940634354279c5e4d3e049e064477b661039aaa5f4e6363536149699d7,22993599614d01a57ed368549fc4a54fc1f4bbd254d793d9d1633aae6a232e10,PASS,pdsch_ptrs_matrix.csv,9da608940634354279c5e4d3e049e064477b661039aaa5f4e6363536149699d7
pdsch_per_layer_sinr.png,pdsch_receiver_metrics.csv,991,717,1,1,252,Layer,Layer,Measured SINR (dB),Measured SINR (dB),Per-layer SINR,Per-layer SINR,5dcc068fefb22aed5e5f3edc162ad750cf0103736c904f36d70ca665e9874aa4,5d340fbd8f99029be8fd144ff04928aee00b1c8fa34115131c12c2f0e93263df,PASS,pdsch_receiver_metrics.csv,5dcc068fefb22aed5e5f3edc162ad750cf0103736c904f36d70ca665e9874aa4
pdsch_reserved_re_impact.png,pdsch_resource_ownership.csv|pdsch_coding_chain.csv,995,714,1,2,20,Reserved RE count,Reserved RE count,G / TBS,G / TBS,Reserved-resource impact,Reserved-resource impact,pdsch_resource_ownership.csv=f0c5ccf8833f61d80c3b7468a43e8d274a65d63191339b32850b71c49d3d8399|pdsch_coding_chain.csv=95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc,5ae52cbb52060a7202578dbce7ccfe06614ea568dc5f59672d5450a055076869,PASS,pdsch_resource_ownership.csv|pdsch_coding_chain.csv,pdsch_resource_ownership.csv=f0c5ccf8833f61d80c3b7468a43e8d274a65d63191339b32850b71c49d3d8399|pdsch_coding_chain.csv=95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc
pdsch_pipeline_stage_dimensions.png,pdsch_coding_chain.csv,1005,717,1,1,5,Pipeline stage,Pipeline stage,Bits,Bits,PDSCH pipeline stage dimensions,PDSCH pipeline stage dimensions,95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc,88574725960acd742a35e4af8232a0f9dfe630233de49be7ab3d1940e8b07d57,PASS,pdsch_coding_chain.csv,95f1184cb7ac37d5d5e9dd61688d2c0056943c59396c78e3b0f650b207b73bbc
pdsch_independent_mismatch_overview.png,pdsch_independent_vector_results.csv,991,717,1,2,34,Independent comparison,Independent comparison,Mismatch / error,Mismatch / error,Independent-vector mismatch overview,Independent-vector mismatch overview,dc4d97917b0042a83db2944e84eb88656d792b5f9eb7c4cc84d413b49f7d1c02,f9804c6c391e597f5ccdcf05806afedeb0f529a2829dcbf6bcec0b8950f2806a,PASS,pdsch_independent_vector_results.csv,dc4d97917b0042a83db2944e84eb88656d792b5f9eb7c4cc84d413b49f7d1c02
