Stage,Source,ExecutionMode,RecordCount,PassedCount,FailedCount,DurationSeconds,ErrorIdentifier,ErrorMessage,Detail,Status
vector_pack_verification,verify_pdsch_vector_pack.py,python_preflight,27,27,0,0.4503647,,,files=27 exit=0,PASS
phase_evidence_builder,sixgr.pdsch.PDSCHPhaseEvidenceBuilder.build,production_evidence_builder,2605,2605,0,61.397812,,,tables=11,PASS
coverage_executor,sixgr.pdsch.PDSCHCoverageExecutor.run,production_coverage_executor,634,634,0,232.6133247,,,declared=112 pairwise=48 no_noise=40 bler=28,PASS
focused_test_function,testPDSCHSchedulingAssignment,direct_feval_one_call,1,1,0,1.268067,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHSchedulingAssignment.m,PASS
focused_test_function,testPDSCHSPSAssignment,direct_feval_one_call,1,1,0,0.6719057,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHSPSAssignment.m,PASS
focused_test_function,testPDSCHFDRAFromDecodedDCI,direct_feval_one_call,1,1,0,0.2379598,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHFDRAFromDecodedDCI.m,PASS
focused_test_function,testPDSCHTDRAFromDecodedDCI,direct_feval_one_call,1,1,0,0.3054775,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHTDRAFromDecodedDCI.m,PASS
focused_test_function,testPDSCHMCSResolver,direct_feval_one_call,1,1,0,2.6047132,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHMCSResolver.m,PASS
focused_test_function,testPDSCHPhaseEvidenceMCSFailClosed,direct_feval_one_call,1,1,0,0.9955262,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHPhaseEvidenceMCSFailClosed.m,PASS
focused_test_function,testPDSCHConfigMaterializerNoMutation,direct_feval_one_call,1,1,0,2.408299,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHConfigMaterializerNoMutation.m,PASS
focused_test_function,testPDSCHDMRSInvalidCombinations,direct_feval_one_call,1,1,0,0.2042189,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDMRSInvalidCombinations.m,PASS
focused_test_function,testPDSCHDMRSNoMutation,direct_feval_one_call,1,1,0,0.1777016,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDMRSNoMutation.m,PASS
focused_test_function,testPDSCHDMRSSymbolPositionVectors,direct_feval_one_call,1,1,0,0.7712801,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDMRSSymbolPositionVectors.m,PASS
focused_test_function,testPDSCHDMRSPortTableVectors,direct_feval_one_call,1,1,0,0.436317,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDMRSPortTableVectors.m,PASS
focused_test_function,testPDSCHDMRSSequenceIndependent,direct_feval_one_call,1,1,0,0.2914609,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDMRSSequenceIndependent.m,PASS
focused_test_function,testPDSCHPTRSPresenceVectors,direct_feval_one_call,1,1,0,0.3458935,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHPTRSPresenceVectors.m,PASS
focused_test_function,testPDSCHPTRSIndicesIndependent,direct_feval_one_call,1,1,0,0.4083459,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHPTRSIndicesIndependent.m,PASS
focused_test_function,testPDSCHPTRSPortAssociation,direct_feval_one_call,1,1,0,0.1699217,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHPTRSPortAssociation.m,PASS
focused_test_function,testPDSCHPTRSPhaseNoiseBenefit,direct_feval_one_call,1,1,0,0.2476728,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHPTRSPhaseNoiseBenefit.m,PASS
focused_test_function,testPDSCHReservedREUnionVectors,direct_feval_one_call,1,1,0,0.979744,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHReservedREUnionVectors.m,PASS
focused_test_function,testPDSCHResourceOwnershipMap,direct_feval_one_call,1,1,0,0.6707438,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHResourceOwnershipMap.m,PASS
focused_test_function,testPDSCHNoDataDMRSPTRSReservedOverlap,direct_feval_one_call,1,1,0,0.4390961,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHNoDataDMRSPTRSReservedOverlap.m,PASS
focused_test_function,testPDSCHExactGFromResourcePlan,direct_feval_one_call,1,1,0,0.2856125,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHExactGFromResourcePlan.m,PASS
focused_test_function,testPDSCHRateMatchPatternIntegration,direct_feval_one_call,1,1,0,0.2214627,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHRateMatchPatternIntegration.m,PASS
focused_test_function,testPDSCHTBSAndBaseGraphVectors,direct_feval_one_call,1,1,0,4.7958605,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHTBSAndBaseGraphVectors.m,PASS
focused_test_function,testPDSCHTBCRCVectors,direct_feval_one_call,1,1,0,0.4953578,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHTBCRCVectors.m,PASS
focused_test_function,testPDSCHCodeBlockSegmentationIndependent,direct_feval_one_call,1,1,0,11.8631981,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHCodeBlockSegmentationIndependent.m,PASS
focused_test_function,testPDSCHLDPCEncodingIndependent,direct_feval_one_call,1,1,0,0.6879829,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHLDPCEncodingIndependent.m,PASS
focused_test_function,testPDSCHRateMatchingIndependent,direct_feval_one_call,1,1,0,1.6058445,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHRateMatchingIndependent.m,PASS
focused_test_function,testPDSCHDLSCHNoNoiseRoundTrip,direct_feval_one_call,1,1,0,0.4867871,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHDLSCHNoNoiseRoundTrip.m,PASS
focused_test_function,testPDSCHTwoCodewordCoding,direct_feval_one_call,1,1,0,1.2393979,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHTwoCodewordCoding.m,PASS
focused_test_function,testPDSCHScramblingIndependentVectors,direct_feval_one_call,1,1,0,0.4487655,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHScramblingIndependentVectors.m,PASS
focused_test_function,testPDSCHModulationIndependentVectors,direct_feval_one_call,1,1,0,0.5036459,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHModulationIndependentVectors.m,PASS
focused_test_function,testPDSCHSoftDemodulationLLRSign,direct_feval_one_call,1,1,0,0.2524902,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHSoftDemodulationLLRSign.m,PASS
focused_test_function,testPDSCH1024QAMRoundTrip,direct_feval_one_call,1,1,0,0.4258102,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCH1024QAMRoundTrip.m,PASS
focused_test_function,testPDSCHLayerMappingIndependentVectors,direct_feval_one_call,1,1,0,0.5187074,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHLayerMappingIndependentVectors.m,PASS
focused_test_function,testPDSCHRank1To8NoNoiseRoundTrip,direct_feval_one_call,1,1,0,3.1823024,,,function returned true | C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\tests\testPDSCHRank1To8NoNoiseRoundTrip.m,PASS
