CaseID,TimeDensity,FrequencyDensity,REOffset,PTRSPortSet,AssociatedDMRSPort,PTRSRECount,ExpectedPresent,PresenceReason,CPEBeforeDeg,CPEAfterDeg,EVMBeforePercent,EVMAfterPercent,Status,PlotCoordinates0Based
PTRS-001,1,2,00,0,0,132,1,PTRSPresent,2.0141111228796134,1.7765555989918699e-15,4.311558641823936,1.1597735363916267e-14,PASS,0:0|24:0|48:0|72:0|96:0|120:0|144:0|168:0|192:0|216:0|240:0|264:0|0:1|24:1|48:1|72:1|96:1|120:1|144:1|168:1|192:1|216:1|240:1|264:1|0:3|24:3|48:3|72:3|96:3|120:3|144:3|168:3|192:3|216:3|240:3|264:3|0:4|24:4|48:4|72:4|96:4|120:4|144:4|168:4|192:4|216:4|240:4|264:4|0:5|24:5|48:5|72:5|96:5|120:5|144:5|168:5|192:5|216:5|240:5|264:5|0:6|24:6|48:6|72:6|96:6|120:6|144:6|168:6|192:6|216:6|240:6|264:6|0:7|24:7|48:7|72:7|96:7|120:7|144:7|168:7|192:7|216:7|240:7|264:7|0:8|24:8|48:8|72:8|96:8|120:8|144:8|168:8|192:8|216:8|240:8|264:8|0:9|24:9|48:9|72:9|96:9|120:9|144:9|168:9|192:9|216:9|240:9|264:9|0:10|24:10|48:10|72:10|96:10|120:10|144:10|168:10|192:10|216:10|240:10|264:10|0:11|24:11|48:11|72:11|96:11|120:11|144:11|168:11|192:11|216:11|240:11|264:11
PTRS-002,1,2,01,0,0,132,1,PTRSPresent,1.5701591721504029,2.3325703309931162e-15,3.4615169737368312,1.257904338169158e-14,PASS,2:0|26:0|50:0|74:0|98:0|122:0|146:0|170:0|194:0|218:0|242:0|266:0|2:1|26:1|50:1|74:1|98:1|122:1|146:1|170:1|194:1|218:1|242:1|266:1|2:3|26:3|50:3|74:3|98:3|122:3|146:3|170:3|194:3|218:3|242:3|266:3|2:4|26:4|50:4|74:4|98:4|122:4|146:4|170:4|194:4|218:4|242:4|266:4|2:5|26:5|50:5|74:5|98:5|122:5|146:5|170:5|194:5|218:5|242:5|266:5|2:6|26:6|50:6|74:6|98:6|122:6|146:6|170:6|194:6|218:6|242:6|266:6|2:7|26:7|50:7|74:7|98:7|122:7|146:7|170:7|194:7|218:7|242:7|266:7|2:8|26:8|50:8|74:8|98:8|122:8|146:8|170:8|194:8|218:8|242:8|266:8|2:9|26:9|50:9|74:9|98:9|122:9|146:9|170:9|194:9|218:9|242:9|266:9|2:10|26:10|50:10|74:10|98:10|122:10|146:10|170:10|194:10|218:10|242:10|266:10|2:11|26:11|50:11|74:11|98:11|122:11|146:11|170:11|194:11|218:11|242:11|266:11
PTRS-003,1,2,10,0,0,132,1,PTRSPresent,1.5701591721504029,2.3325703309931162e-15,3.4615169737368312,1.257904338169158e-14,PASS,6:0|30:0|54:0|78:0|102:0|126:0|150:0|174:0|198:0|222:0|246:0|270:0|6:1|30:1|54:1|78:1|102:1|126:1|150:1|174:1|198:1|222:1|246:1|270:1|6:3|30:3|54:3|78:3|102:3|126:3|150:3|174:3|198:3|222:3|246:3|270:3|6:4|30:4|54:4|78:4|102:4|126:4|150:4|174:4|198:4|222:4|246:4|270:4|6:5|30:5|54:5|78:5|102:5|126:5|150:5|174:5|198:5|222:5|246:5|270:5|6:6|30:6|54:6|78:6|102:6|126:6|150:6|174:6|198:6|222:6|246:6|270:6|6:7|30:7|54:7|78:7|102:7|126:7|150:7|174:7|198:7|222:7|246:7|270:7|6:8|30:8|54:8|78:8|102:8|126:8|150:8|174:8|198:8|222:8|246:8|270:8|6:9|30:9|54:9|78:9|102:9|126:9|150:9|174:9|198:9|222:9|246:9|270:9|6:10|30:10|54:10|78:10|102:10|126:10|150:10|174:10|198:10|222:10|246:10|270:10|6:11|30:11|54:11|78:11|102:11|126:11|150:11|174:11|198:11|222:11|246:11|270:11
PTRS-004,1,2,11,0,0,132,1,PTRSPresent,1.8409238523936815,2.9136506343137303e-15,4.1418804980552419,1.215182066536529e-14,PASS,8:0|32:0|56:0|80:0|104:0|128:0|152:0|176:0|200:0|224:0|248:0|272:0|8:1|32:1|56:1|80:1|104:1|128:1|152:1|176:1|200:1|224:1|248:1|272:1|8:3|32:3|56:3|80:3|104:3|128:3|152:3|176:3|200:3|224:3|248:3|272:3|8:4|32:4|56:4|80:4|104:4|128:4|152:4|176:4|200:4|224:4|248:4|272:4|8:5|32:5|56:5|80:5|104:5|128:5|152:5|176:5|200:5|224:5|248:5|272:5|8:6|32:6|56:6|80:6|104:6|128:6|152:6|176:6|200:6|224:6|248:6|272:6|8:7|32:7|56:7|80:7|104:7|128:7|152:7|176:7|200:7|224:7|248:7|272:7|8:8|32:8|56:8|80:8|104:8|128:8|152:8|176:8|200:8|224:8|248:8|272:8|8:9|32:9|56:9|80:9|104:9|128:9|152:9|176:9|200:9|224:9|248:9|272:9|8:10|32:10|56:10|80:10|104:10|128:10|152:10|176:10|200:10|224:10|248:10|272:10|8:11|32:11|56:11|80:11|104:11|128:11|152:11|176:11|200:11|224:11|248:11|272:11
PTRS-005,1,4,00,0,0,66,1,PTRSPresent,7.4208715396982816,2.0255732704107466e-15,14.381938340441334,1.1788020929566208e-14,PASS,0:0|48:0|96:0|144:0|192:0|240:0|0:1|48:1|96:1|144:1|192:1|240:1|0:3|48:3|96:3|144:3|192:3|240:3|0:4|48:4|96:4|144:4|192:4|240:4|0:5|48:5|96:5|144:5|192:5|240:5|0:6|48:6|96:6|144:6|192:6|240:6|0:7|48:7|96:7|144:7|192:7|240:7|0:8|48:8|96:8|144:8|192:8|240:8|0:9|48:9|96:9|144:9|192:9|240:9|0:10|48:10|96:10|144:10|192:10|240:10|0:11|48:11|96:11|144:11|192:11|240:11
PTRS-006,1,4,01,0,0,66,1,PTRSPresent,4.6144127657676108,1.9442555227211349e-15,9.7578841698515042,1.1676693528226418e-14,PASS,2:0|50:0|98:0|146:0|194:0|242:0|2:1|50:1|98:1|146:1|194:1|242:1|2:3|50:3|98:3|146:3|194:3|242:3|2:4|50:4|98:4|146:4|194:4|242:4|2:5|50:5|98:5|146:5|194:5|242:5|2:6|50:6|98:6|146:6|194:6|242:6|2:7|50:7|98:7|146:7|194:7|242:7|2:8|50:8|98:8|146:8|194:8|242:8|2:9|50:9|98:9|146:9|194:9|242:9|2:10|50:10|98:10|146:10|194:10|242:10|2:11|50:11|98:11|146:11|194:11|242:11
PTRS-007,1,4,10,0,0,66,1,PTRSPresent,4.6144127657676108,1.9442555227211349e-15,9.7578841698515042,1.1676693528226418e-14,PASS,6:0|54:0|102:0|150:0|198:0|246:0|6:1|54:1|102:1|150:1|198:1|246:1|6:3|54:3|102:3|150:3|198:3|246:3|6:4|54:4|102:4|150:4|198:4|246:4|6:5|54:5|102:5|150:5|198:5|246:5|6:6|54:6|102:6|150:6|198:6|246:6|6:7|54:7|102:7|150:7|198:7|246:7|6:8|54:8|102:8|150:8|198:8|246:8|6:9|54:9|102:9|150:9|198:9|246:9|6:10|54:10|102:10|150:10|198:10|246:10|6:11|54:11|102:11|150:11|198:11|246:11
PTRS-008,1,4,11,0,0,66,1,PTRSPresent,1.5960471672925816,2.0103634444031999e-15,3.1713752008425704,1.2439500189183856e-14,PASS,8:0|56:0|104:0|152:0|200:0|248:0|8:1|56:1|104:1|152:1|200:1|248:1|8:3|56:3|104:3|152:3|200:3|248:3|8:4|56:4|104:4|152:4|200:4|248:4|8:5|56:5|104:5|152:5|200:5|248:5|8:6|56:6|104:6|152:6|200:6|248:6|8:7|56:7|104:7|152:7|200:7|248:7|8:8|56:8|104:8|152:8|200:8|248:8|8:9|56:9|104:9|152:9|200:9|248:9|8:10|56:10|104:10|152:10|200:10|248:10|8:11|56:11|104:11|152:11|200:11|248:11
PTRS-009,2,2,00,0,0,60,1,PTRSPresent,1.057087979839157,2.4502761972314311e-15,2.5485857177232529,1.2888902171591637e-14,PASS,0:0|24:0|48:0|72:0|96:0|120:0|144:0|168:0|192:0|216:0|240:0|264:0|0:4|24:4|48:4|72:4|96:4|120:4|144:4|168:4|192:4|216:4|240:4|264:4|0:6|24:6|48:6|72:6|96:6|120:6|144:6|168:6|192:6|216:6|240:6|264:6|0:8|24:8|48:8|72:8|96:8|120:8|144:8|168:8|192:8|216:8|240:8|264:8|0:10|24:10|48:10|72:10|96:10|120:10|144:10|168:10|192:10|216:10|240:10|264:10
PTRS-010,2,2,01,0,0,60,1,PTRSPresent,5.9256625247814645,3.2890724807231046e-15,11.421303277325979,1.3386883634994052e-14,PASS,2:0|26:0|50:0|74:0|98:0|122:0|146:0|170:0|194:0|218:0|242:0|266:0|2:4|26:4|50:4|74:4|98:4|122:4|146:4|170:4|194:4|218:4|242:4|266:4|2:6|26:6|50:6|74:6|98:6|122:6|146:6|170:6|194:6|218:6|242:6|266:6|2:8|26:8|50:8|74:8|98:8|122:8|146:8|170:8|194:8|218:8|242:8|266:8|2:10|26:10|50:10|74:10|98:10|122:10|146:10|170:10|194:10|218:10|242:10|266:10
