RunId,MIBEvidenceField,BitLength,NumericValue,BitOrHexValue,SHA256,DecodedBitSource,BCHCrcPass
"sib1_runtime_waveform","BCHTransportBlock",24,NaN,"01C000","46d1e5645ff707bc668479f92e92ce51af7f90545a44b365890de6ae4e1a9488","nrBCHDecode",1
"sib1_runtime_waveform","BCHScrambledBlock",32,NaN,"08F0C06E","8e615415a7e4eed5ffd60b0b758afc27c5c78f929b1bd721be5a5b985a093bc0","nrBCHDecode",1
"sib1_runtime_waveform","pdcch-ConfigSIB1",8,0,"00000000","","nrBCHDecode",1
"sib1_runtime_waveform","controlResourceSetZero",4,0,"","","nrBCHDecode",1
"sib1_runtime_waveform","searchSpaceZero",4,0,"","","nrBCHDecode",1
"sib1_runtime_waveform","dmrs-TypeA-Position",1,2,"","","nrBCHDecode",1
"sib1_runtime_waveform","SFN4LSB",4,0,"0000","","nrBCHDecode",1
"sib1_runtime_waveform","HalfFrame",1,0,"0","","nrBCHDecode",1
"sib1_runtime_waveform","SSBIndex",NaN,2,"","","nrBCHDecode",1
"sib1_runtime_waveform","kSSBSubcarrierOffset",NaN,0,"","","nrBCHDecode",1
"sib1_runtime_waveform","iBarSSB",NaN,2,"","","nrBCHDecode",1
"sib1_runtime_waveform","PBCHv",NaN,2,"","","nrBCHDecode",1
