Direction,MCSTable,MCSIndex,Modulation,TargetCodeRate,SpectralEfficiency
"DL","qam256_table2",0,"QPSK",0.1171875,0.2344
"DL","qam256_table2",1,"QPSK",0.1884765625,0.377
"DL","qam256_table2",2,"QPSK",0.30078125,0.6016
"DL","qam256_table2",3,"QPSK",0.4384765625,0.877
"DL","qam256_table2",4,"QPSK",0.587890625,1.1758
"DL","qam256_table2",5,"16QAM",0.369140625,1.4766
"DL","qam256_table2",6,"16QAM",0.423828125,1.6953
"DL","qam256_table2",7,"16QAM",0.478515625,1.9141
"DL","qam256_table2",8,"16QAM",0.5400390625,2.1602
"DL","qam256_table2",9,"16QAM",0.6015625,2.4063
"DL","qam256_table2",10,"16QAM",0.642578125,2.5703
"DL","qam256_table2",11,"64QAM",0.455078125,2.7305
"DL","qam256_table2",12,"64QAM",0.5048828125,3.0293
"DL","qam256_table2",13,"64QAM",0.5537109375,3.3223
"DL","qam256_table2",14,"64QAM",0.6015625,3.6094
"DL","qam256_table2",15,"64QAM",0.650390625,3.9023
"DL","qam256_table2",16,"64QAM",0.7021484375,4.2129
"DL","qam256_table2",17,"64QAM",0.75390625,4.5234
"DL","qam256_table2",18,"64QAM",0.802734375,4.8164
"DL","qam256_table2",19,"64QAM",0.8525390625,5.1152
"DL","qam256_table2",20,"256QAM",0.66650390625,5.332
"DL","qam256_table2",21,"256QAM",0.6943359375,5.5547
"DL","qam256_table2",22,"256QAM",0.736328125,5.8906
"DL","qam256_table2",23,"256QAM",0.7783203125,6.2266
"DL","qam256_table2",24,"256QAM",0.8212890625,6.5703
"DL","qam256_table2",25,"256QAM",0.8642578125,6.9141
"DL","qam256_table2",26,"256QAM",0.89501953125,7.1602
"DL","qam256_table2",27,"256QAM",0.92578125,7.4063
"UL","qam256_table2",0,"QPSK",0.1171875,0.2344
"UL","qam256_table2",1,"QPSK",0.1884765625,0.377
"UL","qam256_table2",2,"QPSK",0.30078125,0.6016
"UL","qam256_table2",3,"QPSK",0.4384765625,0.877
"UL","qam256_table2",4,"QPSK",0.587890625,1.1758
"UL","qam256_table2",5,"16QAM",0.369140625,1.4766
"UL","qam256_table2",6,"16QAM",0.423828125,1.6953
"UL","qam256_table2",7,"16QAM",0.478515625,1.9141
"UL","qam256_table2",8,"16QAM",0.5400390625,2.1602
"UL","qam256_table2",9,"16QAM",0.6015625,2.4063
"UL","qam256_table2",10,"16QAM",0.642578125,2.5703
"UL","qam256_table2",11,"64QAM",0.455078125,2.7305
"UL","qam256_table2",12,"64QAM",0.5048828125,3.0293
"UL","qam256_table2",13,"64QAM",0.5537109375,3.3223
"UL","qam256_table2",14,"64QAM",0.6015625,3.6094
"UL","qam256_table2",15,"64QAM",0.650390625,3.9023
"UL","qam256_table2",16,"64QAM",0.7021484375,4.2129
"UL","qam256_table2",17,"64QAM",0.75390625,4.5234
"UL","qam256_table2",18,"64QAM",0.802734375,4.8164
"UL","qam256_table2",19,"64QAM",0.8525390625,5.1152
"UL","qam256_table2",20,"256QAM",0.66650390625,5.332
"UL","qam256_table2",21,"256QAM",0.6943359375,5.5547
"UL","qam256_table2",22,"256QAM",0.736328125,5.8906
"UL","qam256_table2",23,"256QAM",0.7783203125,6.2266
"UL","qam256_table2",24,"256QAM",0.8212890625,6.5703
"UL","qam256_table2",25,"256QAM",0.8642578125,6.9141
"UL","qam256_table2",26,"256QAM",0.89501953125,7.1602
"UL","qam256_table2",27,"256QAM",0.92578125,7.4063
