Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,FlowId,EnqueueFrame,EnqueueSlot,EnqueueCanonicalSlot,EnqueueSlotInFrame,EnqueueTime_s,OfferedBits,ScheduledBits,DeliveredBits,RemainingBits,SegmentCount,HARQAttemptCount,FirstGrantSlot,FirstGrantTime_s,ReassemblyCompleteFlag,DeliverySuccess,DeliverySlot,DeliveryCanonicalSlot,DeliveryTime_s,Latency_ms,PacketizationSource,DeliverySource,TimingStatus,Status,Notes
"UL",1,1,"UL_ue1_frame1_pkt5","UL_ue1_frame1_pkt5","UL_ue1",1,1,1,1,0,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,11.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt5","UL_ue2_frame1_pkt5","UL_ue2",1,1,1,1,0,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,11.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt5","UL_ue3_frame1_pkt5","UL_ue3",1,1,1,1,0,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt5","UL_ue4_frame1_pkt5","UL_ue4",1,1,1,1,0,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt13","UL_ue1_frame1_pkt13","UL_ue1",1,2,2,2,0.0005,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,11,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt13","UL_ue2_frame1_pkt13","UL_ue2",1,2,2,2,0.0005,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,11,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",3,3,"UL_ue3_frame1_pkt13","UL_ue3_frame1_pkt13","UL_ue3",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",4,4,"UL_ue4_frame1_pkt13","UL_ue4_frame1_pkt13","UL_ue4",1,2,2,2,0.0005,24000,0,0,24000,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,"runtime_offered_bits_canonical_slot_packet","","canonical_slot_enqueued","queued","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",1,1,"UL_ue1_frame1_pkt21","UL_ue1_frame1_pkt21","UL_ue1",1,3,3,3,0.001,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,10.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
"UL",2,2,"UL_ue2_frame1_pkt21","UL_ue2_frame1_pkt21","UL_ue2",1,3,3,3,0.001,24000,24000,24000,0,1,1,20,0.0095,1,1,24,24,0.0115,10.5,"runtime_offered_bits_canonical_slot_packet","harq_first_success_reassembly","canonical_timing_ok","delivered","Application packet created from the coupled runtime offered-bit arrival for this canonical slot/UE/direction."
