csv_path,column_name,unit,description
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","TrialRow","index","Protocol/table index."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","PositiveObjectiveRow","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","TBAttempted","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ObjectiveRowPass","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","StrictReceiverEvidenceOk","index","Protocol/table index."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ChannelEstimateAttempted","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ChannelEstimateAvailable","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ResourceExtractionAttempted","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ResourceExtractionAvailable","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","EqualizationAttempted","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","EqualizationAvailable","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","DLSCHDecodeAttempted","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","DLSCHDecodeAvailable","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","LLRAvailable","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","LLRFinite","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","PostEqSINRAvailable","dB","Log-domain radio metric."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","PostEqSINRReceiverDerived","dB","Log-domain radio metric."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","PostEqSINRWidebanddB","dB","Log-domain radio metric."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","SINRValidationStatus","dB","Log-domain radio metric."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","ConfiguredSNRLikeSourceRejected","unknown","Unit not classified by catalogue."
"air_interface\csv\dl_pdsch_receiver_evidence_audit.csv","TBCrcKnown","unknown","Unit not classified by catalogue."
