Direction,UEIndex,RNTI,PacketId,ApplicationPacketId,MACSDUId,TransportBlockId,GrantContextId,HARQProcessId,NDI,RV,SegmentIndex,PayloadBits,ScheduleSlot,ScheduleCanonicalSlot,ScheduleTime_s,HARQAttemptCount,LastAttemptSlot,LastRV,TBCrcPass,DeliverySuccess,FirstSuccessDelivery,ReassemblyCompleteFlag,ApplicationDeliveryFlag,Status,Notes
"UL",1,1,"UL_ue1_frame1_pkt5","UL_ue1_frame1_pkt5","UL_ue1_frame1_pkt5_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt13","UL_ue1_frame1_pkt13","UL_ue1_frame1_pkt13_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt21","UL_ue1_frame1_pkt21","UL_ue1_frame1_pkt21_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt29","UL_ue1_frame1_pkt29","UL_ue1_frame1_pkt29_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt37","UL_ue1_frame1_pkt37","UL_ue1_frame1_pkt37_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt45","UL_ue1_frame1_pkt45","UL_ue1_frame1_pkt45_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt53","UL_ue1_frame1_pkt53","UL_ue1_frame1_pkt53_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,36000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",1,1,"UL_ue1_frame1_pkt61","UL_ue1_frame1_pkt61","UL_ue1_frame1_pkt61_macsdu1","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=1;rnti=1;cell=1;harq=0",0,1,0,1,20808,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",2,2,"UL_ue2_frame1_pkt5","UL_ue2_frame1_pkt5","UL_ue2_frame1_pkt5_macsdu1","dir=UL;frame=1;slot=20;ue=2;rnti=2;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
"UL",2,2,"UL_ue2_frame1_pkt13","UL_ue2_frame1_pkt13","UL_ue2_frame1_pkt13_macsdu1","dir=UL;frame=1;slot=20;ue=2;rnti=2;cell=1;harq=0","dir=UL;frame=1;slot=20;ue=2;rnti=2;cell=1;harq=0",0,1,0,1,24000,20,20,0.0095,1,20,0,0,0,0,0,0,"harq_pending_or_failed","MAC SDU segment mapped from queued application packet bits into a finalized new-data PHY grant."
