RunId,KPIName,Direction,Layer,Units,FormulaId,FormulaVersion,NumeratorValue,DenominatorValue,Value,AggregationDurationSec,ScheduledResourceExposureSec,MeasurementWindowSec,WarmupDurationSec,FirstSuccessDeliveryCount,RetransmissionAttemptCount,DurationSource,SourceTablePaths,SourceRowCount,EligibleRowCount,ExcludedRowCount,SourceRowsHash,SourceDirection,ProxyRowsExcluded,SkippedRowsExcluded,FailedRowsIncluded,HARQDeduplicationApplied,DuplicateDeliveryCount,MissingRawData,SchemaValid,FormulaExecuted,ReconstructionValue,ReconciliationTolerance,ReconciliationPass,StrictOk,Status,FailureReason
"","UL_Goodput_Max_Mbps","UL","PHY","Mbps","UL_Goodput_Max_Mbps","kpi_registry_v1",0,0.01,0,0.01,0.0005,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,1,0,0,1,1,0,1e-09,1,1,"pass",""
"","DL_Goodput_Max_Mbps","DL","PHY","Mbps","DL_Goodput_Max_Mbps","kpi_registry_v1",0,0.01,0,0.01,0.0015,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,1,0,0,1,1,0,1e-09,1,1,"pass",""
"","UL_PHY_ScheduledThroughput_Mbps","UL","PHY","Mbps","UL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",401616,0.0005,803.232,0.0005,0.0005,0.01,0,0,0,"scheduled_resource_exposure:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,803.232,1e-09,1,1,"pass",""
"","DL_PHY_ScheduledThroughput_Mbps","DL","PHY","Mbps","DL_PHY_ScheduledThroughput_Mbps","kpi_registry_v1",1106544,0.0015,737.696,0.0015,0.0015,0.01,0,0,0,"scheduled_resource_exposure:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,737.696,1e-09,1,1,"pass",""
"","UL_TB_Delivery_Goodput_Mbps","UL","PHY","Mbps","UL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",0,0.01,0,0.01,0.0005,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,1,0,0,1,1,0,1e-09,1,1,"pass",""
"","DL_TB_Delivery_Goodput_Mbps","DL","PHY","Mbps","DL_TB_Delivery_Goodput_Mbps","kpi_registry_v1",0,0.01,0,0.01,0.0015,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,1,0,0,1,1,0,1e-09,1,1,"pass",""
"","UL_SpectralEfficiency_bpsHz","UL","PHY","bps/Hz","UL_SpectralEfficiency_bpsHz","kpi_registry_v1",0,0.01,0,0.01,0.0005,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","DL_SpectralEfficiency_bpsHz","DL","PHY","bps/Hz","DL_SpectralEfficiency_bpsHz","kpi_registry_v1",0,0.01,0,0.01,0.0015,0.01,0,0,0,"measurement_window:configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","UL_Latency_ms","UL","traffic","ms","UL_Latency_ms","kpi_registry_v1",NaN,0,NaN,0.01,0.0005,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,NaN,1e-09,0,0,"fail",""
"","DL_Latency_ms","DL","traffic","ms","DL_Latency_ms","kpi_registry_v1",NaN,0,NaN,0.01,0.0015,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,NaN,1e-09,0,0,"fail",""
"","UL_BLER","UL","PHY","ratio","UL_BLER","kpi_registry_v1",NaN,2,1,0.01,0.0005,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,1,1e-09,1,1,"pass",""
"","DL_BLER","DL","PHY","ratio","DL_BLER","kpi_registry_v1",NaN,6,1,0.01,0.0015,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,1,1e-09,1,1,"pass",""
"","UL_BER","UL","PHY","ratio","UL_BER","kpi_registry_v1",NaN,2,0.23396727222023,0.01,0.0005,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,0.23396727222023,1e-09,1,1,"pass",""
"","DL_BER","DL","PHY","ratio","DL_BER","kpi_registry_v1",NaN,6,0.340720296707587,0.01,0.0015,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,0.340720296707587,1e-09,1,1,"pass",""
"","Scenario_Total_UL_DeliveredBits","UL","PHY","bits","Scenario_Total_UL_DeliveredBits","kpi_registry_v1",0,2,0,0.01,0.0005,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","Scenario_Total_DL_DeliveredBits","DL","PHY","bits","Scenario_Total_DL_DeliveredBits","kpi_registry_v1",0,6,0,0.01,0.0015,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,0,1e-09,1,1,"pass",""
"","Scenario_Total_UL_ScheduledBits","UL","PHY","bits","Scenario_Total_UL_ScheduledBits","kpi_registry_v1",401616,2,401616,0.01,0.0005,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/ul_pusch_trials.csv",2,2,0,"79a431b88beee829ccf4a71b68663ea90392c6e96cd62024edb67ecfaea2ea07","UL",0,0,1,0,0,0,1,1,401616,1e-09,1,1,"pass",""
"","Scenario_Total_DL_ScheduledBits","DL","PHY","bits","Scenario_Total_DL_ScheduledBits","kpi_registry_v1",1106544,6,1106544,0.01,0.0015,0.01,0,0,0,"configured_measurement_window_sec","air_interface/csv/dl_pdsch_trials.csv",6,6,0,"dfa09e1dd61080b1861a952ca346ef04aa521c7d64afddf450adeefff3a85b7f","DL",0,0,1,0,0,0,1,1,1106544,1e-09,1,1,"pass",""
"","UL_MAC_Goodput_Mbps","UL","MAC","Mbps","UL_MAC_Goodput_Mbps","kpi_registry_v1",0,0.01,0,0.01,0.0005,0.01,0,0,0,"measurement_window:packet_delivery_measurement_window","C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\artifacts\packet_flow\csv\live_packet_sdu_delivery_ledger.csv",16,16,0,"7689e8ec949342886651087ee47f9540135313caf7b5341b06dd8a0c645f5ed0","UL",0,0,1,1,0,0,1,1,0,1e-09,1,1,"pass",""
