MetricKey,Entity,Statistic,Value,TextValue,Unit,Notes
"ue_energy_per_successful_bit","UE","mean",1.25838926174497e-06,"1.25838926174e-06","J/bit","UE runtime energy divided by successful bits."
"first_delivered_bits","system","total",2384,"2384","bit","Unique first-success delivered bits used as energy denominator."
"first_delivery_count","system","total",2,"2","count","Unique first-success TB delivery events used by energy accounting."
"measurement_window_duration","system","total",0.01,"0.01","s","Simulated measurement window used by energy and throughput-per-watt metrics."
"ue_energy_per_slot_frame_burst","UE","per_frame_mean",0.0006,"0.0006","J/frame","Average UE energy per frame."
"gnb_energy_per_successful_bit","gNB","mean",0.000424282639154721,"0.000424282639155","J/bit","gNB runtime energy divided by successful bits."
"gnb_active_sleep_duty_cycle","gNB","active_ratio",0.2,"0.2","fraction","Active ratio from gNB runtime timeline."
"gnb_active_sleep_duty_cycle","gNB","sleep_ratio",0.8,"0.8","fraction","Residual ratio not spent in active runtime states."
"rf_chain_active_time","gNB","total",0.002,"0.002","s","Accumulated gNB RF-chain active time."
"bb_processing_energy","gNB","total",0.384,"0.384","J","Modeled TRX-chain processing energy in the RF energy model."
"pdcch_monitoring_energy_metric","UE","total",0.0015,"0.0015","J","UE receive energy while monitoring PDCCH."
"pdcch_monitoring_energy","UE","total",0.0015,"0.0015","J","UE receive energy while monitoring PDCCH."
"ssb_pbch_common_signal_energy","gNB","total",0,"0","J","gNB common-signal transmit energy."
"prach_common_channel_clustering_energy_effect","system","delta_j",0,"0","J","Common-signal clustering disabled; energy delta is zero by construction."
"bandwidth_adaptation_energy_effect","system","delta_j",0,"0","J","Bandwidth-adaptation energy saving disabled; delta is zero by construction."
"race_to_sleep_gains","system","fractional_gain",0,"0","fraction","Sleep-state model disabled; race-to-sleep gain is zero for this scenario."
"throughput_per_watt","system","mean",0.00234994967164794,"0.00234994967165","Mbps/W","Throughput per average combined UE+gNB power."
"energy_delay_product","system","mean",0.0101448981174486,"0.0101448981174","J*s","Energy-delay product over the scenario runtime."
"energy_spectral_efficiency_tradeoff","system","mean",0.000234994967164794,"0.000234994967165","(bit/s/Hz)/W","Spectral efficiency per watt proxy."
