Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","WidebandCQI",7,7,7,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedMCS",5,5,5,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedTargetCodeRate",0.369140625,0.369140625,0.369140625,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CSIPayloadBitLength",23,23,23,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",3,3,3,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","WidebandCQI",9,9,9,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedMCS",9,9,9,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedTargetCodeRate",0.6015625,0.6015625,0.6015625,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CSIPayloadBitLength",23,23,23,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",3,3,3,1
"DL","dl_pdsch_trials",16,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"UL","ul_pusch_trials",21,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","WidebandCQI",5,5,5,1
"UL","ul_pusch_trials",21,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedMCS",3,3,3,1
"UL","ul_pusch_trials",21,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedTargetCodeRate",0.4384765625,0.4384765625,0.4384765625,1
"UL","ul_pusch_trials",21,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"UL","ul_pusch_trials",23,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","WidebandCQI",6,6,6,1
"UL","ul_pusch_trials",23,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedMCS",4,4,4,1
"UL","ul_pusch_trials",23,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CQIDerivedTargetCodeRate",0.587890625,0.587890625,0.587890625,1
"UL","ul_pusch_trials",23,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
