RunID,EventSequence,BearerID,COUNT,ArrivalAction,RX_DELIV,RX_NEXT,RX_REORD,TimerState,DeliveryAction,DiscardAction,Status
"PROTOCOL-20260727-071456","1","1","1","1","3","1","1","1","1","1","PASS"
"PROTOCOL-20260727-071456","2","2","2","2","3","2","2","2","2","2","PASS"
"PROTOCOL-20260727-071456","3","3","3","3","2","3","3","3","3","3","PASS"
"PROTOCOL-20260727-071456","4","4","4","4","5","4","4","4","4","4","PASS"
"PROTOCOL-20260727-071456","5","5","5","5","6","5","5","5","5","5","PASS"
"PROTOCOL-20260727-071456","6","6","6","6","3","6","6","6","6","6","PASS"
"PROTOCOL-20260727-071456","7","7","7","7","3","7","7","7","7","7","PASS"
"PROTOCOL-20260727-071456","8","8","8","8","2","8","8","8","8","8","PASS"
"PROTOCOL-20260727-071456","9","9","9","9","5","9","9","9","9","9","PASS"
"PROTOCOL-20260727-071456","10","10","10","10","6","10","10","10","10","10","PASS"
"PROTOCOL-20260727-071456","11","11","11","11","3","11","11","11","11","11","PASS"
"PROTOCOL-20260727-071456","12","12","12","12","3","12","12","12","12","12","PASS"
"PROTOCOL-20260727-071456","13","13","13","13","2","13","13","13","13","13","PASS"
"PROTOCOL-20260727-071456","14","14","14","14","5","14","14","14","14","14","PASS"
"PROTOCOL-20260727-071456","15","15","15","15","6","15","15","15","15","15","PASS"
"PROTOCOL-20260727-071456","16","16","16","16","3","16","16","16","16","16","PASS"
"PROTOCOL-20260727-071456","17","17","17","17","3","17","17","17","17","17","PASS"
"PROTOCOL-20260727-071456","18","18","18","18","2","18","18","18","18","18","PASS"
"PROTOCOL-20260727-071456","19","19","19","19","5","19","19","19","19","19","PASS"
"PROTOCOL-20260727-071456","20","20","20","20","6","20","20","20","20","20","PASS"
