RunID,ConfigTransactionID,BearerID,Action,RRCValidated,RLCCommitted,PDCPCommitted,SDAPCommitted,MACCommitted,ConfigurationEpoch,Atomic,Status
"PROTOCOL-20260727-071456","1","1","ADD","true","true","true","true","true","1","true","PASS"
"PROTOCOL-20260727-071456","2","2","MODIFY","true","true","true","true","true","2","true","PASS"
"PROTOCOL-20260727-071456","3","3","RELEASE","true","true","true","true","true","3","true","PASS"
"PROTOCOL-20260727-071456","4","4","ADD","true","true","true","true","true","4","true","PASS"
"PROTOCOL-20260727-071456","5","5","MODIFY","true","true","true","true","true","5","true","PASS"
"PROTOCOL-20260727-071456","6","6","RELEASE","true","true","true","true","true","6","true","PASS"
"PROTOCOL-20260727-071456","7","7","ADD","true","true","true","true","true","7","true","PASS"
"PROTOCOL-20260727-071456","8","8","MODIFY","true","true","true","true","true","8","true","PASS"
"PROTOCOL-20260727-071456","9","9","RELEASE","true","true","true","true","true","9","true","PASS"
"PROTOCOL-20260727-071456","10","10","ADD","true","true","true","true","true","10","true","PASS"
"PROTOCOL-20260727-071456","11","11","MODIFY","true","true","true","true","true","11","true","PASS"
"PROTOCOL-20260727-071456","12","12","RELEASE","true","true","true","true","true","12","true","PASS"
"PROTOCOL-20260727-071456","13","13","ADD","true","true","true","true","true","13","true","PASS"
"PROTOCOL-20260727-071456","14","14","MODIFY","true","true","true","true","true","14","true","PASS"
"PROTOCOL-20260727-071456","15","15","RELEASE","true","true","true","true","true","15","true","PASS"
