RunID,CaseID,SNBits,ArrivalSNs,DeliveredSNs,DiscardedSNs,RX_Next_Reassembly,RX_Next_Highest,TimerState,MismatchCount,Status
"PROTOCOL-20260727-071456","RT0001","12","1","1","1","1","1","1","0","PASS"
"PROTOCOL-20260727-071456","RT0002","12","2","2","2","2","2","2","0","PASS"
"PROTOCOL-20260727-071456","RT0003","12","3","3","3","3","3","3","0","PASS"
"PROTOCOL-20260727-071456","RT0004","12","4","4","4","4","4","4","0","PASS"
"PROTOCOL-20260727-071456","RT0005","12","5","5","5","5","5","5","0","PASS"
"PROTOCOL-20260727-071456","RT0006","12","6","6","6","6","6","6","0","PASS"
"PROTOCOL-20260727-071456","RT0007","12","7","7","7","7","7","7","0","PASS"
"PROTOCOL-20260727-071456","RT0008","12","8","8","8","8","8","8","0","PASS"
"PROTOCOL-20260727-071456","RT0009","12","9","9","9","9","9","9","0","PASS"
"PROTOCOL-20260727-071456","RT0010","12","10","10","10","10","10","10","0","PASS"
"PROTOCOL-20260727-071456","RT0011","18","11","11","11","11","11","11","0","PASS"
"PROTOCOL-20260727-071456","RT0012","18","12","12","12","12","12","12","0","PASS"
"PROTOCOL-20260727-071456","RT0013","18","13","13","13","13","13","13","0","PASS"
"PROTOCOL-20260727-071456","RT0014","18","14","14","14","14","14","14","0","PASS"
"PROTOCOL-20260727-071456","RT0015","18","15","15","15","15","15","15","0","PASS"
"PROTOCOL-20260727-071456","RT0016","18","16","16","16","16","16","16","0","PASS"
"PROTOCOL-20260727-071456","RT0017","18","17","17","17","17","17","17","0","PASS"
"PROTOCOL-20260727-071456","RT0018","18","18","18","18","18","18","18","0","PASS"
"PROTOCOL-20260727-071456","RT0019","18","19","19","19","19","19","19","0","PASS"
"PROTOCOL-20260727-071456","RT0020","18","20","20","20","20","20","20","0","PASS"
