RunID,MessageID,MessageType,Channel,TransactionID,ASN1Release,EncodedBits,EncodedHex,DecodedTreeSHA256,IndependentVectorSHA256,MismatchCount,Status
"PROTOCOL-20260727-071456","1","RRCSetupRequest","UL-CCCH","0","38.331-v18.9.0","48","102468ACF128","782cc49520771ba620661e700565ccf0f24b9a6f23795cebe28e4963e38f8daa","e3e813b3bf564191dc82cfb367382e75ea0450406951a9ae0d720d85b51ee001","0","PASS"
"PROTOCOL-20260727-071456","2","RRCSetup","DL-CCCH","0","38.331-v18.9.0","40","2000080000","44b514bc98b0abb4765434120113c0f66501230459752931d03d50142797d300","8868fed2264c3be82523e7cbad0600796b952da497c198658dc45dfb3034fe07","0","PASS"
"PROTOCOL-20260727-071456","3","RRCSetup","DL-CCCH","1","38.331-v18.9.0","40","2800080000","acf7b5d0bce2befa29101e0015f79fe915ce4457185e56f638d95e198e3383b2","97654fcb46254daacfee811e5786010da5c258674e7cd256278b46370ba718df","0","PASS"
"PROTOCOL-20260727-071456","4","RRCSetup","DL-CCCH","2","38.331-v18.9.0","40","3000080000","f1368913a41f26f818cdd9f6b5539a0e555057633dea9e6b7419e771fbbd78cd","9679d57e2fd6848379172dbe9935a69a9298f98332ed09dba23ea6dde55bfde3","0","PASS"
"PROTOCOL-20260727-071456","5","RRCSetup","DL-CCCH","3","38.331-v18.9.0","40","3800080000","e11d97cb9b5d24460ad811425a95a126e83dcb05d17307822c66ac12f8d276b6","a9a0a9e3738f05cb85021273733bc91b2791817878c4c6c8c7da44789a00d335","0","PASS"
"PROTOCOL-20260727-071456","6","RRCSetupComplete","UL-DCCH","0","38.331-v18.9.0","40","1000004040","e002f26bdeabcac013b06314db1172817b96c7c7e3abfdfe7c23b5782088666e","940324364ab0fa5bd8579a47de12120c4f0b73758ce1907e11ce64a917402d31","0","PASS"
"PROTOCOL-20260727-071456","7","RRCSetupComplete","UL-DCCH","1","38.331-v18.9.0","40","1200004040","fb781dd43a1242ac93cfe9a5ad0d78218ab4a2b8293155788596aba0adad74d4","758ef634199706d04fc62f272b56be477226ba6e188f032e8ceaf20bbf13ddef","0","PASS"
"PROTOCOL-20260727-071456","8","RRCSetupComplete","UL-DCCH","2","38.331-v18.9.0","40","1400004040","ea6cc6e225075e828b1e9358e9694a0fbeed8d334f7a6e72ac434289f82e825f","2669106171c18916913f6e398b4bb4705dad1577561615b2a88ac92171b77823","0","PASS"
"PROTOCOL-20260727-071456","9","RRCSetupComplete","UL-DCCH","3","38.331-v18.9.0","40","1600004040","473a055f8d7708a5d8ef082033f0831f925dac0782990e4d52a44789ff1c2b73","eff07fccf3b93174c72e4ec69f3f9cef3670c70dab50704d84baab0cbea121f1","0","PASS"
"PROTOCOL-20260727-071456","10","SecurityModeCommand","DL-DCCH","0","38.331-v18.9.0","24","200910","a315ff1853cca6b3283489c2c0cf2a8383e0451cdd9c3a104a3a02f5bcd2c975","e35cc4c670e607274f97f32fc0e306a5382d94f4b829848bb07b533643269c10","0","PASS"
"PROTOCOL-20260727-071456","11","SecurityModeCommand","DL-DCCH","1","38.331-v18.9.0","24","220910","f10be8725ba58df2d8c956c3f2832f9c6045c43b5f7a9cd1c31976ff526475e7","608e1ae9aa642293eb50880f390d3c0f7cd1d84d99807ea6e10c44e0cfb506d9","0","PASS"
"PROTOCOL-20260727-071456","12","SecurityModeCommand","DL-DCCH","2","38.331-v18.9.0","24","240910","14fb555046b0f9f6e500c3a35101d5d03bf7c133f534764fb3203015655f9d8e","4c91ad68034788c8ae0ef6155930923d5b8bef23015f26166ef692e60c0aed67","0","PASS"
"PROTOCOL-20260727-071456","13","SecurityModeCommand","DL-DCCH","3","38.331-v18.9.0","24","260910","c1ee2f4f34e4d02978bb3c140002bbe8dbec6a38338faa574b6476e983d4c1fc","7a06322bd7e4b9761a81ccee07161fe27201571a4772117ce91f79b32985b5f5","0","PASS"
"PROTOCOL-20260727-071456","14","SecurityModeComplete","UL-DCCH","0","38.331-v18.9.0","16","2800","be5b5fdd3b5835ab585b6747ee3b27fcfc8ab61dcb9ac704d89ad87f3297febb","188aea19690cbd6f7ece36ed04fc8d6d89dfb693ab9961d2f734514454fddf89","0","PASS"
"PROTOCOL-20260727-071456","15","SecurityModeComplete","UL-DCCH","1","38.331-v18.9.0","16","2A00","567878e1fe2a5ca8263222f74a64ae9d137cd861c375380bde7581b348b51de7","30df5565c6da6b8ac025d398be9ee6760b192b58c1bfba4090068326cb6b6d83","0","PASS"
"PROTOCOL-20260727-071456","16","SecurityModeComplete","UL-DCCH","2","38.331-v18.9.0","16","2C00","489f0d94c9017e4f12ab66d7f2176f52100145b5bd62da1b219771d2cdeb81b2","b825995e11845b2719044fef70040ee50efa9240d375145b755da2206404e7fe","0","PASS"
"PROTOCOL-20260727-071456","17","SecurityModeComplete","UL-DCCH","3","38.331-v18.9.0","16","2E00","7dd689210193a6359d3fa81aabd5ee3bc6b8e26b3d2805b2ad1f73131cb709a1","97cedbf4377130e6e4afe9d9177927f2d64eb277d56052ab84981f3b97a6d7b9","0","PASS"
"PROTOCOL-20260727-071456","18","UECapabilityEnquiry","DL-DCCH","0","38.331-v18.9.0","24","300000","0cfb15701133254bc9ee087535fc7b13da788cd3848a6e6994472fce82995cb9","1ab9126deca54027e6950754b0a9b242ca674a2d96093c9a926904eafb22bce3","0","PASS"
"PROTOCOL-20260727-071456","19","UECapabilityEnquiry","DL-DCCH","1","38.331-v18.9.0","24","320000","48024827beffedcb659ed1ca3457355c0b79f0bb8016284ea947599800d498d6","b4921ab5e72a52dc2449fa787d9770c130249d47503a32fb5ca4e677db660d68","0","PASS"
"PROTOCOL-20260727-071456","20","UECapabilityEnquiry","DL-DCCH","2","38.331-v18.9.0","24","340000","b7a25d6cd2192401b1090d48eaaa844fa1512afbbc7b21c4f237558599618dc0","549020d1ef68dc453d1f12c109221dd9ba67f0e00e79f184c6d5a5bc531aeb34","0","PASS"
"PROTOCOL-20260727-071456","21","UECapabilityEnquiry","DL-DCCH","3","38.331-v18.9.0","24","360000","eb609fae985f5fad9817017ac793cd08d03c9ce1de4fab21ac5a01be71cf88bf","d4e28d5202836476a8dc5979f31eb7b4749b05db652f4026fe9b86c7d2c811bf","0","PASS"
"PROTOCOL-20260727-071456","22","UECapabilityInformation","UL-DCCH","0","38.331-v18.9.0","16","4800","e51bc547e7dfa473bc7a8f5b31b55c93f74f6c45becfc92d1ef0264a5f8fb23e","3fa72f4315b4970a0e5b6b1f774bf1f3253f4cdef5cf7cd725262f2be754aaad","0","PASS"
"PROTOCOL-20260727-071456","23","UECapabilityInformation","UL-DCCH","1","38.331-v18.9.0","16","4A00","3c59bc9dcfa8fb7a4ac7da794aae5874216d63241c84e11322ca5d6cc5e1b7ec","bc0cb1ed0b4717c5dfa7ca6b9c6f749b993c02c11346a850866ee773c838bbed","0","PASS"
"PROTOCOL-20260727-071456","24","UECapabilityInformation","UL-DCCH","2","38.331-v18.9.0","16","4C00","686d35b84d56dfe75407582fd1df2b9ccf45df22a4d616c5ff1053e6202285a8","442a734c6d03140f351a31fee0c251826f8f83a59c0504fff961ff96a027c3d8","0","PASS"
"PROTOCOL-20260727-071456","25","UECapabilityInformation","UL-DCCH","3","38.331-v18.9.0","16","4E00","d7263f4986219a5aca2544d057ee69e9ee5af4af8f8083bc043f5fabf0d5e935","365b264617d4dec31ed19476a3594381583829899f801bd0260b10a4e9168528","0","PASS"
"PROTOCOL-20260727-071456","26","RRCReconfiguration","DL-DCCH","0","38.331-v18.9.0","16","0000","839542e61693b551e215b4442f1e0c9625ba27451bb4bc94d9ddb8fa4a2fb62f","f28de5513cb26bd8685f2a2f5b18aa25c0f81dae19dad2e7f91071abf12a3770","0","PASS"
"PROTOCOL-20260727-071456","27","RRCReconfiguration","DL-DCCH","1","38.331-v18.9.0","16","0200","efb9c70dddda9b1aada12918830ff1b30cb569fe31bfea6cbd26781e1a62c680","30b2e5423c35aa05e2e19caa818632d5ff1575c352065edece3df2b60d8735a5","0","PASS"
"PROTOCOL-20260727-071456","28","RRCReconfiguration","DL-DCCH","2","38.331-v18.9.0","16","0400","7132ab5a3343b430000656910bee3c737a18aa00dde13915ebc6d94aea36859f","5824283026747607943e8e54435dd517e48c9469b15d23dedf694dc68330cd9c","0","PASS"
"PROTOCOL-20260727-071456","29","RRCReconfiguration","DL-DCCH","3","38.331-v18.9.0","16","0600","ccf8f2ef1ef66ffb84cc9d35a11bafa270459ad4160b57b8594b556f5448dd86","0899d300ae0214d3090874e7b80972c3a9dc7094f9f61001e1270f045a899e11","0","PASS"
"PROTOCOL-20260727-071456","30","RRCReconfigurationComplete","UL-DCCH","0","38.331-v18.9.0","16","0800","5854f4a8b76cb55b5e59cbf546df694323bd50d51c1d0f1b0ad9dc503bfea199","1ebd767fc6028a81236a754d7788b6e9ba2b5ce89746548bf65944f3fe77ad01","0","PASS"
"PROTOCOL-20260727-071456","31","RRCReconfigurationComplete","UL-DCCH","1","38.331-v18.9.0","16","0A00","c2824ae99b091ad2196f6e6f2389314be09471187d7de1e066c104bfa6e04de2","a71e095de5acc22946fb6bbb04f36235dd7c73fdadd4227e94123cd593f00e93","0","PASS"
"PROTOCOL-20260727-071456","32","RRCReconfigurationComplete","UL-DCCH","2","38.331-v18.9.0","16","0C00","82e273ab96f269b28665108019fe435e86b63bf5655d96cb7ac92202edb8789d","58a576f80c55896b8786471cdc637c81417724bbd4109ec679f37f2a4c4379d3","0","PASS"
