RunID,PDUSetID,SessionID,PacketCount,FirstArrival_ms,LastDelivery_ms,Deadline_ms,Complete,DeadlineMet,Status
"PROTOCOL-20260727-071456","PS03_000","SESS02","4","4.1675","16.67","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_001","SESS02","4","20.8375","33.34","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_002","SESS02","4","37.5075","50.01","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_003","SESS02","4","54.1775","66.68","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_004","SESS02","4","70.8475","83.35","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_005","SESS02","4","87.5175","100.02","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_006","SESS02","4","104.1875","116.69","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_007","SESS02","4","120.8575","133.36","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_008","SESS02","4","137.5275","150.03","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS03_009","SESS02","4","154.1975","166.7","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_000","SESS04","4","4.1675","16.67","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_001","SESS04","4","20.8375","33.34","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_002","SESS04","4","37.5075","50.01","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_003","SESS04","4","54.1775","66.68","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_004","SESS04","4","70.8475","83.35","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_005","SESS04","4","87.5175","100.02","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_006","SESS04","4","104.1875","116.69","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_007","SESS04","4","120.8575","133.36","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_008","SESS04","4","137.5275","150.03","20","true","true","PASS"
"PROTOCOL-20260727-071456","PS07_009","SESS04","4","154.1975","166.7","20","true","true","PASS"
