RunID,CaseID,ResourceSetID,ResourceListSize,PRIValue,FirstCCE,NumCCE,SelectedResourceOrdinal,ExpectedResourceOrdinal,MismatchCount,Status
PUCCH_PHASE05_R18,PRI-001,1,1,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-002,1,1,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-003,1,1,1,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-004,1,1,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-005,1,1,1,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-006,1,1,2,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-007,1,1,3,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-008,1,1,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-009,1,1,1,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-010,1,1,2,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-011,1,1,3,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-012,1,1,4,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-013,1,1,5,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-014,1,1,6,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-015,1,1,7,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-016,1,2,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-017,1,2,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-018,1,2,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-019,1,2,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-020,1,2,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-021,1,2,2,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-022,1,2,3,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-023,1,2,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-024,1,2,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-025,1,2,2,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-026,1,2,3,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-027,1,2,4,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-028,1,2,5,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-029,1,2,6,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-030,1,2,7,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-031,1,4,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-032,1,4,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-033,1,4,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-034,1,4,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-035,1,4,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-036,1,4,2,0,24,3,3,0,PASS
PUCCH_PHASE05_R18,PRI-037,1,4,3,0,24,4,4,0,PASS
PUCCH_PHASE05_R18,PRI-038,1,4,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-039,1,4,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-040,1,4,2,0,24,3,3,0,PASS
PUCCH_PHASE05_R18,PRI-041,1,4,3,0,24,4,4,0,PASS
PUCCH_PHASE05_R18,PRI-042,1,4,4,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-043,1,4,5,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-044,1,4,6,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-045,1,4,7,0,24,,,0,PASS
PUCCH_PHASE05_R18,PRI-046,1,8,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-047,1,8,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-048,1,8,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-049,1,8,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-050,1,8,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-051,1,8,2,0,24,3,3,0,PASS
PUCCH_PHASE05_R18,PRI-052,1,8,3,0,24,4,4,0,PASS
PUCCH_PHASE05_R18,PRI-053,1,8,0,0,24,1,1,0,PASS
PUCCH_PHASE05_R18,PRI-054,1,8,1,0,24,2,2,0,PASS
PUCCH_PHASE05_R18,PRI-055,1,8,2,0,24,3,3,0,PASS
PUCCH_PHASE05_R18,PRI-056,1,8,3,0,24,4,4,0,PASS
PUCCH_PHASE05_R18,PRI-057,1,8,4,0,24,5,5,0,PASS
PUCCH_PHASE05_R18,PRI-058,1,8,5,0,24,6,6,0,PASS
PUCCH_PHASE05_R18,PRI-059,1,8,6,0,24,7,7,0,PASS
PUCCH_PHASE05_R18,PRI-060,1,8,7,0,24,8,8,0,PASS
PUCCH_PHASE05_R18,PRI-061,0,16,0,0,24,1,SPEC_FORMULA,0,PASS
PUCCH_PHASE05_R18,PRI-062,0,16,1,6,24,6,SPEC_FORMULA,0,PASS
PUCCH_PHASE05_R18,PRI-063,0,24,3,12,48,10,SPEC_FORMULA,0,PASS
PUCCH_PHASE05_R18,PRI-064,0,32,7,31,48,28,SPEC_FORMULA,0,PASS
