RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0001,2,0,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0002,3,0,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0003,4,3,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0004,1,3,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0005,2,6,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0006,3,6,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0007,4,9,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0008,1,9,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0009,2,12,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0010,3,12,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0011,4,15,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0012,1,15,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0013,2,18,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0014,3,18,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0015,4,21,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0016,1,21,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0017,2,24,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0018,3,24,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0019,4,0,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0020,1,0,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0021,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0022,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0023,4,6,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0024,1,6,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0025,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0026,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0027,4,12,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0028,1,12,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0029,2,15,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0030,3,15,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0031,4,18,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0032,1,18,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0033,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0034,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0035,4,24,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0036,1,24,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0037,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0038,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0039,4,3,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0040,1,3,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0041,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0042,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0043,4,9,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0044,1,9,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0045,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0046,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0047,4,15,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0048,1,15,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0049,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0050,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0051,4,21,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0052,1,21,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0053,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0054,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0055,4,0,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0056,1,0,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0057,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0058,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0059,4,6,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0060,1,6,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0061,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0062,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0063,4,12,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0064,1,12,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0065,2,15,false,false,false,2,false,PASS
