CaseID,Rank,NumCodewords,Codeword,Layer,SourceSymbolCount,MappedSymbolCount,MismatchCount,Status
LAYER-01,1,1,0,0,4,4,0,PASS
LAYER-02,2,1,0,0,8,4,0,PASS
LAYER-02,2,1,0,1,8,4,0,PASS
LAYER-03,3,1,0,0,12,4,0,PASS
LAYER-03,3,1,0,1,12,4,0,PASS
LAYER-03,3,1,0,2,12,4,0,PASS
LAYER-04,4,1,0,0,16,4,0,PASS
LAYER-04,4,1,0,1,16,4,0,PASS
LAYER-04,4,1,0,2,16,4,0,PASS
LAYER-04,4,1,0,3,16,4,0,PASS
LAYER-05,5,2,0,0,8,4,0,PASS
LAYER-05,5,2,0,1,8,4,0,PASS
LAYER-05,5,2,1,2,15,5,0,PASS
LAYER-05,5,2,1,3,15,5,0,PASS
LAYER-05,5,2,1,4,15,5,0,PASS
LAYER-06,6,2,0,0,12,4,0,PASS
LAYER-06,6,2,0,1,12,4,0,PASS
LAYER-06,6,2,0,2,12,4,0,PASS
LAYER-06,6,2,1,3,15,5,0,PASS
LAYER-06,6,2,1,4,15,5,0,PASS
LAYER-06,6,2,1,5,15,5,0,PASS
LAYER-07,7,2,0,0,12,4,0,PASS
LAYER-07,7,2,0,1,12,4,0,PASS
LAYER-07,7,2,0,2,12,4,0,PASS
LAYER-07,7,2,1,3,20,5,0,PASS
LAYER-07,7,2,1,4,20,5,0,PASS
LAYER-07,7,2,1,5,20,5,0,PASS
LAYER-07,7,2,1,6,20,5,0,PASS
LAYER-08,8,2,0,0,16,4,0,PASS
LAYER-08,8,2,0,1,16,4,0,PASS
LAYER-08,8,2,0,2,16,4,0,PASS
LAYER-08,8,2,0,3,16,4,0,PASS
LAYER-08,8,2,1,4,20,5,0,PASS
LAYER-08,8,2,1,5,20,5,0,PASS
LAYER-08,8,2,1,6,20,5,0,PASS
LAYER-08,8,2,1,7,20,5,0,PASS
