RunID,FamilyID,ResponseMetric,ModelTerm,Estimate,StdError,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,ModelFamily,SampleCount,Status
pusch_impact_20260726T140352Z,F01,BLER,main_1,8.1941e-17,2.1576e-16,-3.4094e-16,5.0482e-16,1,1,8.1941e-17,executed_component_linear_main_effect,7,PASS
pusch_impact_20260726T140352Z,F02,BLER,main_1,0.33333,1.6248e-16,0.33333,0.33333,0.18888,0.18888,0.33333,executed_component_linear_main_effect,6,PASS
pusch_impact_20260726T140352Z,F03,BLER,main_1,8.1941e-17,2.1576e-16,-3.4094e-16,5.0482e-16,1,1,8.1941e-17,executed_component_linear_main_effect,7,PASS
pusch_impact_20260726T140352Z,F04,BLER,main_1,8.7681e-17,7.0217e-17,-4.9943e-17,2.2531e-16,1,1,8.7681e-17,executed_component_linear_main_effect,8,PASS
pusch_impact_20260726T140352Z,F05,BLER,main_1,,0,,,1,1,,executed_component_linear_main_effect,4,PASS
pusch_impact_20260726T140352Z,F06,BLER,main_1,3.0741e-17,6.727e-18,1.7556e-17,4.3926e-17,1,1,3.0741e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F07,BLER,main_1,0.090909,4.4719e-17,0.090909,0.090909,0.63474,0.63474,0.090909,executed_component_linear_main_effect,18,PASS
pusch_impact_20260726T140352Z,F08,BLER,main_1,1.3323e-17,1.0392e-16,-1.9036e-16,2.17e-16,1,1,1.3323e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F09,BLER,main_1,-1.4974e-17,1.655e-17,-4.7413e-17,1.7464e-17,1,1,-1.4974e-17,executed_component_linear_main_effect,9,PASS
pusch_impact_20260726T140352Z,F10,BLER,main_1,-3.0318e-17,1.063e-16,-2.3866e-16,1.7802e-16,1,1,-3.0318e-17,executed_component_linear_main_effect,12,PASS
pusch_impact_20260726T140352Z,F11,BLER,main_1,4.566e-17,6.2804e-17,-7.7435e-17,1.6876e-16,1,1,4.566e-17,executed_component_linear_main_effect,10,PASS
pusch_impact_20260726T140352Z,F12,BLER,main_1,-1.1513e-16,8.7093e-17,-2.8584e-16,5.5568e-17,1,1,-1.1513e-16,executed_component_linear_main_effect,17,PASS
