RunID,ExperimentID,OperatingPointID,PowerControlMode,Pathloss_dB,EstimatedPathloss_dB,P0Nominal_dBm,Alpha,TPCState_dB,RequestedPower_dBm,PCMAX_dBm,AppliedPower_dBm,MeasuredWaveformPower_dBm,PowerError_dB,ReceivedPower_dBm,Clipped,BLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F01-E001,P00,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E002,P01,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E003,P02,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E004,P03,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E005,P04,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E006,P05,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F01-E007,P06,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E001,B0.5,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E002,B0.75,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E003,B1.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E004,B1.25,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E005,B1.5,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F02-E006,B2.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E001,C0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E002,C3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E003,C11,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E004,C20,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E005,C40,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E006,C80,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F03-E007,C160,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E001,S-6_DATA,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E002,S-6_UCI_ONLY,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E003,S-2_DATA,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E004,S-2_UCI_ONLY,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E005,S2_DATA,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F04-E006,S2_UCI_ONLY,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
