Artifact,Type,Status,Reason,Rows,Columns,Width,Height,Mode,Bytes,SHA256
pusch_assignment_resolution.csv,CSV,PASS,,26,48,,,,,4dc84b88fd18fdc420812d38abee18545761f62cae7e3a70e04bdf747c0c5037
pusch_resource_ownership.csv,CSV,PASS,,1944,14,,,,,929c65686d807ab40f6891d6f7cb973918b3a9cce7074e88f1aa90062e6778c3
pusch_re_mapping.csv,CSV,PASS,,1944,11,,,,,9fff1a5ab8cdfd9f209351287a9247dc17898df839ba18ecc8061f211d2c9ca3
pusch_dmrs_matrix.csv,CSV,PASS,,1,22,,,,,96bd8c146d317c9f22e91d6808c17ab681090754d6ee532f011a4d1b06b158f5
pusch_ptrs_matrix.csv,CSV,PASS,,1,19,,,,,cee69edc26472add999709c44a848807b0bd9dd25fd2b5f160cac9c48ba32c6b
pusch_uci_multiplexing.csv,CSV,PASS,,1,31,,,,,9c4febe8ea87222a9449c60880cc5998e68ad7ef4f2696d546cf743afc4b36ec
pusch_coding_chain.csv,CSV,PASS,,1,21,,,,,50e87af857e33411441394d54a134ac71314005acd937143ed02836aecb9dbd2
pusch_independent_vector_results.csv,CSV,PASS,,18,13,,,,,6a6193648300b314b99756164649476dc5c395db3e6e328498a5fda98b959bd1
pusch_codeword_layer_map.csv,CSV,PASS,,36,9,,,,,644d86c52b73c96445baf8cea410475e700e9a3c0db406d1d6b951397189ca69
pusch_transform_precoding.csv,CSV,PASS,,9,15,,,,,ae1d4db279168cd53900e48b476cfedcc748ad5d589dd0020365315a6286b708
pusch_frequency_hopping.csv,CSV,PASS,,39,15,,,,,ee941772364191790524c159bc1d732f59c47f8252ccab1c4642c845f108e3e5
pusch_srs_precoder_selection.csv,CSV,PASS,,12,29,,,,,f903e49f6c67d88bd46e88fdb86893883b2bc25f1535972dec0ffb974af6e986
pusch_precoding_application.csv,CSV,PASS,,8,14,,,,,b1bddc5a2a76bfe4550f2001aa9d4531127182cfa20a4c5359644ae411788d41
pusch_power_control.csv,CSV,PASS,,24,27,,,,,840a14679bb9af81ec0c51d538c21b6ad5116850a8b9956b6d872a48ddd795e0
pusch_harq_trials.csv,CSV,PASS,,2,16,,,,,7a2f861ead2137ffb542fcddbe45e77cbfce3fa0220bbf217494e8800e4f1780
pusch_receiver_metrics.csv,CSV,PASS,,16,22,,,,,e20830ec5c7b56ebb5903f921a83b43f4dc30934a8c17dd21a5a6622fd41a855
pusch_bler_curve.csv,CSV,PASS,,4,20,,,,,1a5a3c865c9693caa6f55c80d6be3cb8148a602c2522d2f7ae5851734f2ec189
pusch_negative_tests.csv,CSV,PASS,,35,8,,,,,5481b3f8574d3517eee670afb8439599476e1b3c389ad8213c2cc50f431c7a1b
pusch_test_summary.csv,CSV,PASS,,2,8,,,,,fd7bd6f714ac815727735bc5c7a9ebb774bf8a89947494f4e828609df98f2436
pusch_image_semantic_audit.csv,CSV,PASS,,11,16,,,,,92d7b76c7f80ac90b7184bda8ffc4dcf9f20b666cdf17e58904efa25191f08d6
pusch_resource_grid_ownership.png,PNG,PASS,,,,998,714,RGB,26720,83db2cc3f27fb660a4231423d3ee60fd2a5470940b80120f4d680b1116d26a89
pusch_dmrs_ptrs_hop_map.png,PNG,PASS,,,,1010,714,RGB,39250,dbe10c9fd7d9c589a27891857e2caf6a2f2d7514e5f8de1adfd4e3edc361f56f
pusch_uci_bit_allocation.png,PNG,PASS,,,,1024,717,RGB,18633,9ffef1fc7c27068c9195d5c51837c044b80ddfff9252a07f18b70feb0c60aa58
pusch_codeword_layer_mapping.png,PNG,PASS,,,,987,717,RGB,19946,baa6235bf1a0bff3a78e19283f40db3ec73f1e4d9df71dd0aa1c581b79d9dfc8
pusch_transform_precoding_spectrum.png,PNG,PASS,,,,1000,714,RGB,23098,f10d32e04805819be45832314eec4d8c15733fa3ea8c866d6e00af6ff2754e5c
pusch_papr_ccdf.png,PNG,PASS,,,,991,717,RGB,23696,a5d6e798297ece2916473bfc69b3ddbe3aa16238491285ed8b68dcab10cf88cf
pusch_frequency_hop_timeline.png,PNG,PASS,,,,995,717,RGB,47978,de91bbcc8aabc4384c021a2a2ee3543e17994cc05e5849e88b95f6ab1535b453
pusch_srs_tpmi_selection.png,PNG,PASS,,,,986,714,RGB,34815,3f8ff8ae5d3c408a14b6e4929f055f24d180091bad7800a54271d14feaede947
pusch_power_control_convergence.png,PNG,PASS,,,,992,714,RGB,56514,4adf0cf05932e7c037ea48829246a400213627e0ab731ffe148bd0e01c9f1db8
pusch_bler_vs_snr.png,PNG,PASS,,,,988,717,RGB,22643,58a5490c18cd8edf75a92ae4f01335499dd863e3e9bf4fa11da769a9acd86820
pusch_per_layer_sinr.png,PNG,PASS,,,,992,717,RGB,28475,c3459c0b59fa114adbf812f52e86f9eafb16f6e48b8c5978637b7558920ccecb
pusch_resource_grid_ownership.png,SEMANTIC,PASS,,,,,,,,
pusch_dmrs_ptrs_hop_map.png,SEMANTIC,PASS,,,,,,,,
pusch_uci_bit_allocation.png,SEMANTIC,PASS,,,,,,,,
pusch_codeword_layer_mapping.png,SEMANTIC,PASS,,,,,,,,
pusch_transform_precoding_spectrum.png,SEMANTIC,PASS,,,,,,,,
pusch_papr_ccdf.png,SEMANTIC,PASS,,,,,,,,
pusch_frequency_hop_timeline.png,SEMANTIC,PASS,,,,,,,,
pusch_srs_tpmi_selection.png,SEMANTIC,PASS,,,,,,,,
pusch_power_control_convergence.png,SEMANTIC,PASS,,,,,,,,
