VectorFamily,CaseID,ComparedField,OracleImplementation,OracleVersion,OracleArtifactSHA256,ExpectedDigest,ActualDigest,MismatchCount,MaxAbsError,Tolerance,IndependenceClass,Status
scrambling,FROZEN-FLOOR-01,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,3bba3539cb702f785d1aa98b938f4d97bb4f61a32a7fa63941e0825530ebe7a5,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
modulation,FROZEN-FLOOR-02,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,a43f6d9cfda4d204a94ee34e0b535dff6066a914e2629a735c322b7ea7acccb4,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
layer_mapping,FROZEN-FLOOR-03,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,3c4a986e85ffb0f404bb5f2f4e3aa64bd222b3ab9d16f391cae45cd8303d6494,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
tbs_basegraph,FROZEN-FLOOR-04,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,eb741e76a2092279947bb1b60e3469921c6eb844ee62cf029a6bfa0f5f244818,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
tb_crc,FROZEN-FLOOR-05,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,164df53458a7f37853943a032d3d59682be5aaf2db62f6e15e1e18d30ee265a8,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
ldpc_segmentation,FROZEN-FLOOR-06,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,eb741e76a2092279947bb1b60e3469921c6eb844ee62cf029a6bfa0f5f244818,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
ldpc_encoding,FROZEN-FLOOR-07,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,eb741e76a2092279947bb1b60e3469921c6eb844ee62cf029a6bfa0f5f244818,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
rate_matching,FROZEN-FLOOR-08,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,eb741e76a2092279947bb1b60e3469921c6eb844ee62cf029a6bfa0f5f244818,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
uci_coding_multiplexing,FROZEN-FLOOR-09,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,c66fdcdf5c682b3a3f313f53d5c018d7ca53176b4e80c727840fc483818c9b2f,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
dmrs_positions_ports_sequence,FROZEN-FLOOR-10,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,90520c8a5df9082b448e735a26caf9f1d565ed0a43e19e26fed2ba06b888ed9a,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
ptrs_indices_sequence,FROZEN-FLOOR-11,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,0663c9d7aedc983ff0e2a6128f455128c8c05da0f8a05df37fa9de0145f7c5d2,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
transform_precoding,FROZEN-FLOOR-12,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,8864220c17d0fbafda8bbacd106d8783db9431d54514f09d79c13e748d9d9445,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
frequency_hopping,FROZEN-FLOOR-13,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,8d31dbc669154059d255cefb7d690e580e3ae362c245827afdd41fe460c03207,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
pusch_codebook,FROZEN-FLOOR-14,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,0d37ddbc6f32e6e37a6d0109410427a7abe7869a976d45d63a578263b3e198a6,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
srs_precoder_selection,FROZEN-FLOOR-15,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,384b095020426ee929dc8fbba62290a9a618fb31c5c81ea54fff1808c25e56a8,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
power_control,FROZEN-FLOOR-16,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,c51b63ceb58e4bd58e581f92a6cb28232e0288045e17d759b9e0220cb7cd267d,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
harq_combining,FROZEN-FLOOR-17,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,a0b50f4f2cca36605dc9ca27502d36e1a3f57e44ca75bc7c75ea80f192525abb,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
receiver_chain,FROZEN-FLOOR-18,bounded_spec_floor_and_production_invariants,generate_pusch_independent_vectors.py,PUSCHIndependentVectorManifest/v1,164df53458a7f37853943a032d3d59682be5aaf2db62f6e15e1e18d30ee265a8,PASS,PASS,0,0,0,frozen_independent_python_spec_floor,PASS
