CaseID,UEID,AbsoluteSlot,LoopId,AdjustmentMode,Mu,MRB,P0Nominal_dBm,P0UE_dB,Alpha,PathlossReferenceRS,MeasuredPathloss_dB,DeltaTF_dB,PreviousF_dB,TPCCommandBits,TPCDelta_dB,UpdatedF_dB,RequestedPower_dBm,PCMAX_dBm,AppliedPower_dBm,PowerHeadroom_dB,ReferenceWaveformPower_dBm,AppliedAmplitudeScale,MeasuredWaveformPower_dBm,PowerError_dB,Clipped,Status
PWR-001,UE1,0,0,accumulated,0,1,-90,0,1,SRS-RS-1,80,0,0,01,0,0,-10,23,-10,33,0,0.31622776601683794,-10.000000000000004,3.5527136788005009e-15,0,PASS
PWR-002,UE1,1,0,accumulated,1,12,-96,2,0.80000000000000004,SRS-RS-1,100,1.5,0,10,1,1,2.3021124171160636,23,2.3021124171160636,20.697887582883936,0,1.303483748468669,2.3021124171160565,7.1054273576010019e-15,0,PASS
PWR-003,UE1,2,0,accumulated,2,24,-100,3,0.69999999999999996,SRS-RS-1,110,3,1,00,-1,0,2.8227123303956887,23,2.8227123303956887,20.177287669604311,0,1.3839984907398297,2.8227123303956909,2.2204460492503131e-15,0,PASS
PWR-004,UE1,3,0,accumulated,3,50,-104,0,1,SRS-RS-1,120,5,0,11,3,3,50.020599913279625,23,23,-27.020599913279625,0,14.12537544622754,22.999999999999993,7.1054273576010019e-15,1,PASS
PWR-005,UE1,4,0,accumulated,4,100,-110,4,0.5,SRS-RS-1,130,-2,2,00,-2,0,-10.95880017344075,23,-10.95880017344075,33.95880017344075,0,0.28317831375365521,-10.958800173440753,3.5527136788005009e-15,0,PASS
PWR-006,UE1,5,0,absolute,0,10,-80,0,1,SRS-RS-1,100,0,0,11,4,4,34,18,18,-16,-10,25.118864315095795,18,7.1054273576010019e-15,1,PASS
PWR-007,UE1,6,0,absolute,1,20,-90,1,0.59999999999999998,SRS-RS-1,90,1,3,00,-1,-1,-18.979400086720375,20,-18.979400086720375,38.979400086720375,-5,0.20000000000000001,-18.979400086720371,8.8817841970012523e-15,0,PASS
PWR-008,UE1,7,0,absolute,2,40,-95,0,0.80000000000000004,SRS-RS-1,110,2,-2,01,0,0,17.04119982655925,23,17.04119982655925,5.9588001734407499,0,7.1131176401556928,17.041199826559247,3.5527136788005009e-15,0,PASS
PWR-009,UE1,8,1,accumulated,0,1,-90,0,1,SRS-RS-1,80,0,1,01,0,1,-9,23,-9,32,0,0.35481338923357542,-9.0000000000000071,7.1054273576010019e-15,0,PASS
PWR-010,UE1,9,1,accumulated,1,12,-96,2,0.80000000000000004,SRS-RS-1,100,1.5,1,10,1,2,3.3021124171160636,23,3.3021124171160636,19.697887582883936,0,1.4625328206645452,3.302112417116065,2.2204460492503131e-15,0,PASS
PWR-011,UE1,10,1,accumulated,2,24,-100,3,0.69999999999999996,SRS-RS-1,110,3,2,00,-1,1,3.8227123303956887,23,3.8227123303956887,19.177287669604311,0,1.552871847336154,3.8227123303956874,1.3322676295501878e-15,0,PASS
PWR-012,UE1,11,1,accumulated,3,50,-104,0,1,SRS-RS-1,120,5,1,11,3,4,51.020599913279625,23,23,-28.020599913279625,0,14.12537544622754,22.999999999999993,7.1054273576010019e-15,1,PASS
PWR-013,UE1,12,1,accumulated,4,100,-110,4,0.5,SRS-RS-1,130,-2,3,00,-2,1,-9.9588001734407499,23,-9.9588001734407499,32.95880017344075,0,0.31773129388971272,-9.9588001734407534,3.5527136788005009e-15,0,PASS
PWR-014,UE1,13,1,absolute,0,10,-80,0,1,SRS-RS-1,100,0,1,11,4,4,34,18,18,-16,-10,25.118864315095795,18,7.1054273576010019e-15,1,PASS
PWR-015,UE1,14,1,absolute,1,20,-90,1,0.59999999999999998,SRS-RS-1,90,1,4,00,-1,-1,-18.979400086720375,20,-18.979400086720375,38.979400086720375,-5,0.20000000000000001,-18.979400086720371,8.8817841970012523e-15,0,PASS
PWR-016,UE1,15,1,absolute,2,40,-95,0,0.80000000000000004,SRS-RS-1,110,2,-1,01,0,0,17.04119982655925,23,17.04119982655925,5.9588001734407499,0,7.1131176401556928,17.041199826559247,3.5527136788005009e-15,0,PASS
PWR-017,UE1,16,0,accumulated,0,1,-90,0,1,SRS-RS-1,80,0,2,01,0,2,-8,23,-8,31,0,0.3981071705534972,-7.9999999999999964,3.5527136788005009e-15,0,PASS
PWR-018,UE1,17,0,accumulated,1,12,-96,2,0.80000000000000004,SRS-RS-1,100,1.5,2,10,1,3,4.3021124171160636,23,4.3021124171160636,18.697887582883936,0,1.6409888148079237,4.3021124171160574,6.2172489379008766e-15,0,PASS
PWR-019,UE1,18,0,accumulated,2,24,-100,3,0.69999999999999996,SRS-RS-1,110,3,3,00,-1,2,4.8227123303956887,23,4.8227123303956887,18.177287669604311,0,1.7423508698771459,4.822712330395694,6.2172489379008766e-15,0,PASS
PWR-020,UE1,19,0,accumulated,3,50,-104,0,1,SRS-RS-1,120,5,2,11,3,5,52.020599913279625,23,23,-29.020599913279625,0,14.12537544622754,22.999999999999993,7.1054273576010019e-15,1,PASS
PWR-021,UE1,20,0,accumulated,4,100,-110,4,0.5,SRS-RS-1,130,-2,4,00,-2,2,-8.9588001734407499,23,-8.9588001734407499,31.95880017344075,0,0.35650037525349831,-8.9588001734407445,5.3290705182007514e-15,0,PASS
PWR-022,UE1,21,0,absolute,0,10,-80,0,1,SRS-RS-1,100,0,2,11,4,4,34,18,18,-16,-10,25.118864315095795,18,7.1054273576010019e-15,1,PASS
PWR-023,UE1,22,0,absolute,1,20,-90,1,0.59999999999999998,SRS-RS-1,90,1,5,00,-1,-1,-18.979400086720375,20,-18.979400086720375,38.979400086720375,-5,0.20000000000000001,-18.979400086720371,8.8817841970012523e-15,0,PASS
PWR-024,UE1,23,0,absolute,2,40,-95,0,0.80000000000000004,SRS-RS-1,110,2,0,01,0,0,17.04119982655925,23,17.04119982655925,5.9588001734407499,0,7.1131176401556928,17.041199826559247,3.5527136788005009e-15,0,PASS
