CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,0,0,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,1,1,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,2,2,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,3,3,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,4,4,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,5,5,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,6,6,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,7,7,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,8,8,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,9,9,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,10,10,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,0,11,11,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,1,13,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,2,14,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,3,15,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,4,16,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,5,17,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,6,18,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,7,19,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,8,20,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,9,21,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,10,22,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,0,11,23,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,0,24,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,1,25,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,2,26,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,3,27,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,4,28,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,5,29,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,6,30,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,7,31,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,8,32,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,9,33,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,10,34,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,0,11,35,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,1,37,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,2,38,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,3,39,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,4,40,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,5,41,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,3,0,6,42,PASS
