ComparisonID,FixedNoiseVariance,GeometryNoiseVariance,Error_dB,FixedRxPower_dBm,GeometryRxPower_dBm,PowerError_dB,Status
DL_AWGN_-5_11,0.0123526471100327,0.0123526471100327,0,-31.30511180069,-31.30511180069,0,PASS
DL_AWGN_-5_23,0.0123526471100327,0.0123526471100327,0,-31.2872133593578,-31.2872133593578,0,PASS
DL_AWGN_-5_47,0.0123526471100327,0.0123526471100327,0,-31.3491313078077,-31.3491313078077,0,PASS
DL_AWGN_-5_89,0.0123526471100327,0.0123526471100327,0,-31.2762776532873,-31.2762776532873,0,PASS
DL_AWGN_0_11,0.00390625,0.00390625,0,-31.30511180069,-31.30511180069,0,PASS
DL_AWGN_0_23,0.00390625,0.00390625,0,-31.2872133593578,-31.2872133593578,0,PASS
DL_AWGN_0_47,0.00390625,0.00390625,0,-31.3491313078077,-31.3491313078077,0,PASS
DL_AWGN_0_89,0.00390625,0.00390625,0,-31.2762776532873,-31.2762776532873,0,PASS
DL_AWGN_5_11,0.00123526471100327,0.00123526471100327,0,-31.30511180069,-31.30511180069,0,PASS
DL_AWGN_5_23,0.00123526471100327,0.00123526471100327,0,-31.2872133593578,-31.2872133593578,0,PASS
DL_AWGN_5_47,0.00123526471100327,0.00123526471100327,0,-31.3491313078077,-31.3491313078077,0,PASS
DL_AWGN_5_89,0.00123526471100327,0.00123526471100327,0,-31.2762776532873,-31.2762776532873,0,PASS
DL_AWGN_10_11,0.000390625,0.000390625,0,-31.30511180069,-31.30511180069,0,PASS
DL_AWGN_10_23,0.000390625,0.000390625,0,-31.2872133593578,-31.2872133593578,0,PASS
DL_AWGN_10_47,0.000390625,0.000390625,0,-31.3491313078077,-31.3491313078077,0,PASS
DL_AWGN_10_89,0.000390625,0.000390625,0,-31.2762776532873,-31.2762776532873,0,PASS
DL_TDL-C_-5_11,0.0123526471100327,0.0123526471100327,0,-30.8497266557543,-30.8497266557543,0,PASS
DL_TDL-C_-5_23,0.0123526471100327,0.0123526471100327,0,-30.8344985091377,-30.8344985091377,0,PASS
DL_TDL-C_-5_47,0.0123526471100327,0.0123526471100327,0,-30.8979244792611,-30.8979244792611,0,PASS
DL_TDL-C_-5_89,0.0123526471100327,0.0123526471100327,0,-30.8307642337459,-30.8307642337459,0,PASS
DL_TDL-C_0_11,0.00390625,0.00390625,0,-30.8497266557543,-30.8497266557543,0,PASS
DL_TDL-C_0_23,0.00390625,0.00390625,0,-30.8344985091377,-30.8344985091377,0,PASS
DL_TDL-C_0_47,0.00390625,0.00390625,0,-30.8979244792611,-30.8979244792611,0,PASS
DL_TDL-C_0_89,0.00390625,0.00390625,0,-30.8307642337459,-30.8307642337459,0,PASS
DL_TDL-C_5_11,0.00123526471100327,0.00123526471100327,0,-30.8497266557543,-30.8497266557543,0,PASS
DL_TDL-C_5_23,0.00123526471100327,0.00123526471100327,0,-30.8344985091377,-30.8344985091377,0,PASS
DL_TDL-C_5_47,0.00123526471100327,0.00123526471100327,0,-30.8979244792611,-30.8979244792611,0,PASS
DL_TDL-C_5_89,0.00123526471100327,0.00123526471100327,0,-30.8307642337459,-30.8307642337459,0,PASS
DL_TDL-C_10_11,0.000390625,0.000390625,0,-30.8497266557543,-30.8497266557543,0,PASS
DL_TDL-C_10_23,0.000390625,0.000390625,0,-30.8344985091377,-30.8344985091377,0,PASS
DL_TDL-C_10_47,0.000390625,0.000390625,0,-30.8979244792611,-30.8979244792611,0,PASS
DL_TDL-C_10_89,0.000390625,0.000390625,0,-30.8307642337459,-30.8307642337459,0,PASS
UL_AWGN_-5_11,0.0123526471100327,0.0123526471100327,0,-31.2897022883026,-31.2897022883026,0,PASS
UL_AWGN_-5_23,0.0123526471100327,0.0123526471100327,0,-31.230768315991,-31.230768315991,0,PASS
UL_AWGN_-5_47,0.0123526471100327,0.0123526471100327,0,-31.2763784656387,-31.2763784656387,0,PASS
UL_AWGN_-5_89,0.0123526471100327,0.0123526471100327,0,-31.2653248556343,-31.2653248556343,0,PASS
UL_AWGN_0_11,0.00390625,0.00390625,0,-31.2897022883026,-31.2897022883026,0,PASS
UL_AWGN_0_23,0.00390625,0.00390625,0,-31.230768315991,-31.230768315991,0,PASS
UL_AWGN_0_47,0.00390625,0.00390625,0,-31.2763784656387,-31.2763784656387,0,PASS
UL_AWGN_0_89,0.00390625,0.00390625,0,-31.2653248556343,-31.2653248556343,0,PASS
UL_AWGN_5_11,0.00123526471100327,0.00123526471100327,0,-31.2897022883026,-31.2897022883026,0,PASS
UL_AWGN_5_23,0.00123526471100327,0.00123526471100327,0,-31.230768315991,-31.230768315991,0,PASS
UL_AWGN_5_47,0.00123526471100327,0.00123526471100327,0,-31.2763784656387,-31.2763784656387,0,PASS
UL_AWGN_5_89,0.00123526471100327,0.00123526471100327,0,-31.2653248556343,-31.2653248556343,0,PASS
UL_AWGN_10_11,0.000390625,0.000390625,0,-31.2897022883026,-31.2897022883026,0,PASS
UL_AWGN_10_23,0.000390625,0.000390625,0,-31.230768315991,-31.230768315991,0,PASS
UL_AWGN_10_47,0.000390625,0.000390625,0,-31.2763784656387,-31.2763784656387,0,PASS
UL_AWGN_10_89,0.000390625,0.000390625,0,-31.2653248556343,-31.2653248556343,0,PASS
UL_TDL-C_-5_11,0.0123526471100327,0.0123526471100327,0,-30.8432688533753,-30.8432688533753,0,PASS
UL_TDL-C_-5_23,0.0123526471100327,0.0123526471100327,0,-30.7837345067304,-30.7837345067304,0,PASS
UL_TDL-C_-5_47,0.0123526471100327,0.0123526471100327,0,-30.8221768252844,-30.8221768252844,0,PASS
UL_TDL-C_-5_89,0.0123526471100327,0.0123526471100327,0,-30.8024515633936,-30.8024515633936,0,PASS
UL_TDL-C_0_11,0.00390625,0.00390625,0,-30.8432688533753,-30.8432688533753,0,PASS
UL_TDL-C_0_23,0.00390625,0.00390625,0,-30.7837345067304,-30.7837345067304,0,PASS
UL_TDL-C_0_47,0.00390625,0.00390625,0,-30.8221768252844,-30.8221768252844,0,PASS
UL_TDL-C_0_89,0.00390625,0.00390625,0,-30.8024515633936,-30.8024515633936,0,PASS
UL_TDL-C_5_11,0.00123526471100327,0.00123526471100327,0,-30.8432688533753,-30.8432688533753,0,PASS
UL_TDL-C_5_23,0.00123526471100327,0.00123526471100327,0,-30.7837345067304,-30.7837345067304,0,PASS
UL_TDL-C_5_47,0.00123526471100327,0.00123526471100327,0,-30.8221768252844,-30.8221768252844,0,PASS
UL_TDL-C_5_89,0.00123526471100327,0.00123526471100327,0,-30.8024515633936,-30.8024515633936,0,PASS
UL_TDL-C_10_11,0.000390625,0.000390625,0,-30.8432688533753,-30.8432688533753,0,PASS
UL_TDL-C_10_23,0.000390625,0.000390625,0,-30.7837345067304,-30.7837345067304,0,PASS
UL_TDL-C_10_47,0.000390625,0.000390625,0,-30.8221768252844,-30.8221768252844,0,PASS
UL_TDL-C_10_89,0.000390625,0.000390625,0,-30.8024515633936,-30.8024515633936,0,PASS
