CaseID,ChannelModel,ConcreteProfile,Rank,Modulation,NumerologyKHz,MappingType,DMRSConfigurationType,DMRSLength,DMRSAdditionalPosition,DMRSMultiplexing,DMRSPortSet,PTRSEnabled,ReservationApplied,ReservationSource,ReservedRECount,BaselineG,ReservedG,ReservationReducedG,RV,PRBSet,PrecodingMode,PrecodingPageCount,SNRdB,Trials,TBErrors,BLER,MeasuredSINRdB,ChannelEstimateSource,PostEqSINRSource,ChannelEstimateScope,ExecutionBackend,Status
TRUTH-PAIR-001-pairwise,TDL-A,TDL-A,1,256QAM,30,A,1,1,0,basic,0,1,1,CORESET|NZPCSIRS|RateMatchPattern,7,3792,3736,1,1,0|2|3,prg_noncodebook,2,65,1,1,1,50.8667104453912,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-003-pairwise,CDL-C,CDL-C,7,QPSK,120,B,2,1,2,enhanced,0|1|2|3|4|5|12,1,1,RateMatchPattern,3,4928,4886,1,3,0|2|3,prg_codebook,2,65,1,0,0,11.7870742791491,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-004-pairwise,CDL-C,CDL-C,6,256QAM,60,A,1,2,1,basic,0|1|2|3|4|5,0,1,RateMatchPattern,3,23040,22896,1,2,0|1|2|3,prg_codebook,2,65,1,1,1,33.4353121401171,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-005-pairwise,TDL-A,TDL-A,5,1024QAM,30,B,2,1,3,enhanced,0|1|2|3|4,0,1,CORESET|NZPCSIRS|RateMatchPattern,7,21600,21250,1,0,0|1|2|3,prg_noncodebook,2,65,1,0,0,35.6124412772697,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-007-pairwise,TDL-A,TDL-A,3,16QAM,60,B,1,2,0,enhanced,0|1|2,1,1,CORESET|NZPCSIRS|RateMatchPattern,7,6216,6132,1,3,0|1|2|3,prg_noncodebook,2,65,1,0,0,39.7225328901265,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-009-pairwise,CDL-C,CDL-C,2,64QAM,30,B,1,1,3,basic,0|1,1,1,RateMatchPattern,3,4656,4620,1,0,0|2|3,prg_codebook,2,65,1,0,0,33.9395236012073,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-010-pairwise,CDL-C,CDL-C,8,16QAM,15,A,2,1,1,enhanced,0|1|2|3|4|5|12|13,0,1,RateMatchPattern,3,18432,18336,1,1,0|1|2|3,prg_codebook,2,65,1,1,1,20.3440201968799,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-011-pairwise,TDL-A,TDL-A,3,QPSK,120,A,1,1,3,basic,0|1|2,0,1,CORESET|NZPCSIRS|RateMatchPattern,7,2160,2118,1,3,0|2|3,wideband_codebook,1,65,1,0,0,33.5979087810496,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-012-pairwise,CDL-C,CDL-C,4,1024QAM,120,A,1,2,1,basic,0|1|2|3,1,1,RateMatchPattern,3,14000,13880,1,3,0|2|3,prg_noncodebook,2,65,1,0,0,28.6763144023499,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-013-pairwise,TDL-A,TDL-A,6,256QAM,60,B,2,1,2,enhanced,0|1|2|3|4|5,0,0,not_requested,0,23040,23040,0,2,0|1|2|3,prg_noncodebook,2,65,1,1,1,30.0396316739623,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-017-pairwise,TDL-A,TDL-A,2,64QAM,120,A,1,2,0,enhanced,0|1,0,1,CORESET|NZPCSIRS|RateMatchPattern,7,7488,7404,1,2,0|1|2|3,prg_noncodebook,2,65,1,1,1,22.5046452826147,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-018-pairwise,CDL-C,CDL-C,5,64QAM,60,B,2,2,0,basic,0|1|2|3|4,1,1,RateMatchPattern,3,11580,11490,1,1,0|2|3,prg_codebook,2,65,1,1,1,31.7585568543163,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-019-pairwise,CDL-C,CDL-C,3,1024QAM,30,A,1,1,2,basic,0|1|2,1,1,CORESET|NZPCSIRS|RateMatchPattern,7,11580,11370,1,1,0|2|3,prg_codebook,2,65,1,1,1,37.7943427960662,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-020-pairwise,TDL-A,TDL-A,6,QPSK,15,A,1,2,1,enhanced,0|1|2|3|4|5,0,1,CORESET|NZPCSIRS|RateMatchPattern,7,4320,4236,1,0,0|2|3,prg_noncodebook,2,65,1,0,0,43.3683109834234,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-021-pairwise,CDL-C,CDL-C,7,1024QAM,60,B,1,2,1,enhanced,0|1|2|3|4|5|6,0,0,not_requested,0,30240,30240,0,2,0|1|2|3,wideband_codebook,1,65,1,1,1,19.8761223159474,nrChannelEstimate,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-024-pairwise,CDL-C,CDL-C,1,16QAM,15,B,2,1,3,enhanced,0,0,1,RateMatchPattern,3,2240,2228,1,0,0|1|2|3,prg_codebook,2,65,1,0,0,39.7000615083077,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-025-pairwise,TDL-A,TDL-A,7,64QAM,30,B,2,2,0,basic,0|1|2|3|4|5|6,1,1,RateMatchPattern,3,16212,16086,1,1,0|2|3,prg_codebook,2,65,1,1,1,42.1674367649276,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-026-pairwise,TDL-A,TDL-A,8,1024QAM,120,B,2,1,2,enhanced,0|1|2|3|4|5|12|13,1,1,CORESET|NZPCSIRS|RateMatchPattern,7,28160,27600,1,0,0|2|3,prg_noncodebook,2,65,1,1,1,19.4436832295527,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
TRUTH-PAIR-027-pairwise,CDL-C,CDL-C,3,256QAM,15,A,2,2,0,enhanced,0|1|2,0,1,RateMatchPattern,3,14592,14520,1,0,0|1|2|3,prg_codebook,2,65,1,0,0,29.7215133123241,nrChannelEstimate_prg_stitched,transmitted_symbol_referenced_equalized_evm,dmrs_backed_resource_selective_effective_layer_channel,PDSCHTransmitter>38.901_channel>PDSCHReceiver,PASS
