Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount,BeamManagementProcedure,SignalSourceFamily
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SSBConfiguredBeamCount",4,4,4,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1PBCHDetectionRate",1,1,1,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1PBCHCRCPassRate",1,1,1,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1MIBDecodeRate",1,1,1,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SIB1StrictDecodeRate",1,1,1,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SSBReceivedPower_dB",-0.631708524762365,-0.632642437176201,-0.630975167203065,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1PBCHDMRSMetric",3033.42114546608,3029.12056463831,3037.37463044021,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1PBCHNoiseVar",2.02466144730087e-05,1.89941419619854e-05,2.13890049251249e-05,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1TimingOffset_samples",52704,20230.4,85177.6,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1AcquisitionTime_ms",20,20,20,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1ComputeLatency_ms",18646.445425,16932.310075,20584.36542,4,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SelectedSSBBeamIndex",4,4,4,1,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SelectedSSBBeamScore",-0.630958647547229,-0.630958647547229,-0.630958647547229,1,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"SSB_DL","beamforming/csv/ssb_pbch_sib1_beam_sweep.csv",20,"SNR_dB","measured_ssb_pbch_sib1_sweep","SNR_dB","P1SSBSweptBeamCount",4,4,4,1,"P1_SSB_beam_sweep","SSB_PBCH_SIB1"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",31.8909518278199,31.8909518278199,31.8909518278199,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",31.8909518278199,31.8909518278199,31.8909518278199,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",7,7,7,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CRI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",2,2,2,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",33.1887325884067,33.1887325884067,33.1887325884067,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",33.1887325884067,33.1887325884067,33.1887325884067,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CRI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",1.5,1.05,1.95,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",0.5,0.05,0.95,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",8,8,8,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",34.8930150792062,33.3835670744434,36.4024630839689,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",34.8930150792062,33.3835670744434,36.4024630839689,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
