Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",4,4,4,1
"DL","dl_pdsch_trials",-2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",4,4,4,1
"DL","dl_pdsch_trials",-1,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,1
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",4,4,4,2
"DL","dl_pdsch_trials",2,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,2
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",4,4,4,1
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,1
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,1
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",4,4,4,1
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,1
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankIndicator",2,2,2,2
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","RankEstimate",2,2,2,2
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","Layers",2,2,2,2
