CaseID,TrueCFO_Hz,EstimatedIntegerCFO_Hz,EstimatedFractionalCFO_Hz,EstimatedCFO_Hz,Error_Hz,FalseLock,Status
CFO-0001-001,-18750,0,-18750,-18750,-2.5465851649642e-11,0,PASS
CFO-0002-002,-18750,0,-18749.9999999999,-18749.9999999999,1.20053300634027e-10,0,PASS
CFO-0003-003,-18750,0,-18750.0000000001,-18750.0000000001,-1.34605215862393e-10,0,PASS
CFO-0004-004,-6750,0,-6749.99999999999,-6749.99999999999,7.27595761418343e-12,0,PASS
CFO-0005-005,-6750,0,-6750.00000000004,-6750.00000000004,-3.91082721762359e-11,0,PASS
CFO-0006-006,-6750,0,-6750.00000000017,-6750.00000000017,-1.68256519827992e-10,0,PASS
CFO-0007-007,-1200,0,-1200,-1200,-2.27373675443232e-12,0,PASS
CFO-0008-008,-1200,0,-1200,-1200,-4.32009983342141e-12,0,PASS
CFO-0009-009,-1200,0,-1199.99999999997,-1199.99999999997,3.00133251585066e-11,0,PASS
CFO-0010-010,-100,0,-99.999999999999,-99.999999999999,1.00897068477934e-12,0,PASS
CFO-0011-011,-100,0,-99.9999999999997,-99.9999999999997,2.98427949019242e-13,0,PASS
CFO-0012-012,-100,0,-99.9999999999984,-99.9999999999984,1.60582658281783e-12,0,PASS
CFO-0013-013,0,0,0,0,0,0,PASS
CFO-0014-014,0,0,0,0,0,0,PASS
CFO-0015-015,0,0,0,0,0,0,PASS
CFO-0016-016,100,0,99.999999999999,99.999999999999,-1.00897068477934e-12,0,PASS
CFO-0017-017,100,0,99.9999999999991,99.9999999999991,-9.37916411203332e-13,0,PASS
CFO-0018-018,100,0,99.9999999999976,99.9999999999976,-2.40163444686914e-12,0,PASS
CFO-0019-019,1200,0,1200,1200,2.27373675443232e-12,0,PASS
CFO-0020-020,1200,0,1200,1200,2.72848410531878e-12,0,PASS
CFO-0021-021,1200,0,1199.99999999997,1199.99999999997,-3.09228198602796e-11,0,PASS
CFO-0022-022,6750,0,6749.99999999999,6749.99999999999,-7.27595761418343e-12,0,PASS
CFO-0023-023,6750,0,6750.00000000004,6750.00000000004,3.63797880709171e-11,0,PASS
CFO-0024-024,6750,0,6750.00000000016,6750.00000000016,1.63709046319127e-10,0,PASS
CFO-0025-025,18750,0,18750,18750,2.5465851649642e-11,0,PASS
CFO-0026-026,18750,0,18749.9999999999,18749.9999999999,-1.23691279441118e-10,0,PASS
CFO-0027-027,18750,0,18750.0000000001,18750.0000000001,1.34605215862393e-10,0,PASS
CFO-0028-028,-18750,0,-18750,-18750,0,0,PASS
CFO-0029-029,-18750,0,-18750.0000000001,-18750.0000000001,-1.0550138540566e-10,0,PASS
CFO-0030-030,-18750,0,-18749.9999999998,-18749.9999999998,2.11002770811319e-10,0,PASS
