RunID,StageIndex,StageName,Direction,InputReferencePlane,OutputReferencePlane,InputPower_dBm,OutputPower_dBm,StateID,Status
RF-001,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-19,-19,RFSTATE-001,PASS
RF-001,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-19,-19.5,RFSTATE-001,PASS
RF-001,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-19.5,-19.75,RFSTATE-001,PASS
RF-001,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-19.75,-20.75,RFSTATE-001,PASS
RF-002,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-18,-18,RFSTATE-002,PASS
RF-002,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-18,-18.5,RFSTATE-002,PASS
RF-002,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-18.5,-18.75,RFSTATE-002,PASS
RF-002,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-18.75,-19.75,RFSTATE-002,PASS
RF-003,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-17,-17,RFSTATE-003,PASS
RF-003,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-17,-17.5,RFSTATE-003,PASS
RF-003,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-17.5,-17.75,RFSTATE-003,PASS
RF-003,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-17.75,-18.75,RFSTATE-003,PASS
RF-004,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-16,-16,RFSTATE-004,PASS
RF-004,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-16,-16.5,RFSTATE-004,PASS
RF-004,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-16.5,-16.75,RFSTATE-004,PASS
RF-004,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-16.75,-17.75,RFSTATE-004,PASS
RF-005,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-15,-15,RFSTATE-005,PASS
RF-005,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-15,-15.5,RFSTATE-005,PASS
RF-005,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-15.5,-15.75,RFSTATE-005,PASS
RF-005,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-15.75,-16.75,RFSTATE-005,PASS
RF-006,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-14,-14,RFSTATE-006,PASS
RF-006,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-14,-14.5,RFSTATE-006,PASS
RF-006,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-14.5,-14.75,RFSTATE-006,PASS
RF-006,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-14.75,-15.75,RFSTATE-006,PASS
RF-007,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-13,-13,RFSTATE-007,PASS
RF-007,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-13,-13.5,RFSTATE-007,PASS
RF-007,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-13.5,-13.75,RFSTATE-007,PASS
RF-007,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-13.75,-14.75,RFSTATE-007,PASS
RF-008,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-12,-12,RFSTATE-008,PASS
RF-008,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-12,-12.5,RFSTATE-008,PASS
RF-008,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-12.5,-12.75,RFSTATE-008,PASS
RF-008,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-12.75,-13.75,RFSTATE-008,PASS
RF-009,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,-11,-11,RFSTATE-009,PASS
RF-009,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,-11,-11.5,RFSTATE-009,PASS
