CaseID,Stage,Gain_dB,NF_dB,CumulativeNF_dB,ExpectedNoisePower_dBm,MeasuredNoisePower_dBm,Error_dB,Status
NF-0001,1,10,1,1,-93,-93,0,PASS
NF-0001,2,0,5,1.68837119177949,-92.3116288082205,-92.3116288082205,0,PASS
NF-0002,1,10,1,1,-93,-93,0,PASS
NF-0002,2,0,8,2.52824584068881,-91.4717541593112,-91.4717541593112,0,PASS
NF-0003,1,10,1,1,-93,-93,0,PASS
NF-0003,2,10,5,1.68837119177949,-92.3116288082205,-92.3116288082205,0,PASS
NF-0004,1,10,1,1,-93,-93,0,PASS
NF-0004,2,10,8,2.52824584068881,-91.4717541593112,-91.4717541593112,0,PASS
NF-0005,1,10,1,1,-93,-93,0,PASS
NF-0005,2,20,5,1.68837119177949,-92.3116288082205,-92.3116288082205,0,PASS
NF-0006,1,10,1,1,-93,-93,0,PASS
NF-0006,2,20,8,2.52824584068881,-91.4717541593112,-91.4717541593112,0,PASS
NF-0007,1,10,3,3,-91,-91,0,PASS
NF-0007,2,0,5,3.44684995804728,-90.5531500419527,-90.5531500419527,0,PASS
NF-0008,1,10,3,3,-91,-91,0,PASS
NF-0008,2,0,8,4.02471110565726,-89.9752888943427,-89.9752888943427,0,PASS
NF-0009,1,10,3,3,-91,-91,0,PASS
NF-0009,2,10,5,3.44684995804728,-90.5531500419527,-90.5531500419527,0,PASS
NF-0010,1,10,3,3,-91,-91,0,PASS
NF-0010,2,10,8,4.02471110565726,-89.9752888943427,-89.9752888943427,0,PASS
NF-0011,1,10,3,3,-91,-91,0,PASS
NF-0011,2,20,5,3.44684995804728,-90.5531500419527,-90.5531500419527,0,PASS
NF-0012,1,10,3,3,-91,-91,0,PASS
NF-0012,2,20,8,4.02471110565726,-89.9752888943427,-89.9752888943427,0,PASS
NF-0013,1,10,5,5,-89,-89,0,PASS
NF-0013,2,0,5,5.28724620777763,-88.7127537922224,-88.7127537922224,0,PASS
NF-0014,1,10,5,5,-89,-89,0,PASS
NF-0014,2,0,8,5.67406943170852,-88.3259305682915,-88.3259305682915,0,PASS
NF-0015,1,10,5,5,-89,-89,0,PASS
NF-0015,2,10,5,5.28724620777763,-88.7127537922224,-88.7127537922224,0,PASS
NF-0016,1,10,5,5,-89,-89,0,PASS
NF-0016,2,10,8,5.67406943170852,-88.3259305682915,-88.3259305682915,0,PASS
NF-0017,1,10,5,5,-89,-89,0,PASS
NF-0017,2,20,5,5.28724620777763,-88.7127537922224,-88.7127537922224,0,PASS
NF-0018,1,10,5,5,-89,-89,0,PASS
NF-0018,2,20,8,5.67406943170852,-88.3259305682915,-88.3259305682915,0,PASS
NF-0019,1,20,1,1,-93,-93,0,PASS
NF-0019,2,0,5,1.07395926077103,-92.926040739229,-92.926040739229,0,PASS
NF-0020,1,20,1,1,-93,-93,0,PASS
NF-0020,2,0,8,1.1794083475175,-92.8205916524825,-92.8205916524825,0,PASS
NF-0021,1,20,1,1,-93,-93,0,PASS
NF-0021,2,10,5,1.07395926077103,-92.926040739229,-92.926040739229,0,PASS
NF-0022,1,20,1,1,-93,-93,0,PASS
NF-0022,2,10,8,1.1794083475175,-92.8205916524825,-92.8205916524825,0,PASS
NF-0023,1,20,1,1,-93,-93,0,PASS
NF-0023,2,20,5,1.07395926077103,-92.926040739229,-92.926040739229,0,PASS
NF-0024,1,20,1,1,-93,-93,0,PASS
NF-0024,2,20,8,1.1794083475175,-92.8205916524825,-92.8205916524825,0,PASS
NF-0025,1,20,3,3,-91,-91,0,PASS
NF-0025,2,0,5,3.04681155764377,-90.9531884423562,-90.9531884423562,0,PASS
NF-0026,1,20,3,3,-91,-91,0,PASS
NF-0026,2,0,8,3.1140587285787,-90.8859412714213,-90.8859412714213,0,PASS
NF-0027,1,20,3,3,-91,-91,0,PASS
NF-0027,2,10,5,3.04681155764377,-90.9531884423562,-90.9531884423562,0,PASS
NF-0028,1,20,3,3,-91,-91,0,PASS
NF-0028,2,10,8,3.1140587285787,-90.8859412714213,-90.8859412714213,0,PASS
NF-0029,1,20,3,3,-91,-91,0,PASS
NF-0029,2,20,5,3.04681155764377,-90.9531884423562,-90.9531884423562,0,PASS
NF-0030,1,20,3,3,-91,-91,0,PASS
NF-0030,2,20,8,3.1140587285787,-90.8859412714213,-90.8859412714213,0,PASS
NF-0031,1,20,5,5,-89,-89,0,PASS
NF-0031,2,0,5,5.02959478526239,-88.9704052147376,-88.9704052147376,0,PASS
NF-0032,1,20,5,5,-89,-89,0,PASS
NF-0032,2,0,8,5.07231413902627,-88.9276858609737,-88.9276858609737,0,PASS
NF-0033,1,20,5,5,-89,-89,0,PASS
NF-0033,2,10,5,5.02959478526239,-88.9704052147376,-88.9704052147376,0,PASS
NF-0034,1,20,5,5,-89,-89,0,PASS
NF-0034,2,10,8,5.07231413902627,-88.9276858609737,-88.9276858609737,0,PASS
NF-0035,1,20,5,5,-89,-89,0,PASS
NF-0035,2,20,5,5.02959478526239,-88.9704052147376,-88.9704052147376,0,PASS
NF-0036,1,20,5,5,-89,-89,0,PASS
NF-0036,2,20,8,5.07231413902627,-88.9276858609737,-88.9276858609737,0,PASS
NF-0037,1,30,1,1,-93,-93,0,PASS
NF-0037,2,0,5,1.00745286194065,-92.9925471380594,-92.9925471380594,0,PASS
NF-0038,1,30,1,1,-93,-93,0,PASS
NF-0038,2,0,8,1.01827804411297,-92.981721955887,-92.981721955887,0,PASS
NF-0039,1,30,1,1,-93,-93,0,PASS
NF-0039,2,10,5,1.00745286194065,-92.9925471380594,-92.9925471380594,0,PASS
NF-0040,1,30,1,1,-93,-93,0,PASS
NF-0040,2,10,8,1.01827804411297,-92.981721955887,-92.981721955887,0,PASS
NF-0041,1,30,1,1,-93,-93,0,PASS
NF-0041,2,20,5,1.00745286194065,-92.9925471380594,-92.9925471380594,0,PASS
NF-0042,1,30,1,1,-93,-93,0,PASS
NF-0042,2,20,8,1.01827804411297,-92.981721955887,-92.981721955887,0,PASS
NF-0043,1,30,3,3,-91,-91,0,PASS
NF-0043,2,0,5,3.00470392680263,-90.9952960731974,-90.9952960731974,0,PASS
NF-0044,1,30,3,3,-91,-91,0,PASS
NF-0044,2,0,8,3.01154161903682,-90.9884583809632,-90.9884583809632,0,PASS
NF-0045,1,30,3,3,-91,-91,0,PASS
NF-0045,2,10,5,3.00470392680263,-90.9952960731974,-90.9952960731974,0,PASS
NF-0046,1,30,3,3,-91,-91,0,PASS
NF-0046,2,10,8,3.01154161903682,-90.9884583809632,-90.9884583809632,0,PASS
NF-0047,1,30,3,3,-91,-91,0,PASS
NF-0047,2,20,5,3.00470392680263,-90.9952960731974,-90.9952960731974,0,PASS
NF-0048,1,30,3,3,-91,-91,0,PASS
NF-0048,2,20,8,3.01154161903682,-90.9884583809632,-90.9884583809632,0,PASS
NF-0049,1,30,5,5,-89,-89,0,PASS
NF-0049,2,0,5,5.00296857028363,-88.9970314297164,-88.9970314297164,0,PASS
NF-0050,1,30,5,5,-89,-89,0,PASS
NF-0050,2,0,8,5.00728583951744,-88.9927141604826,-88.9927141604826,0,PASS
NF-0051,1,30,5,5,-89,-89,0,PASS
NF-0051,2,10,5,5.00296857028363,-88.9970314297164,-88.9970314297164,0,PASS
NF-0052,1,30,5,5,-89,-89,0,PASS
NF-0052,2,10,8,5.00728583951744,-88.9927141604826,-88.9927141604826,0,PASS
NF-0053,1,30,5,5,-89,-89,0,PASS
NF-0053,2,20,5,5.00296857028363,-88.9970314297164,-88.9970314297164,0,PASS
NF-0054,1,30,5,5,-89,-89,0,PASS
NF-0054,2,20,8,5.00728583951744,-88.9927141604826,-88.9927141604826,0,PASS
