CaseID,ProfileID,Offset_Hz,ExpectedPSD_dBcHz,MeasuredPSD_dBcHz,Error_dB,ChainID,MeasurementMethod,Status
PN-0001,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,1,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,1,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,1,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,1,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,1,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,2,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,2,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,2,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,2,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,2,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,3,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,3,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,3,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,3,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,3,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,4,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,4,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,4,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,4,runtime_filter_transfer_psd,PASS
PN-0001,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,4,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,1,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,1,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,1,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,1,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,1,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,2,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,2,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,2,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,2,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,2,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,3,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,3,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,3,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,3,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,3,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,4,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,4,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,4,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,4,runtime_filter_transfer_psd,PASS
PN-0002,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,4,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,1,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,1,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,1,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,1,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,1,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,2,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,2,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,2,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,2,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,2,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,3,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,3,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,3,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,3,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,3,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000,-85,-85.0257392120621,-0.0257392120620921,4,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000,-95,-94.7181641733018,0.281835826698227,4,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,100000,-110,-110.703454380431,-0.703454380430799,4,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,1000000,-130,-129.539850454551,0.460149545449127,4,runtime_filter_transfer_psd,PASS
PN-0003,OSC_FR1_A,10000000,-145,-145.012791702709,-0.0127917027085118,4,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,1,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,10000,-95,-94.7174100315607,0.282589968439254,1,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,100000,-110,-110.704963136198,-0.704963136197875,1,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,1000000,-130,-129.539011264905,0.460988735094986,1,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,10000000,-145,-145.012812236804,-0.0128122368039669,1,runtime_filter_transfer_psd,PASS
PN-0004,OSC_FR1_A,1000,-85,-85.0258033041404,-0.0258033041404246,2,runtime_filter_transfer_psd,PASS
