CaseID,ProfileID,Feature,ExpectedOutcome,ActualOutcome,ClaimClass,Status
CAP-0001,ideal_phy_strict,identity_chain,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0002,ideal_phy_strict,absolute_power,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0003,ideal_phy_strict,thermal_noise,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0004,ideal_phy_strict,static_cfo,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0005,ideal_phy_strict,cfo_drift,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0006,ideal_phy_strict,timing_offset,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0007,ideal_phy_strict,sample_clock_offset,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0008,ideal_phy_strict,phase_noise,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0009,ideal_phy_strict,common_lo_phase_noise,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0010,ideal_phy_strict,frequency_flat_iq,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0011,ideal_phy_strict,frequency_selective_iq,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0012,ideal_phy_strict,dc_lo_leakage,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0013,ideal_phy_strict,memoryless_pa,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0014,ideal_phy_strict,memory_pa,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0015,ideal_phy_strict,cfr,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0016,ideal_phy_strict,dpd,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0017,ideal_phy_strict,dac,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0018,ideal_phy_strict,lna_filter,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0019,ideal_phy_strict,agc,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0020,ideal_phy_strict,adc,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0021,ideal_phy_strict,blocker,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0022,ideal_phy_strict,receiver_intermod,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0023,ideal_phy_strict,reciprocal_mixing,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0024,ideal_phy_strict,evm,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0025,ideal_phy_strict,frequency_error,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0026,ideal_phy_strict,aclr,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0027,ideal_phy_strict,sem_obue,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0028,ideal_phy_strict,carrier_leakage,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0029,ideal_phy_strict,pusch_power_control,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0030,ideal_phy_strict,pucch_power_control,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0031,ideal_phy_strict,srs_power_control,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0032,ideal_phy_strict,prach_power_control,EXECUTE,EXECUTE,IDEAL_PHY,PASS
CAP-0033,ideal_phy_strict,multi_chain_covariance,REJECT,REJECT,IDEAL_PHY,PASS
CAP-0034,ideal_phy_strict,impairment_interactions,REJECT,REJECT,IDEAL_PHY,PASS
