CaseID,MeasuredSINR_dB,EVM_pct,ResidualCFO_Hz,ResidualTiming_samples,IRR_dB,BLER,Runtime_s,Status
RX-0001,-5,0,2.5465851649642e-11,0.000983831465653395,20.1,0.998728983736919,0.00101,PASS
RX-0002,-4.7,14.9998855586455,1.20053300634027e-10,0.0040584589578021,20.2,0.998448013969573,0.00102,PASS
RX-0003,-4.4,26.9997940055618,1.34605215862393e-10,0.00261257806363391,20.3,0.998105051112754,0.00103,PASS
RX-0004,-4.1,29.9997711172909,7.27595761418343e-12,0.00423005250591979,20.4,0.99768647483488,0.00104,PASS
RX-0005,-3.8,32.99974822902,3.91082721762359e-11,0.00341748858302271,20.5,0.997175700647271,0.00105,PASS
RX-0006,-3.5,0,1.68256519827992e-10,0.00367685025144704,20.6,0.996552548698436,0.00106,PASS
RX-0007,-3.2,8.74993324254318,2.27373675443232e-12,0.00224603185346073,20.7,0.995792484963641,0.00107,PASS
RX-0008,-2.9,15.7498798365777,4.32009983342141e-12,0.00303027931312982,20.8,0.994865712403102,0.00108,PASS
RX-0009,-2.6,17.4998664850864,3.00133251585066e-11,0.00121525539722622,20.9,0.993736087441967,0.00109,PASS
RX-0010,-2.3,19.249853133595,1.00897068477934e-12,8.68027044207409e-05,21,0.99235983566768,0.0011,PASS
RX-0011,-2,0,2.98427949019242e-13,0.00259841500281899,21.1,0.990684040654933,0.00111,PASS
RX-0012,-1.7,6.24995231610228,1.60582658281783e-12,0.00479405067747374,21.2,0.98864488238922,0.00112,PASS
RX-0013,-1.4,11.2499141689841,0,0.00352313334528387,21.3,0.986165608443347,0.00113,PASS
RX-0014,-1.1,12.4999046322046,0,0.00115641960843937,21.4,0.983154234112019,0.00114,PASS
RX-0015,-0.8,13.749895095425,0,0.00481035126045404,21.5,0.979500990218018,0.00115,PASS
RX-0016,-0.5,0,1.00897068477934e-12,0.000734480116669156,21.6,0.975075573352886,0.00116,PASS
RX-0017,-0.2,3.99996948230546,9.37916411203332e-13,0.00193992837040979,21.7,0.96972430801305,0.00117,PASS
RX-0018,0.0999999999999996,7.19994506814983,2.40163444686914e-12,0.00139016058621555,21.8,0.96326740932797,0.00118,PASS
RX-0019,0.399999999999999,7.99993896461093,2.27373675443232e-12,0.000727594431626288,21.9,0.955496644737713,0.00119,PASS
RX-0020,0.7,8.79993286107202,2.72848410531878e-12,0.00209467757562753,22,0.94617383723077,0.0012,PASS
RX-0021,1,0,3.09228198602796e-11,0,22.1,0.935030830871336,0.00121,PASS
RX-0022,1.3,1.74998664850865,7.27595761418343e-12,0,22.2,0.921771740548216,0.00122,PASS
RX-0023,1.6,3.14997596731556,3.63797880709171e-11,0,22.3,0.906078503980729,0.00123,PASS
RX-0024,1.9,3.49997329701727,1.63709046319127e-10,0,22.4,0.887620890658643,0.00124,PASS
RX-0025,2.2,3.849970626719,2.5465851649642e-11,0,22.5,0.866072111675926,0.00125,PASS
RX-0026,2.5,0,1.23691279441118e-10,0,22.6,0.841130895119085,0.00126,PASS
RX-0027,2.8,1.24999046322045,1.34605215862393e-10,0,22.7,0.812550207004259,0.00127,PASS
RX-0028,3.1,2.24998283379682,0,0,22.8,0.780171602259317,0.00128,PASS
RX-0029,3.4,2.4999809264409,1.0550138540566e-10,0,22.9,0.743962491324758,0.00129,PASS
RX-0030,3.7,2.74997901908501,2.11002770811319e-10,0,23,0.704051627617162,0.0013,PASS
RX-0031,4,0,1.36424205265939e-11,0.00374382112214811,23.1,0.660756368765817,0.00131,PASS
RX-0032,4.3,1.39998931880691,1.72803993336856e-11,0.00247309388960221,23.2,0.61459449826755,0.00132,PASS
RX-0033,4.6,2.51998077385243,3.91082721762359e-11,0.00329659399691512,23.3,0.566274394195439,0.00133,PASS
RX-0034,4.9,2.79997863761382,2.72848410531878e-12,0.00197949810937365,23.4,0.516660496569411,0.00134,PASS
RX-0035,5.2,3.0799765013752,6.13908923696727e-12,0.00277393642193396,23.5,0.466715961748869,0.00135,PASS
RX-0036,5.5,0,1.81898940354586e-11,0.00390054286219294,23.6,0.417429793537685,0.00136,PASS
RX-0037,5.8,14.9998855586455,1.26476606965298e-12,0.00260428904733948,23.7,0.369739777082249,0.00137,PASS
RX-0038,6.1,26.9997940055618,5.54223333892878e-13,0.00391453030308611,23.8,0.324463677010546,0.00138,PASS
RX-0039,6.4,29.9997711172909,1.56319401867222e-12,0.00114834729376159,23.9,0.28224894304226,0.00139,PASS
RX-0040,6.7,32.99974822902,0,0.00397704759764345,24,0.243546470769596,0.0014,PASS
RX-0041,7,0,0,0.00405009962542335,24.1,0.208608527326045,0.00141,PASS
RX-0042,7.3,8.74993324254318,0,0.000470207340597106,24.2,0.177506502712074,0.00142,PASS
RX-0043,7.6,15.7498798365777,1.26476606965298e-12,0.00158084190327701,24.3,0.150161706289847,0.00143,PASS
RX-0044,7.9,17.4998664850864,4.54747350886464e-12,0.00378050051627943,24.4,0.126382089358013,0.00144,PASS
RX-0045,8.2,19.249853133595,4.2348347051302e-12,0.000478124918541489,24.5,0.105898962235918,0.00145,PASS
RX-0046,8.5,0,2.72848410531878e-12,0.00494357726803818,24.6,0.0883996772070584,0.00146,PASS
RX-0047,8.8,6.24995231610228,3.63797880709171e-12,0.000631515066138899,24.7,0.073554176934819,0.00147,PASS
RX-0048,9.1,11.2499141689841,1.70530256582424e-11,0.000306760499680259,24.8,0.061034851072992,0.00148,PASS
RX-0049,9.4,12.4999046322046,1.36424205265939e-11,0.00491500564319569,24.9,0.0505301622354135,0.00149,PASS
RX-0050,9.7,13.749895095425,1.36424205265939e-11,0.00316818427378784,25,0.0417530374175819,0.0015,PASS
RX-0051,10,0,3.54702933691442e-11,0.000611033461656696,25.1,0.0344451956662112,0.00151,PASS
RX-0052,10.3,3.99996948230546,0,0.000113971501725985,25.2,0.0283785324201358,0.00152,PASS
RX-0053,10.6,7.19994506814983,1.0550138540566e-10,0.00236768113299668,25.3,0.0233545164769771,0.00153,PASS
RX-0054,10.9,7.99993896461093,2.11002770811319e-10,0.00272094811772661,25.4,0.0192023531728092,0.00154,PASS
RX-0055,11.2,8.79993286107202,3.63797880709171e-12,0.00488870809378694,25.5,0.0157764717553819,0.00155,PASS
RX-0056,11.5,0,8.36735125631094e-11,0.00477137592382526,25.6,0.0129537275306959,0.00156,PASS
RX-0057,11.8,1.74998664850865,5.12955011799932e-10,0.00270173435860199,25.7,0.010630576886144,0.00157,PASS
RX-0058,12.1,3.14997596731556,1.36424205265939e-11,0.00410350779901236,25.8,0.00872038437126007,0.00158,PASS
RX-0059,12.4,3.49997329701727,3.09228198602796e-11,0.00458069888137214,25.9,0.00715095063930353,0.00159,PASS
RX-0060,12.7,3.849970626719,1.00953911896795e-10,0.00143285830035866,26,0.00586230219633834,0.0016,PASS
RX-0061,13,0,1.38697942020372e-11,0.00393905146251122,26.1,0.00480475288715952,0.00161,PASS
RX-0062,13.3,1.24999046322045,2.47837306233123e-11,0.00318947203235365,26.2,0.003937228093969,0.00162,PASS
RX-0063,13.6,2.24998283379682,2.88764567812905e-11,0.00302300663775174,26.3,0.00322583199345567,0.00163,PASS
RX-0064,13.9,2.4999809264409,2.31636931857793e-11,0.0034709500585276,26.4,0.00264263312152682,0.00164,PASS
RX-0065,14.2,2.74997901908501,3.08375547319883e-12,0.00486394536498924,26.5,0.00216464193004166,0.00165,PASS
RX-0066,14.5,0,3.5527136788005e-13,0.00250822639458081,26.6,0.00177295459479214,0.00166,PASS
RX-0067,14.8,1.39998931880691,0,0.00321569802794686,26.7,0.00145203911000991,0.00167,PASS
RX-0068,15.1,2.51998077385243,0,0.0033461047912684,26.8,0.00118914206816364,0.00168,PASS
RX-0069,15.4,2.79997863761382,0,0.00461286395139748,26.9,0.000973797087705699,0.00169,PASS
RX-0070,15.7,3.0799765013752,2.31636931857793e-11,0.00111153717450396,27,0.000797418382828546,0.0017,PASS
RX-0071,16,0,1.74082970261225e-11,0,27.1,0.000652965337552692,0.00171,PASS
RX-0072,16.3,14.9998855586455,1.27613475342514e-11,0,27.2,0.00053466608698177,0.00172,PASS
RX-0073,16.6,26.9997940055618,1.38697942020372e-11,0,27.3,0.000437789997998057,0.00173,PASS
RX-0074,16.9,29.9997711172909,1.13686837721616e-12,0,27.4,0.000358460581416756,0.00174,PASS
RX-0075,17.2,32.99974822902,2.81943357549608e-11,0,27.5,0.000293501772894987,0.00175,PASS
RX-0076,17.5,0,1.36424205265939e-11,0,27.6,0.000240311712818926,0.00176,PASS
RX-0077,17.8,8.74993324254318,3.72892827726901e-11,0,27.7,0.000196759160659739,0.00177,PASS
RX-0078,18.1,15.7498798365777,4.91127138957381e-11,0,27.8,0.000161098521583814,0.00178,PASS
RX-0079,18.4,17.4998664850864,3.63797880709171e-12,0,27.9,0.000131900165672098,0.00179,PASS
RX-0080,18.7,19.249853133595,9.82254277914762e-11,0,28,0.00010799330403165,0.0018,PASS
RX-0081,19,0,5.45696821063757e-10,0.000378345539915642,28.1,8.84191700189384e-05,0.00181,PASS
RX-0082,19.3,6.24995231610228,2.5465851649642e-11,2.19941187760142e-05,28.2,7.23926539421641e-05,0.00182,PASS
RX-0083,19.6,11.2499141689841,1.20053300634027e-10,0.000358546264556003,28.3,5.92708698650382e-05,0.00183,PASS
RX-0084,19.9,12.4999046322046,1.34605215862393e-10,0.00358178043290996,28.4,4.85274052979503e-05,0.00184,PASS
RX-0085,20.2,13.749895095425,7.27595761418343e-12,0.00082535259941624,28.5,3.9731228581305e-05,0.00185,PASS
RX-0086,20.5,0,3.91082721762359e-11,0.00482044609880483,28.6,3.25294129755402e-05,0.00186,PASS
RX-0087,20.8,3.99996948230546,1.68256519827992e-10,0.00432019178745924,28.7,2.66329878262505e-05,0.00187,PASS
RX-0088,21.1,7.19994506814983,2.27373675443232e-12,0.00175998582904835,28.8,2.18053514503061e-05,0.00188,PASS
RX-0089,21.4,7.99993896461093,4.32009983342141e-12,0.00330802165754027,28.9,1.78527823796544e-05,0.00189,PASS
RX-0090,21.7,8.79993286107202,3.00133251585066e-11,0.000628208626465732,29,1.46166692641183e-05,0.0019,PASS
RX-0091,22,0,1.00897068477934e-12,0.00485227739292693,29.1,1.19671483416927e-05,0.00191,PASS
RX-0092,22.3,1.74998664850865,2.98427949019242e-13,0.00207623402329338,29.2,9.79789362832518e-06,0.00192,PASS
RX-0093,22.6,3.14997596731556,1.60582658281783e-12,0.00186586560353197,29.3,8.02185107615979e-06,0.00193,PASS
RX-0094,22.9,3.49997329701727,0,0.00453543695596492,29.4,6.56774572292067e-06,0.00194,PASS
RX-0095,23.2,3.849970626719,0,0.00234363817379935,29.5,5.37722180349713e-06,0.00195,PASS
RX-0096,23.5,0,0,0.00142562085072706,29.6,4.40250114787224e-06,0.00196,PASS
RX-0097,23.8,1.24999046322045,1.00897068477934e-12,0.00144204439416118,29.7,3.60446595672517e-06,0.00197,PASS
RX-0098,24.1,2.24998283379682,9.37916411203332e-13,0.0028770500335078,29.8,2.95108905537266e-06,0.00198,PASS
RX-0099,24.4,2.4999809264409,2.40163444686914e-12,1.93840557440872e-05,29.9,2.4161486572041e-06,0.00199,PASS
RX-0100,24.7,2.74997901908501,2.27373675443232e-12,0.00138728241745145,30,1.97817607604966e-06,0.002,PASS
